PID,AGE,GENDER,SES,CACT1_1,CACT1_1A,CACT1_2,CACT1_2A,CACT1_3,CACT1_3A,CACT1_4,CACT1_4A,CACT1_5,CACT1_5A,CACT1_6,CACT1_6A,CACT1_7,CACT1_7A,CACT2_1,CACT2_2,CACT2_1A,CACT2_2A,CACT4,CACT4_1A,CACT5_1,CACT5_1A,CACT5_2,CACT5_2A,CACT5_3,CACT5_3A,CACT6_1,CACT6_1A,CACT6_2,CACT6_2A,CACT6_3,CACT6_3A,CACT6_4,CACT6_4A,CACT6_5,CACT6_5A,CACT6_6,CACT6_6A,CACT8_1,CACT8_1A,CACT8_2,CACT8_2A,CACT8_3,CACT8_3A,CEIE1_1,CEIE1_2,CEIE1_3,CEIE1_4,CEIE1_5,CEIE1_6,CEIE1_7,CEIE1_8,CEIE1_9,CEIE1_10,CEIE1_11,CEIE1_12,CEIE1_13,CEIE1_14,CEIE1_15,CEIE1_16,CEIE2_1,CEIE2_2,CEIE2_3
5c7ca7d9e8df4d00160c670b,,1,8,1,8,1,5.7,0,,1,1.7,0,,1,,0,,1,1,5,0.2,0,,1,2.6,1,3.1,1,4.6,1,4.5,1,2.4,1,2.4,1,1.3,1,0.5,1,2,0,,1,7.7,0,,6.6,6.9,7.2,3.4,3.5,6.8,6.8,5.3,4.6,0.6,8,6.7,4.7,3.9,1.6,2.5,9.1,4.7,4.7
5c7cd38c5d8dc3000169551d,,1,8,0,,1,6.7,1,0.2,0,,0,,0,,0,,0,1,,0,0,,0,,1,3.7,1,4.2,1,4.8,1,7,1,6.2,1,4.2,0,,0,,1,5,0,,0,,7.9,6.9,6.9,0,0,0,4.6,6.6,8.4,0,8.5,7.7,0,0,0,0,6.8,7.2,7.3
5c7d961a8a346200123436f1,21,1,5,0,,1,9.8,0,,0,,0,,1,3.5,0,,0,0,,,0,,0,,1,8.5,1,8.2,1,8.2,1,2.7,0,,1,2.4,1,4.9,0,,0,,1,6.5,0,,7.8,8.9,7.4,1.7,1.8,9.9,5.1,8.7,6.7,0.1,7.6,4.6,4.1,1.8,8.3,4.8,8,7.8,8
5c7db6312e2df80001d431e3,22,1,6,0,,1,5.2,0,,1,2.8,1,7.8,1,2.4,0,,0,0,,,0,,0,,1,5,1,2.6,0,,1,2.6,1,2.7,0,,0,,0,,0,,0,,0,,8.6,7.5,8.5,8.4,5.2,7.5,8.4,8.3,8.7,4.9,9.3,9,8.9,7,3.2,4.6,9.5,9.1,9.4
5c7e14531c3cf8001638b5b0,23,1,4,0,,1,7.5,0,,0,,0,,0,,0,,0,0,,,0,,1,8.6,1,7.5,1,0.4,0,,0,,0,,0,,0,,0,,0,,0,,0,,7.3,6.9,6.4,6.7,7.1,6.4,7.8,6.6,6.8,6.4,6.7,6.5,7,6.8,6.7,6.2,6.3,7.1,6.4
5c7ead380ce9a10016fb5ebf,,1,6,1,1,1,7.3,0,,0,,0,,0,,0,,0,1,,0,0,,0,,1,7.4,1,2.2,1,5,1,5.2,1,5,1,5,1,5,1,4.8,0,,0,,0,,7.1,9.7,7.6,7.6,7.8,9,9.2,9.4,8.6,0.4,9.9,9.9,10,3.2,0,0,10,10,10
5c7f023550c93b001672ec1d,,1,6,0,,1,10,0,,0,,0,,0,,0,,0,0,,,0,,0,,1,7.7,1,7.6,1,7.5,1,5,0,,0,,0,,0,,0,,1,2.2,0,,6.8,6.8,6.8,6.7,6.6,8,7.3,3.6,2.6,10,7.1,6.9,6.5,6.5,0,1.3,7.4,0,0
5c7f21001a744b001645ea65,22,1,7,0,,1,6.5,1,2.3,0,,0,,1,2.1,0,,0,0,,,1,2,0,,1,4.6,1,7.2,0,,1,4.5,1,4.7,0,,0,,0,,1,9.4,0,,0,,10,4.9,1,0.2,0.9,0.9,1,0,0,0.5,8.6,9.3,1.3,8.6,0,2.3,7.3,6.8,8
5c7f442f42a6c20001e1ace2,22,1,5,0,,1,5,0,,1,4.9,1,5.7,1,2.9,1,1.9,1,0,0,,0,,1,2,1,7.3,1,7.5,1,5,1,4.6,1,2.8,0,,0,,1,1.4,0,,0,,0,,10,10,10,8.8,7.8,8.9,9.9,9,10,4.5,9.1,7.9,9.5,7,6.5,5,10,10,10
5c7f6bbdc2d6ce00015af169,,1,8,0,,1,6.1,1,1.2,1,1.1,1,4.7,0,,1,2.7,0,1,,0.5,1,2,1,5,1,4.7,1,4.6,0,,1,5.1,1,2.5,1,5.1,1,2.3,1,5.2,0,,1,5.8,1,1,7.5,6.9,6.3,7.2,7.4,8,8.2,8,8.8,8.7,7.5,8.1,7.6,8.1,7.5,8.4,8.7,10,9.5
5c80bf59da7b7c001234785e,,1,6,0,,1,2.4,0,,0,,0,,0,,1,0.3,0,0,,,1,1,0,,1,7.6,1,5,0,,1,2.2,1,0.2,1,2.3,0,,1,0.3,0,,0,,0,,10,10,6.6,5.1,5,1.8,5.3,7.2,7.2,0,10,10,8.4,5.7,5.4,0,7.9,7.9,10
