,Q2,Q4,Q5,Q10,Q12,Q14,Q17,Q18,Q26,Q28,Q30,Q32,Q34,Q35,Q39,Q45,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q56,Q59,Q60,Q63,Q66,Q70,Q71,Q72,Q63,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q82,Q84,Q86,Q88,Q89,Q90,Q91,Q95,Q98
29,1,1, ,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,3,1,6,6,1,2,1,4,2,1,1,3,2
30,2,2,    E,2,1,5,8,2,2,1,1,1,2,1,1,7,6,6,4,1,1,4,6,6,3,5,7,2,1,7,7,7,2,3,3,3,1,8,2,4,2,1,3,1,3,6,5,7,2
31,2,1, ,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,1,6,4,2,2,5,2,5,3,8,2,1,3,2,1,6,2,1,1,3,2
32,1,2,  C,2,1,1,1,1,1,2,2,1,1,6,1,3,2,1,1,2,1,1,1,1,1,7,7,2,1,3,2,2,2,2,2,1,3,8,7,7,2,2,1,2,2,1,1,8,2
33,2,2,    E,2,3,1,1,1,2,1,2,1,2,1,1,1,1, , ,1,1,1,1,1,1,1,1,1,1,3,3,2,1,5,4,3,4,8,2,2,2,2,1,3,2,1,1,8,2
34,1,2,    E,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,4,2,1,1,2,2,1,1,5,4,1,1,2,1,4,2,3,1,4,1
35,2,1,    E,2,2,1,1,1,2,1,2,1,1,7,3,7,5,1,3,1,1,1,1,1,1,6,5,2,1,7,5,3,2,5,5,6,6,4,4,5,1,2,1,1,2,1,1,3,2
36,2,2,    E,1,1,1,1,1,2,1,2,1,1,2,2,6,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,2,3,4,1,4,7,1,2,1,3,3,1,1,1,2
37,1,1, ,2,2,1,2,1,1,3,1,1,1,7,2,7,5,1,2,2,1,1,1,1,1,5,6,3,1,3,2,3,3,2,2,3,1,4,1,7,1,2,1,2,5,1,2,3,1
38,2,2,    E,6,3,1,5,1,2,1,1,7,1,7,2,7,6,1,6,1,1,1,1,1,1,2,7,2,1,7,1,7,2,7,1,7,8,8,1,1,1,1,1,1,2,1,1,8,2
39,2,2,    E,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,6,2,1,3,2,7,1,2,1,3,2,1,1,1,1
40,2,1, ,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1, , , ,1,6,7,7, ,7,1,7,8,8,1,1,2,2,3,5,3,1,1,8,2
41,1,2,    E,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,8,2,2,5,1,2,1,5,2,1,1,1,1
42,2,2,    E,1,1,1,1,1,2, ,1,1,1,6,1,7,6,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,3,1,1,5,2,5,2,2,1,5,2,1,1,1,2
43,2,1,    E, ,3,1, , ,2, ,1,5, , ,2, ,1,2,5,3,5,2,1,4,3, , , ,1,4,1,3, ,2,1,5,5,5,6,1,2,2,1,1,5,5,4,8,1
44,2,1,A,1,1,1,3,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1, , , ,1,3,2,2, ,3,2,3,1,8,1,3,3,2,1,5,2,1,1,5,2
45,2,2,    E,1,1,1,1,1,1,3,2,1,1,2,3,1,1,1,1,1,1,1,1,2,1,2,2,3,2,3,2,3,3,3,2,5,3,8,2,2,2,3,1,4,3,1,2,8,1
46,1,1, ,1,1,1,1,1,2,1,2,1,1,7,2,5,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,6,1,4,1,2,1,3,7,1,1,6,1
47,2,2,    E,2,1,1,3,2,2, ,1,1,1,1,3, , ,1,3,1,1,1,1,1,1, , , ,1,2, , , , , , , , , , , , , , , ,1,2, , 
48,2,2,    E,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,7,1,5,5,1,2,5,7,2,1,1,1,1
49,2,1, ,2,5,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,7,2,2,1,3,1,1,2,2,2,3,8,7,1,4,2,2,3,2,4,1,1,1,2
50,1,2, B,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,2,2,3,1,3,7,2,1,1,3,1,1,1,1,1
51,1,2,    E,2,1,1,1,1,2,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,3,1,1,5,8,4,3,3,3,1,4,2,1,1,5,2
52,1,1,    E, ,1,1,1,1,2,1,2,1,1, ,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,3,2,2,1,3,2,2,4,8,1,5,3,2,1,2,2,1,1,8,2
53,2,2,    E,1,2,1,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,6,7,4,7,1,2,2,4,2,1,1,6,2
54,2,1,    E, ,1,1,3,1,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,6,2,1,8,2,7,1,3,1,3,2,1,1,8,2
55,1,1,    E,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,3,2,1,2, , , ,1,1,1, 
56,2,2,    E,1,1,1,3,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,2,2,2,5,1,1,7,1,2,2,3,1,1,1,1,2
57,1,2,    E,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,1,2,2,6,3,2,4,1,2,1,3,2,1,1,4,1
58,1,1, , ,1,1,3,3,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,3,2,2,6,8,2,2,2,2,1,6,3,1,1,5,1
59,2,1, , ,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,2,3,1,8,6,6,5,3,2,1,4,1,1,1,6,2
60,1,2,    E,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,4,5,5,1,1,2,1,5,1,2,1,4,2
61,1,2,    E,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,1,2,2,1,2,2,1,1,6,5,4,4,2,2,2,2,1,1,1,1,2
62,2,2,    E,2,1,1,1,1,2,1,1,1,1,1,2,6,2,1,1,2,1,1,1,2,1,7,4,2,1,5,4,1,2,4,1,1,8,8,2,1,1,2,2,3,2,1,4,8,2
63,2,2,    E,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,2,1,4,1,2,1,5,3,1,1,1,2
64,2,2,    E,1,1,1,1,1,2,1,1,1,1,7,1,7,6,2,3,2,1,1,1,1,1,3,3,3,1,3,4,1,3,4,4,4,6,5,3,7,1,2,1,2,3,1,3,5,1
65,2,2,  C E,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,3,8,6,4,2,2,3,2,3,1,1,1,6,2
66,2,2,    E,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,1,3,2,1,6,6,2,3,4,2,1,5,1,1,1,8,2
67,2,2,  C,2,1,1,1,1,2,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1, , , ,1,3,2,2, ,2,2,3,8,7,4,4,3,2,1,4,3,1,1,4,2
68,1,1,    E,2,1,1,3,1,1,2,1,7,1,7,2,4,1,3,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,3,3,4,8,2,7,2,2,1,2,3,1,1,3,2
69,2,1,A,1,1,1,3,1,2,1,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,2,1,7,2,6,1,5,5,4,2,2,3,1,2,1,1,5,2
70,1,1,A,1,1,1,2,1,2,1,1,1,1,7,2,7,5, ,2,1,1,1,1,1,1,5,3,2,1,2,2,2,2,2,4,3,3,6,4,7,2,2,1,3,4,2,2,5,1
71,2,2,    E,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,4,8,6,1,7,1,2,3, ,3,1,1, ,1
72,2,2,    E,2,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,2,3,2,5,1,4,1,2,1,3,2,1,1,1,1
73,2,2,    E,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,1,3,1,2,8,7,1,4,3,2,1,3,1,1,1,7,2
74,1,2,    E,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,3,1,1,2,1,4,3,1,1,1,2
75,2,2,    E,2,2,1,1,1,2,1,1,1,1,7,2,7,1,1,1,2,1,1,1,1,1,6,5,3,1,4,4,2,3,4,1,7,8,8,1,3,1,2,1,4,2,1,1,8,2
76,2,1,    E,2,1,1,1,1,2,1,1,1,1,7,3,7,6,1,2,1,1,1,1,1,1,6,2,3,1,4,5,2,3,2,3,2,8,8,3,5,1,2,2,4,3,1,1,1,2
77,1,1, ,2,3,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,3,3,2,5,3,4,7,1,2,1,4,2,1,1,1,1
78,1,2,    E,1,1,1,1,1,1,1,2, ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,3,1,2,8,1,6,7,1,2,3,2,3,1,1,2,1
79,1,1,    E,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,6,1,8,1,1,2,1,2,1,4,3,1,1,3,2
80,1,1,    E,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,1,5,3,4,2,4,1,5,1,2,1,1,4,1,1,1,1
81,1,2,    E,4,1,1,2,1,2,1,2,1,1,5,3,7,6,2,1,1,1,1,1,1,1,5,7,3,1,3,3,2,3,2,3,4,1,5,5,6,2,2,1,4,3,1,3,5,2
82,1,2, B,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,1,4,2,3,1,4,6,4,3,2,1,3,1,1,1,1,2
83,2,2,  C,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,2,3,2,8,8,7,1,3,2,1,4,3,1,1,8,2
84,2,1,A C E,5,5,1,1,1,1,2,1,2,1,7,3,7,1,3,6,6,1,1,1,4,1,5,7,3,1,6,3,2,3,3,2,5,8,8,5,5,2,2,3,1,3,3,6,8,1
85,2,1, ,2,1,1,1,1,2,1,2,1,2,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,3,3,8,3,3,4,1,2,2,2,2,1,1,2,2
86,1,1,    E,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,1,4,1,1,2,1,1,1,5,8,1,1,1,2,2,2,2,1,1,1,2
87,2,1,    E,3,5,1,4,1,2,1,2,1,1,7,2,5,4,1,4,1,1,1,1,1,1,8,2,2,1,2,2,1,2,3,4,2,6,7,1,6,1,2,1,3,1,1,3,4,2
88,1,2,    E,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,2,1,3,1,1,8,6,1,6,1,2,3,2,3,1,2,7,1
89,2,2,    E,2,5,1,1,1,2,1,2,1,1,7,2,5,2,1,1,1,1,1,1,1,1,6,7,2,1,2,1,2,2,2,3,1,4,1,3,7,1,2,1,3,1,1,1,1,2
90,2,2,    E,2,1,1,1,1,2,1,1,2,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,4,1,2,3,8,1,4,1,2,1,3,2,1,1,2,2
91,2,2,    E,1,1,1,7,1,1,2,2,1,2,1,1,5,2,1,1,1,2,1,1,2,1,8,3,3,1,1,1,2,3,2,1,5,3,5,1,7,1,2,1,1,3,1,3,1,1
92,1,1,    E,2,5,1,1,1,1,2,1,2,1,1,3,7,6,1,4,1,1,1,1,1,1,5,4,3,1,2,2,1,3,2,2,3,3,4,1,2,1,2,1,2,3,1,1,2,1
93,2,2,    E,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,3,1,6,2,2,3,3,2,2,2,3,2,4,2,2,1,2,2,1,1,4,2
94,2,2,    E,2,1,1,2,1,2,1,2,1,2, ,1,1, ,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , ,2, , 
95,1,2, B,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,5,1,7,2,7,8,2,3,1,1,2,2,3,2,1,1,4,2
96,1,1,    E,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,2,1,1,2,1,3,1,1,2,1,2,2,1,1,1,2
97,1,2,    E,2,1,1,1,1,1,1,1,1,1,7,2,6,1,1,4,1,1,1,1,1,1,6,7,2,1,2,3,2,2, , , , ,2,4,1,2,1,1,2,3,3,1,1,1
98,2,1,A,2,1,1,1,1,2, ,2,1,1,2,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,2,4,1,2,1,3,3,1,1,4,1
99,2,2,    E,1,1,1,1,1,2,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,1,3,8,6,4,5,1,2,1,4, ,1,1,6,2
100,1,1, ,4,1,1,1,1,2,1,1,3,1,2,2,6,2,2,1,2,1,1,1,1,1,8,2,2,1,7,7,7,2,7,2,1,8,5,5,7,1,2,1,3,3,1,2,5,1
101,1,1,    E,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,1,6,5,6,2,2,1,2,3,3,1,7,1,2,1,3,5,1,1,1,1
102,2,2,    E,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,2,3,1,2,2,1,3,7,3,1,8,8,2,2,4,2,1,3,1,1,1,8,2
103,1,1,    E,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,1,5,2,5,7,7,1,4,3,2,1,4,1,1,1,6,2
104,1,1,    E,2,1,1,1,1,1,1,1,1,1,5,1,6,5,1,1,1,1,1,1,1,1,6,2,3,1,2,2,1,3,2,1,1,2,5,2,5,2,2,1,4,2,2,1,3,1
105,1,1,A,2,5,1,4,3,2,1,2,1,1,1,1,6,3,2,4,1,2,1,1,3,2,5,4,3,4,4,5,1,3,3,2,2,5,8,2,1,2,1,1,2,2,2,4,8,1
106,2,2,    E,2,4,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,3,1,2,1,2,3,2,1,4,4,7,3,1,3,2,2,3,3,1,1,6,2
107,1,1,A,1,1,1,1,1,2,1,1,1,1,4,3,6,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,3,1,1,1,4,1,6,1,2,5,2,2,1,1,2,1
