Rank,State,Abb.,Size(SqMiles),Population,White,White%,BlackorAfricanAmerican,BlackorAfricanAmerican%,NativeAmericanorAlaskaNative,NativeAmericanorAlaskaNative%,Asian,Asian%,PacificIslander,PacificIslander%,Other,Other%,Multi-Racial,Multi-Racial%,HispanicorLatino,HispanicorLatino%,PopChange2010-2020,PopulationDensity,NumberofBillionaires,MinimumWage,MedianWage/Wk,MedianWage/Month,MedianIncome/Yr,MedianWage/HR,Top1%Income,Top5%Income,GenderPayGap,NumberofBillionaires2,MedianRent,Rent(Studio),Rent(1Bdr),Rent(2Bdr),Rent(3Bdr),Rent(4bdr),MedianMortgagePayment,MedianMortgageTotal,Mortgage%Rent(3Bedrooms),MinWageHr/Home,MinWageHr/Rent,MedWageHr/Rent,MedIncomeYr/Home,ElectricityCost(CentsperkWh),ElectricityConsumption(kWh),AverageElectricBill,NaturalGas,#ofBigMacsMinWageWk,#ofBigMacsMedWageWk,GroceriesMontly,AverageMovieTicketPrice,AverageGasPrice,CarRegistration,BigMacPrice,1BedroomApartment,2BedroomApartment,3BedroomApartment,4BedroomApartment,GroceryCost,ElectricityCost,CurrentMinimumWage,CurrentMedianWage,%ofMedianWage,TopEarner'sIncomeTaxRate,IncomeTax,StateSalesTaxRate,Avg.LocalSalesTaxRate(a),CombinedSalesTaxRate,MaxLocalSalesTaxRate,EffectiveTaxRate,Income-Tax,Income-Tax/Rent,Income-Tax/Rent/Food/Power,#BigMacs/Income-Tax/Rent/Food/Power,#MovieTickets/Income-Tax/Rent/Food/Power,#Gallons/Income-Tax/Rent/Food/Power,FirearmOwnership,ViolentCrimeper100k(2020),PrisonPer100K,TotalPrisonPopulation,BlackPrisonersper100K,LatinoPrisonersper100K,WhitePrisonersper100K,NumberofPoliceOfficers,Policeper100kpeople,PoliceShootings,PoliceShootingsPer100k,PoliceShootingPer100KPerOfficer,SchoolShootingsSince2015,SchoolShootingsPerMillionPeople,SchoolShootingsper100schools,2020HomicideRate,FirearmDeathsPer100000,FirearmDeathsTotal,DeathscausedbyDUIPer100k,LifeExpectancy2019,2017HateCrimesper100K,%DomesticViolenceAgainstWomen,%DomesticViolenceAgainstMen,DeathPenalty,NumberofParticipatingAgencies,PopulationCovered,PercentageofPopulation,TotalOffenses,Arson,Bribery,Burglary/Breaking&Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism,Embezzlement,Extortion/Blackmail,FraudOffenses,Larceny/TheftOffenses,MotorVehicleTheft,Robbery,StolenPropertyOffenses,OffenseRate,ArsonRate,BriberyRate,Burglary/Breaking&EnteringRate,Counterfeiting/ForgeryRate,Destruction/Damage/VandalismRate,EmbezzlementRate,Extortion/BlackmailRate,FraudRate,Larceny/TheftRate,MotorVehicleTheftRate,RobberyRate,StolenPropertyRate,GlobalEntryAirports,PrivateandCommercialAutomobiles,PublicAutomobiles,TotalAutomobiles,CarsperCapita,PrivateandCommercialBusses,PubliclyOwnedBusses,TotalBusses,BussesPer100kPopulation,PrivateandCommercialTrucks,PubliclyOwnedTrucks,TotalTrucks,TrucksperCapita,PrivateandCommercialMotorcycles,PubliclyOwnedMotorcycles,TotalMotorcycles,Motorcyclesper1000Population,ALLMOTORVEHICLES:PrivateandCommercial,ALLMOTORVEHICLES:PubliclyOwned,ALLMOTORVEHICLES:Total,CrashDeathsbyCarOccupants,CrashDeathsbyPickupandSUVoccupants,CrashDeathsbyLargeTruckOccupants,CrashDeathsbyMotorcyclists,CrashDeathsbyPedestrians,CrashDeathsbyBicyclists,TotalVehicleCrashDeahts,RoadQualitySurvey,RoadQuality(Rural),RoadQuality(Urban),HealthcareMaleUninsured%,HealthcareFemaleUninsured%,TotalUninsured%,DrugOverdoseRate,DrugOverdoseDeaths,Child/TeenSuicideRate,SuicideRate2020,SuicideDeaths2020,InfantMortality(2019),MaternalMortality(Per100k),#ChildreninFosterCare2019,#ChildreninvolvedinInvestigation,%InvestigationsResultinginFosterCare,FosterCarePer1000People,SecondParentAdoption,FosterCareNon-DiscriminationLaws,FosterCareParentTrainingRequired,PrentalPresumptionforSame-SexCouples,LawsPermittingDiscriminationinAdoptionorFosterPlacement,%TransPopulationages13-17,%TransPopulationages18-24,%TransPopulationages25-64,%TransPopulationages65+,%TransPopulationALLAGES,NumberofAbortions,Per1kWomen,Per1kLiveBirths,OutofStateResidents,TeenPregnancy(Per100k),SARate(Per100k),AbortionLegality,AfterRoeandCasey,FaultDivorce,No-FaultDivorce,SeparationDivorce,CulturalDiversity,TransSafety,LGBTQ+Safety,CollegeReadiness,MathScores,ReadingScores,PreschoolEnrollment,LiteracyRate,SpendingPerStudent,HSGraduationRate,ChildcareCostsPerYear,%ChildcareofMedWageYear,TeachersUnionsRank,PublicSchools,PrivateSchools,TotalSchools,Public%TotalSchools,InternetSpeedMbps,RecreationalMarijuana,MedicinalMarijuana,NationalParks,Population/NationalPark,StateParks,Population/StatePark,TotalParks,Population/Parks,Parkper500Miles,NumberofRollerCoasters,RollerCoastersper5kMiles,CoastersPerMillionPeople,#ofReligiousCongregations,FosterChildrenperReligiousCongregation,HomeslessPopulationtoReligiousCongregations,ReligiousInstitutionsPer10000People,Congregationsper100SqMiles,  ReligiousInstitutionsPer10000People2  ,  Congregationsper100SqMiles3  ,Protestant(%),Catholic(%),TheChurchofJesusChristofLatter-daySaints(%),OtherChristian(%),Other(%),Irreligion(%),OverallPreparedness,ExtremeHeat,Drought,Wildfires,InlandFlooding,CoastalFlooding,%FoodInsecureAdults,%FoodInsecureChildren,HappinessRating,ShoreLine(StatueMiles),SharkAttackRate,ObesityRate,UnemploymentRate,DivorceRate,HomelessPopulationPerCapita,HomelessPopulationPerState,InternationalImmigration,InternationImmigrationper100k,FoodStamp,PovertyRate,AlcoholConsumptionperCapita(Gallons),CorporateHomeOwnership,PrivateHomeOwnership2021,HomeVacancyRate,CorporateOwnershipVsVacancyRate,AirQuality,WaterQuality,AverageHumidity,SuperfundCleanup2016,SuperfundCleanupPer1kMiles,AverageTemperature,WindPowerProduced(BillionKWh),WindKWhperPerson,WindKHwperSqMile,Totalelectricitygeneration,%fromcoal,%fromhydroelectric,%fromnaturalgas,%fromnuclear,%fromsolar,%fromwind,DefenseSpending(2015)(billions),%ofStateGDP(2015),StateGDPQ42021,GDPPerCapita,HouseSeats,ElectoralCollegeVotes,PopulationperHouseSeat,PopulationperElectoralVote,PopulationtoAverageCongressionalRepresentation,VotedBiden,VotedTrump
1,Alabama,AL,"50,750","5,024,279.00","3,171,351.00",63,"1,288,159.00",26,"23,119.00",0.00,"75,918.00",2.00,"2,612.00",0.05,"14,455.00",0.29,"184,618.00",4.00,"264,047.00",5.00,0.50,99,0.00,7.25,"1,069.00","4,632.33","55,588.00",26.73,"432,330.00","193,273.00",24.20,0.00,800.00,637.00,682.00,839.00,"1,085.00","1,243.00","1,147.00","144,272.00",106.00,"19,900.00",116.00,31.00,3.00,0.15,"1,140.00",167.00,79.00,73.00,289.00,397.39,9.84,5.51,100.00,3.99,682.00,839.00,"1,085.00","1,243.00",397.39,167.01,7.25,26.73,53.81,5.00,YES,4,5.22,9.22,7.50,9.80,"4,178.00","3,339.00","2,775.00",695.48,282.01,504.00,55.50,453.60,416.00,"20,595.00","1,132.00",,421.00,"11,209.00",222.00,157.00,3.00,71.00,31.00,6.00,6.00,14.20,23.60,"1,185.70",5.50,75.20,0.31,37.50,29.50,1,356.00,"3,734,077.00",0.74,"122,274.00",456.00,11.00,"12,491.00",2483.00,27112.00,124.00,122.00,10712.00,55804.00,9902.00,1481.00,1576.00,"3,275.00",12.00,0.29,335.00,66.00,726.00,3.00,3.00,287.00,"1,494.00",265.00,40.00,42.00,No,"1,993,089.00","42,287.00","2,035,376.00",0.41,"5,492.00",132.00,"5,624.00",112.00,"3,094,573.00","69,866.00","3,164,439.00",1.00,"114,901.00",0.00,"114,901.00",23.00,"5,208,055.00","112,285.00","5,320,340.00",393.00,311.00,25.00,78.00,101.00,10.00,934.00,6.28,2.00,7.00,14.00,11.00,13.00,22.30,"1,029.00",27.50,16.00,793.00,5.07,36.40,"3,914.00","39,306.00",9.96,0.78,No,No,No,No,Yes,1.08,1.18,0.42,0.3,0.48,"6,063.00",6.40,103.00,840.00,26.00,42.00,20weeks,NotProtected,Y,Y,N,28,47,44,44,49,48,38,85.2,"9,696.00",86,6001,10,20,509,45,554,92,99.7,FullyIllegal,NOTTRUE,0,,22,229085,22,229085,0.22,1,0.1,,"10,514.00",0.4,0.38,21,21,  21 ,  21 ,  78 ,  7 ,  1 ,,  1 ,  12 ,D,D+,C,F,,F,15,22.9,40.28,607,9,39.9,2.6,3.2,0.08,"4,019.00","2,772.00",1,14.76,16.08,1.99,18,72.5,12.75,0.05,42,2,0.716,13,3.9,62.8,0,,0.0,10177,11.3,10.2,44.2,31.3,0,0,12.2,5.9,"207,835,200,000.00","41,238.00",7,9,"719,982.00","559,986.00","1,619,960.00",36.6,62
2,Alaska,AK,"570,641","733,391.00","421,758.00",58,"20,731.00",3,"108,838.00",15.00,"43,449.00",6.00,"12,455.00",1.70,"4,575.00",0.62,"71,761.00",10.00,"49,824.00",7.00,0.32,1,0.00,10.85,"1,237.00","5,360.33","64,324.00",30.93,"486,671.00","230,260.00",13.80,0.00,"1,203.00",946.00,"1,039.00","1,338.00","1,758.00","2,026.00","1,907.00","227,960.00",108.00,"21,010.00",123.00,43.00,4.00,0.23,594.00,139.00,55.00,85.00,269.00,483.24,10.83,4.61,24.25,4.87,"1,039.00","1,338.00","1,758.00","2,026.00",483.24,138.94,10.85,30.93,61.98,0.00,NO,0,1.76,1.76,7.50,4.60,"5,114.00","3,776.00","3,154.00",647.55,291.19,684.00,64.50,837.80,247.00,"1,782.00","1,987.00",238.00,417.00,"1,330.00",182.00,54.00,7.00,25.00,3.00,4.00,0.00,7.30,23.50,172.30,3.10,77.70,0.54,43.30,30.20,0,30.00,"402,557.00",0.55,"7,301.00",59.00,2.00,786.00,122.00,2199.00,22.00,34.00,602.00,2761.00,611.00,72.00,31.00,"1,814.00",15.00,0.50,195.00,30.00,546.00,5.00,8.00,150.00,686.00,152.00,18.00,8.00,Yes,"167,313.00","3,831.00","171,144.00",0.23,"8,022.00",598.00,"8,620.00","1,175.00","571,380.00","14,901.00","586,281.00",1.00,"26,772.00",9.00,"26,781.00",37.00,"773,487.00","19,339.00","792,826.00",14.00,25.00,2.00,4.00,13.00,2.00,64.00,8.61,15.00,8.00,17.00,14.00,15.00,22.00,160.00,16.00,27.50,204.00,6.99,12.40,"1,491.00","14,429.00",10.33,2.04,No,No,No,Yes,No,1.23,1.51,0.65,0.34,0.7,"1,255.00",8.60,120.00,9.00,18.00,151.00,40,Protected,Y,Y,N,11,45,34,37,43,49,33,90.8,"17,726.00",93,12120,18,15,1550,273,1823,85,88,FullyLegal,TRUE,8,91584,119,6157,127,5769,0.11,0,0.0,,"1,246.00",1.2,1.88,17,0,  17 ,,  37 ,  16 ,  5 ,  5 ,  6 ,  31 ,B+,A,,,,B,11.7,18.1,40.85,33904,,33.5,4.6,3.7,0.32,"2,347.00",659.00,0.9,11.69,10.67,2.85,2,63.9,8.45,0.06,28,50,0.771,6,95.1,26.6,0.127,  173 ,222.6,489,9,25.4,48.3,0,0,3.1,3.3,6.1,"50,720,600,000.00","69,227.00",1,3,"732,673.00","244,224.00","549,505.00",42.8,52.8
3,Arizona,AZ,"113,642","7,151,502.00","3,816,547.00",53,"317,161.00",4,"263,930.00",4.00,"248,837.00",3.00,"14,323.00",0.20,"31,611.00",0.44,"266,840.00",4.00,"2,192,253.00",31.00,1.13,63,11.00,13.85,"1,220.00","5,286.67","63,440.00",30.50,"503,408.00","216,972.00",14.90,11.00,"1,149.00",854.00,944.00,"1,180.00","1,604.00","1,802.00","1,394.00","210,872.00",87.00,"15,225.00",85.00,39.00,3.00,0.14,"1,048.00",143.00,78.00,116.00,289.00,302.80,9.58,4.49,17.00,4.43,944.00,"1,180.00","1,604.00","1,802.00",302.80,142.84,13.85,30.50,52.57,8.00,YES,5.6,2.80,8.40,5.60,9.50,"4,784.00","3,604.00","3,159.00",713.05,329.73,703.00,46.30,654.80,536.00,"40,951.00","2,105.00",742.00,428.00,"62,962.00",865.00,377.00,5.00,164.00,8.00,1.00,1.00,7.50,16.70,"1,194.30",4.00,78.80,3.91,42.60,33.40,1,79.00,"3,949,562.00",0.55,"104,648.00",413.00,11.00,"8,763.00",1231.00,22229.00,261.00,256.00,14733.00,48802.00,5818.00,1129.00,1002.00,"2,650.00",10.00,0.28,222.00,31.00,563.00,7.00,6.00,373.00,"1,236.00",147.00,29.00,25.00,Yes,"2,391,632.00","18,386.00","2,410,018.00",0.34,"1,453.00","7,033.00","8,486.00",119.00,"3,479,891.00","34,312.00","3,514,203.00",0.00,"121,073.00",1.00,"121,074.00",17.00,"5,994,049.00","59,732.00","6,053,781.00",307.00,194.00,15.00,161.00,222.00,33.00,"1,054.00",7.81,4.00,12.00,16.00,15.00,15.00,35.80,"2,550.00",19.00,17.60,"1,363.00",7.38,27.30,"9,492.00","82,307.00",11.53,1.30,No,No,No,Yes,Yes,1.54,1.92,0.71,0.23,0.73,"12,533.00",9.30,153.00,125.00,19.00,48.00,Viability,Banned,Y,Y,N,9,34,28,47,27,37,42,86.9,"8,239.00",87,10948,16,51,1113,122,1235,90,98.8,FullyLegal,TRUE,3,2425439,36,202120,39,186572,0.17,0,0.0,,"4,673.00",2.0,2.91,7,4,  7 ,  4 ,  39 ,  21 ,  5 ,  1 ,  6 ,  27 ,C,C+,D+,D,,,14.4,22.4,53.47,,,31.3,3.5,3.6,0.19,"13,588.00","7,782.00",1,11.12,13.66,2.25,14,64.5,10.15,0.04,50,31,0.385,9,12.6,60.3,1.6,  220 ,14079.3,7627,14,4.7,38.3,35.2,10,1.9,10,3.4,"343,943,400,000.00","47,269.00",9,11,"808,480.00","661,483.00","2,223,319.00",49.4,49.1
4,Arkansas,AR,"52,075","3,011,524.00","2,063,550.00",69,"449,884.00",15,"20,549.00",1.00,"51,210.00",2.00,"14,280.00",0.47,"8,047.00",0.27,"147,157.00",5.00,"256,847.00",9.00,0.32,58,5.00,11.00,997.00,"4,320.33","51,844.00",24.93,"411,633.00","183,945.00",20.50,5.00,760.00,581.00,611.00,768.00,"1,011.00","1,167.00","1,071.00","132,973.00",106.00,"12,088.00",70.00,31.00,3.00,0.12,"1,098.00",134.00,62.00,111.00,269.00,282.46,10.42,5.26,8.00,3.95,611.00,768.00,"1,011.00","1,167.00",282.46,134.07,11.00,24.93,47.57,5.90,YES,6.5,3.01,9.51,5.13,10.20,"3,880.00","3,112.00","2,695.00",682.31,258.65,512.00,57.20,671.90,582.00,"17,713.00","1,597.00",252.00,450.00,"24,948.00",824.00,115.00,4.00,216.00,17.00,6.00,1.00,13.00,22.60,680.60,4.70,75.70,0.25,40.80,34.80,1,285.00,"2,916,168.00",0.97,"123,785.00",557.00,2.00,"14,101.00",3056.00,27186.00,88.00,59.00,12169.00,54687.00,8110.00,1272.00,2498.00,"4,245.00",19.00,0.07,484.00,105.00,932.00,3.00,2.00,417.00,"1,875.00",278.00,44.00,86.00,No,"860,646.00","11,791.00","872,437.00",0.29,"11,322.00",722.00,"12,044.00",400.00,"1,831,759.00","27,332.00","1,859,091.00",1.00,"169,796.00",1.00,"169,797.00",56.00,"2,873,523.00","39,846.00","2,913,369.00",194.00,233.00,18.00,80.00,81.00,6.00,638.00,7.37,4.00,13.00,15.00,10.00,12.00,19.10,546.00,17.60,19.00,583.00,5.19,37.50,"3,008.00","57,306.00",5.25,0.99,No,No,No,No,No,0.88,3.59,0.24,0.58,0.7,"3,249.00",5.60,87.00,372.00,30.00,77.00,20weeks,Banned,Y,Y,N,29,32,26,45,43,37,19,86.3,"10,139.00",87,6890,12,48,2513,250,2763,91,82.3,Mixed,TRUE,1,3025891,52,58190,53,57092,0.51,3,0.3,  1 ,"6,697.00",0.4,0.36,22,13,  22 ,  13 ,  70 ,  8 ,  1 ,,  3 ,  18 ,F,D,F,F,F,,15.2,23.2,38.83,,,38.7,3.4,2.9,0.08,"2,409.00",268.00,0.09,11.6,16.31,1.78,12,63.7,17.69,0.06,22,28,0.709,9,5.8,60.4,0,,0.0,4200,17.6,8.2,42.4,28.6,1.4,0,1.4,1.2,"122,275,400,000.00","40,410.00",4,6,"756,473.00","504,315.00","1,134,709.00",34.8,62.4
5,California,CA,"155,973","39,538,223.00","13,714,587.00",35,"2,119,286.00",5,"156,085.00",0.00,"5,978,795.00",15.00,"138,167.00",0.35,"223,929.00",0.57,"1,627,722.00",4.00,"15,579,652.00",39.00,0.60,253,189.00,15.50,"1,572.00","6,812.00","81,744.00",39.30,"745,314.00","291,277.00",14.50,189.00,"1,661.00","1,195.00","1,327.00","1,668.00","2,269.00","2,619.00","2,282.00","371,981.00",101.00,"23,999.00",108.00,42.00,5.00,0.27,542.00,147.00,62.00,117.00,353.00,370.96,15.22,6.40,86.00,5.11,"1,327.00","1,668.00","2,269.00","2,619.00",370.96,147.15,15.50,39.30,54.17,13.30,YES,7.25,1.43,8.68,2.50,13.50,"5,892.00","4,224.00","3,706.00",725.30,243.51,579.00,28.30,442.00,309.00,"122,417.00","1,623.00",353.00,175.00,"1,622.00",4.00,"1,186.00",3.00,1.00,66.00,2.00,1.00,6.10,8.50,"3,360.70",2.80,80.90,2.77,34.90,31.10,1,15.00,"2,861,998.00",0.07,"81,313.00",407.00,2.00,"7,103.00",960.00,14837.00,225.00,148.00,7873.00,34122.00,11272.00,2300.00,2064.00,"2,841.00",14.00,0.07,248.00,34.00,518.00,8.00,5.00,275.00,"1,192.00",394.00,80.00,72.00,Yes,"13,957,692.00","243,708.00","14,201,400.00",0.36,"34,282.00","66,546.00","100,828.00",255.00,"15,008,976.00","301,621.00","15,310,597.00",0.00,"771,826.00","13,598.00","785,424.00",20.00,"29,772,776.00","625,473.00","30,398,249.00","1,378.00",674.00,25.00,539.00,986.00,129.00,"3,847.00",6.66,4.00,39.00,11.00,9.00,10.00,21.80,"8,908.00",10.00,10.00,"4,144.00",3.92,4.00,"27,357.00","343,126.00",7.97,0.70,Yes,Yes,Yes,Yes,No,1.93,0.7,0.5,0.34,0.49,,,,,12.00,37.00,Viability,Protected,N,Y,N,1,1,1,33,38,37,16,76.9,"12,498.00",83,16945,18,6,10413,2514,12927,81,131,FullyLegal,TRUE,9,4359760,270,145325,279,140637,0.89,51,1.6,  1 ,"23,558.00",1.2,7.22,6,15,  6 ,  15 ,  32 ,  28 ,  1 ,  3 ,  9 ,  27 ,A,A,A,A,A,A,11.8,18.9,63.14,3427,132,27.6,4.1,,0.43,"170,014.00","74,028.00",2,10.08,12.98,2.49,9,63.7,10.4,0.01,49,15,0.61,97,1.6,59.4,15.626,  398 ,100184.0,15279,0.2,10.4,47.4,9.9,25.8,8.5,49.3,2.1,"2,946,067,200,000.00","75,082.00",53,55,"740,337.00","713,415.00","10,179,627.00",63.5,34.3
6,Colorado,CO,"103,730","5,773,714.00","3,760,663.00",65,"221,310.00",4,"33,768.00",1.00,"195,220.00",3.00,"9,005.00",0.16,"29,560.00",0.51,"260,798.00",5.00,"1,263,798.00",22.00,1.39,56,8.00,13.65,"1,361.00","5,897.67","70,772.00",34.03,"632,277.00","264,313.00",16.60,8.00,"1,401.00",953.00,"1,020.00","1,276.00","1,673.00","1,989.00","1,681.00","273,718.00",100.00,"20,053.00",93.00,38.00,4.00,0.14,704.00,97.00,46.00,109.00,323.00,326.92,10.80,4.80,0.00,4.59,"1,020.00","1,276.00","1,673.00","1,989.00",326.92,97.29,13.65,34.03,48.98,4.55,YES,2.9,4.82,7.72,8.30,9.70,"5,326.00","4,050.00","3,625.00",789.84,335.68,756.00,45.10,423.10,332.00,"19,785.00","1,603.00",518.00,236.00,"5,697.00",98.00,301.00,5.00,19.00,18.00,3.00,1.00,5.80,15.40,889.20,3.20,80.00,1.90,36.80,30.50,1,235.00,"5,766,585.00",1.00,"295,735.00","1,341.00",113.00,"22,988.00",3037.00,55838.00,329.00,887.00,41910.00,120385.00,40851.00,4310.00,3746.00,"5,128.00",23.00,1.96,399.00,53.00,968.00,6.00,15.00,727.00,"2,088.00",708.00,75.00,65.00,Yes,"1,623,494.00","15,534.00","1,639,028.00",0.28,"5,718.00","8,002.00","13,720.00",238.00,"3,481,409.00","37,465.00","3,518,874.00",1.00,"179,080.00",6.00,"179,086.00",31.00,"5,289,701.00","61,007.00","5,350,708.00",165.00,187.00,17.00,140.00,87.00,15.00,622.00,6.65,5.00,18.00,15.00,12.00,14.00,24.90,"1,492.00",21.50,21.50,"1,302.00",4.80,11.50,"4,283.00","45,829.00",9.35,0.74,Yes,Yes,No,Yes,No,1.14,2.09,0.51,0.06,0.6,"8,873.00",7.80,138.00,978.00,14.00,65.00,40,Protected,N,Y,N,18,5,10,6,16,6,12,90.1,"10,202.00",92,15325,20,35,1942,281,2223,87,125,FullyLegal,TRUE,4,1453017,43,135164,47,123661,0.23,9,0.4,  2 ,"4,188.00",1.0,2.48,7,4,  7 ,  4 ,  43 ,  16 ,  2 ,  2 ,  5 ,  29 ,B,B+,B+,,,,10.1,14.9,52.57,,,25.1,3.4,2.9,0.18,"10,393.00","10,523.00",2,7.74,9.49,2.88,14,63.6,9.46,0.05,43,29,0.541,19,5.5,45.1,15.029,"  2,586 ",144885.8,4407,30.3,2.6,29.3,0,6.5,33.2,8.7,2.8,"373,097,400,000.00","64,194.00",7,9,"830,296.00","645,785.00","1,868,165.00",55.4,41.9
7,Connecticut,CT,"4,845","3,605,944.00","2,279,232.00",63,"360,937.00",10,"6,404.00",0.00,"170,459.00",5.00,974.00,0.03,"27,076.00",0.75,"137,569.00",4.00,"623,293.00",17.00,0.09,744,14.00,14.00,"1,458.00","6,318.00","75,816.00",36.45,"896,490.00","311,589.00",19.80,14.00,"1,217.00","1,064.00","1,249.00","1,559.00","1,944.00","2,326.00","2,096.00","224,336.00",108.00,"16,024.00",111.00,43.00,3.00,0.33,713.00,237.00,81.00,105.00,325.00,343.30,10.89,4.96,88.00,4.95,"1,249.00","1,559.00","1,944.00","2,326.00",343.30,236.93,14.00,36.45,57.91,6.99,YES,6.35,0.00,6.35,0.00,15.40,"5,345.00","3,786.00","3,206.00",647.64,294.38,647.00,23.60,181.60,247.00,"8,751.00","1,512.00",579.00,156.00,"2,467.00",68.00,23.00,1.00,107.00,8.00,2.00,1.00,4.60,6.00,216.40,3.40,80.30,3.09,37.70,33.90,0,107.00,"3,605,597.00",1.00,"84,370.00",163.00,5.00,"5,100.00",1120.00,16425.00,191.00,183.00,8528.00,41977.00,7407.00,1930.00,1341.00,"2,340.00",5.00,0.14,141.00,31.00,456.00,5.00,5.00,237.00,"1,164.00",205.00,54.00,37.00,Yes,"1,210,262.00",909.00,"1,211,171.00",0.34,"11,705.00",68.00,"11,773.00",326.00,"1,558,840.00","4,821.00","1,563,661.00",0.00,"80,926.00",23.00,"80,949.00",22.00,"2,861,733.00","5,821.00","2,867,554.00",113.00,54.00,3.00,58.00,56.00,5.00,295.00,7.00,6.00,15.00,9.00,6.00,7.00,39.10,"1,371.00",9.30,9.30,364.00,4.33,10.50,"2,010.00","18,665.00",10.77,0.56,Yes,Yes,No,Yes,No,1.64,1.35,0.45,0.38,0.54,"9,584.00",14.20,272.00,268.00,8.00,22.00,Viability,Protected,Y,Y,Y,15,8,13,1,9,2,3,91.4,"20,635.00",91,15591,19,17,1008,261,1269,79,112.6,Mixed,TRUE,0,,109,33079,109,33079,11.25,5,5.2,  1 ,"2,597.00",0.8,1.11,7,54,  7 ,  54 ,  35 ,  33 ,  1 ,  2 ,  7 ,  23 ,A,A,,,A,B,10.1,15.1,59.23,618,1,30.4,4.1,1.6,0.08,"2,885.00","12,323.00",3,10.21,9.7,2.4,10,66.1,10.71,0.01,25,37,0.692,14,0.3,49,0.013,  4 ,2683.2,3269,0,1.2,53.2,41.6,3.2,0,9.7,3.8,"251,070,500,000.00","69,634.00",5,7,"721,119.00","515,085.00","1,261,959.00",59.2,39.2
8,Delaware,DE,"1,955","989,948.00","579,851.00",59,"212,960.00",22,"2,521.00",0.00,"42,398.00",4.00,304.00,0.03,"4,601.00",0.46,"43,023.00",4.00,"104,290.00",11.00,0.98,506,0.00,11.75,"1,227.00","5,317.00","63,804.00",30.68,"480,472.00","222,092.00",18.10,0.00,"1,133.00",935.00,"1,014.00","1,253.00","1,637.00","1,910.00","1,563.00","190,846.00",95.00,"16,242.00",107.00,41.00,3.00,0.15,950.00,145.00,66.00,91.00,289.00,380.39,12.33,5.17,40.00,4.63,"1,014.00","1,253.00","1,637.00","1,910.00",380.39,144.88,11.75,30.68,57.90,6.60,YES,0,0.00,0.00,0.00,12.40,"4,658.00","3,405.00","2,879.00",621.91,233.53,557.00,34.40,431.90,415.00,"4,141.00","1,654.00",355.00,324.00,"13,082.00","1,304.00",25.00,3.00,516.00,5.00,5.00,2.00,9.90,14.40,142.60,3.30,78.10,3.01,37.60,32.70,0,62.00,"1,003,384.00",1.01,"40,185.00",155.00,5.00,"2,371.00",389.00,9217.00,116.00,64.00,9756.00,15395.00,1609.00,570.00,538.00,"4,005.00",15.00,0.50,236.00,39.00,919.00,12.00,6.00,972.00,"1,534.00",160.00,57.00,54.00,No,"414,460.00","1,455.00","415,915.00",0.42,"3,391.00",468.00,"3,859.00",390.00,"579,091.00","3,247.00","582,338.00",1.00,"23,253.00",65.00,"23,318.00",24.00,"1,020,195.00","5,235.00","1,025,430.00",40.00,33.00,0.00,15.00,25.00,3.00,116.00,6.88,1.00,11.00,14.00,8.00,11.00,47.30,444.00,12.30,12.30,124.00,5.10,0.40,297.00,"12,362.00",2.40,0.30,Yes,No,No,Yes,No,0.96,2.36,0.69,0.49,0.82,"1,890.00",10.50,174.00,223.00,15.00,31.00,Viability,Protected,Y,Y,N,17,14,19,18,37,36,10,89.3,"15,639.00",90,11021,16,19,230,88,318,72,145.8,Mixed,TRUE,0,,16,62712,16,62712,4.09,0,0.0,,831.00,0.4,2.86,8,43,  8 ,  43 ,  46 ,  22 ,,  1 ,  6 ,  23 ,B+,B+,,,B+,B+,10.5,21.6,52.25,381,,33.9,4.5,2.3,0.24,"2,376.00",73.00,0.07,12.95,10.96,3.52,12,72.7,16.26,0.04,36,12,0.709,13,0.2,55.3,0.005,  5 ,2557.5,191,0,0,86.4,0,11,0,0.6768,1,"65,872,900,000.00","65,651.00",1,3,"1,003,384.00","334,461.00","752,538.00",58.7,39.8
