Country,Median_Age
Ethiopia                                                          ,18
Sudan                                                             ,17.9
Tanzania                                                          ,17.9
Guinea-Bissau                                                     ,17.8
Liberia                                                           ,17.8
Burkina Faso                                                      ,17.4
Gaza Strip                                                        ,17.4
Mozambique                                                        ,17.3
Burundi                                                           ,17.1
Zambia                                                            ,16.8
Malawi                                                            ,16.6
Angola                                                            ,15.9
Uganda                                                            ,15.9
Chad                                                              ,15.8
Mali                                                              ,15.8
Niger                                                             ,15.5
