,tree_id,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,steward,guards,sidewalk,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other
396590,589940,12,0,OnCurb,Alive,Good,Acer platanoides,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
619276,139871,16,0,OnCurb,Alive,Good,Quercus palustris,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
511538,586270,2,0,OffsetFromCurb,Alive,Good,Ulmus pumila,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
663622,161699,10,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
130034,313112,15,0,OnCurb,Alive,Poor,Acer platanoides 'Crimson King',None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
38106,247686,27,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No
489192,684947,2,0,OnCurb,Alive,Fair,Quercus rubra,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
370425,543203,4,0,OnCurb,Alive,Fair,Quercus alba,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
590081,83050,3,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
222207,419571,18,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,None,No,No,No,No,No,No,No,No,No
451144,649357,13,0,OnCurb,Alive,Good,Styphnolobium japonicum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
206821,404494,13,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
350923,560310,5,0,OnCurb,Alive,Good,Tilia cordata,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
12528,213803,9,0,OnCurb,Alive,Fair,Tilia americana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
166393,380498,20,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,BranchLights,No,No,No,No,No,No,Yes,No,No
196215,382976,3,0,OnCurb,Alive,Good,Prunus,None,None,NoDamage,WiresRope,No,No,No,Yes,No,No,No,No,No
249429,433526,0,34,OnCurb,Stump,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
598532,100159,6,0,OnCurb,Alive,Good,Zelkova serrata,1or2,None,NoDamage,TrunkOther,No,No,No,No,No,Yes,No,No,No
120532,325423,6,0,OnCurb,Alive,Good,Quercus palustris,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
527628,2089,26,0,OnCurb,Alive,Fair,Quercus palustris,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
490441,675312,22,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
604324,117570,27,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,RootOther,No,No,Yes,No,No,No,No,No,No
316588,508133,2,0,OnCurb,Alive,Fair,Cercis canadensis,1or2,Helpful,NoDamage,"BranchLights,BranchOther",No,No,No,No,No,No,Yes,No,Yes
437652,665261,20,0,OnCurb,Alive,Good,Quercus palustris,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
631343,137641,8,0,OnCurb,Alive,Good,Zelkova serrata,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
332779,549896,2,0,OnCurb,Alive,Poor,Crataegus crusgalli var. inermis,3or4,Helpful,NoDamage,"RootOther,WiresRope",No,No,Yes,Yes,No,No,No,No,No
89926,283113,5,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,Damage,None,No,No,No,No,No,No,No,No,No
180480,364491,3,0,OnCurb,Alive,Good,Acer ginnala,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
567095,74778,8,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,Damage,BranchLights,No,No,No,No,No,No,Yes,No,No
305502,503507,20,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,BranchLights,No,No,No,No,No,No,Yes,No,No
486955,712080,23,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,"Stones,RootOther,BranchLights",Yes,No,Yes,No,No,No,Yes,No,No
416081,639112,2,0,OnCurb,Alive,Good,Ginkgo biloba,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
584760,96354,11,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
463616,683903,3,0,OnCurb,Alive,Poor,Tilia cordata,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
379854,363382,3,0,OnCurb,Alive,Good,Quercus imbricaria,3or4,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
533874,31056,7,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,Unsure,NoDamage,None,No,No,No,No,No,No,No,No,No
476018,632875,2,0,OnCurb,Alive,Good,Syringa reticulata,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
20224,197502,14,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,None,No,No,No,No,No,No,No,No,No
332340,551308,38,0,OnCurb,Alive,Good,Quercus rubra,None,None,Damage,None,No,No,No,No,No,No,No,No,No
596450,74931,16,0,OnCurb,Alive,Fair,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
494928,718258,11,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,Damage,None,No,No,No,No,No,No,No,No,No
497481,720087,17,0,OnCurb,Alive,Good,Zelkova serrata,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
320753,503216,3,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
541090,37692,13,0,OnCurb,Alive,Fair,Platanus x acerifolia,None,None,Damage,None,No,No,No,No,No,No,No,No,No
317668,523181,14,0,OnCurb,Alive,Good,Tilia cordata,None,None,Damage,"RootOther,BranchLights",No,No,Yes,No,No,No,Yes,No,No
339342,559858,4,0,OnCurb,Alive,Good,Quercus palustris,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
193420,408016,33,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
369355,575773,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,NoDamage,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No
83583,290583,5,0,OnCurb,Alive,Good,Zelkova serrata,None,None,Damage,None,No,No,No,No,No,No,No,No,No
355581,511547,5,0,OnCurb,Alive,Good,Prunus cerasifera,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
516396,655792,5,0,OnCurb,Alive,Good,Maackia amurensis,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
305471,503007,5,0,OnCurb,Alive,Good,Acer rubrum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
630311,142936,14,0,OffsetFromCurb,Alive,Good,Quercus palustris,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
661052,166528,5,0,OnCurb,Alive,Good,Pyrus calleryana,3or4,Harmful,NoDamage,"Stones,WiresRope,BranchLights",Yes,No,No,Yes,No,No,Yes,No,No
336021,547966,17,0,OnCurb,Alive,Good,Tilia cordata,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
571632,15501,19,0,OnCurb,Alive,Good,Acer saccharinum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
651667,165182,0,6,OnCurb,Stump,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
148711,331565,4,0,OnCurb,Alive,Good,Ginkgo biloba,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
323897,521951,4,0,OnCurb,Alive,Good,Quercus robur,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
303664,524156,2,0,OnCurb,Alive,Good,Prunus,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
230936,396080,12,0,OnCurb,Alive,Good,Acer,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
63710,259432,0,10,OnCurb,Stump,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
466578,679088,11,0,OnCurb,Alive,Good,Acer,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
93054,292987,27,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No
123528,277528,5,0,OnCurb,Alive,Good,Syringa reticulata,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
79382,240788,17,0,OnCurb,Alive,Fair,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
209127,414869,16,0,OnCurb,Alive,Good,Platanus x acerifolia,None,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
554497,66336,7,0,OnCurb,Alive,Good,Zelkova serrata,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
54200,214449,3,0,OnCurb,Alive,Good,Quercus bicolor,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
410687,614604,8,0,OnCurb,Alive,Good,Quercus palustris,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
380199,516080,12,0,OnCurb,Alive,Good,Acer palmatum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
284841,503316,3,0,OnCurb,Alive,Fair,Zelkova serrata,None,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
426775,631802,15,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
620447,139331,14,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
596182,89341,8,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,BranchLights,No,No,No,No,No,No,Yes,No,No
34235,214512,9,0,OnCurb,Alive,Good,Acer rubrum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
623610,137072,21,0,OnCurb,Alive,Good,Ulmus americana,None,None,Damage,None,No,No,No,No,No,No,No,No,No
64306,247956,6,0,OnCurb,Alive,Good,Zelkova serrata,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
311032,532650,9,0,OnCurb,Alive,Poor,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
374545,589849,16,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
539106,35052,24,0,OffsetFromCurb,Alive,Fair,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
119225,276023,11,0,OnCurb,Alive,Good,Tilia cordata,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
471004,697951,2,0,OnCurb,Alive,Good,Prunus,1or2,None,Damage,"RootOther,TrunkOther",No,No,Yes,No,No,Yes,No,No,No
135074,295855,10,0,OnCurb,Alive,Good,Acer,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
653965,164285,5,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,1or2,Helpful,Damage,None,No,No,No,No,No,No,No,No,No
422732,645130,29,0,OnCurb,Alive,Good,Quercus palustris,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
412558,622244,6,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
233914,379466,19,0,OnCurb,Alive,Good,Acer,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
174649,368696,20,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No
542642,10545,9,0,OnCurb,Alive,Poor,Tilia cordata,3or4,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
628147,139484,15,0,OnCurb,Alive,Good,Quercus coccinea,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
107932,323417,6,0,OnCurb,Alive,Good,Ulmus americana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
588760,104462,19,0,OffsetFromCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
182270,375361,21,0,OnCurb,Alive,Good,Acer platanoides,None,None,Damage,"Stones,RootOther,TrunkOther,BranchOther",Yes,No,Yes,No,No,Yes,No,No,Yes
589711,85280,2,0,OnCurb,Alive,Good,Cercidiphyllum japonicum,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
617935,134790,9,0,OnCurb,Alive,Good,Zelkova serrata,1or2,Harmful,NoDamage,None,No,No,No,No,No,No,No,No,No
64409,276802,17,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
323445,540661,7,0,OnCurb,Alive,Good,Cercidiphyllum japonicum,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
169187,340322,18,0,OnCurb,Alive,Good,Acer saccharinum,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
470230,694328,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,Damage,None,No,No,No,No,No,No,No,No,No
532034,46406,0,5,OffsetFromCurb,Stump,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
549415,32680,13,0,OnCurb,Alive,Good,Paulownia tomentosa,None,None,Damage,None,No,No,No,No,No,No,No,No,No
304195,488179,10,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
426229,634943,2,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
343636,562373,10,0,OnCurb,Alive,Good,Tilia americana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
192907,390145,8,0,OnCurb,Alive,Good,Prunus,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
98442,288098,18,0,OnCurb,Alive,Good,Tilia cordata,None,Harmful,NoDamage,None,No,No,No,No,No,No,No,No,No
399760,603224,19,0,OnCurb,Alive,Good,Ginkgo biloba,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
121514,332153,32,0,OnCurb,Alive,Good,Quercus palustris,None,None,NoDamage,"BranchLights,BranchOther",No,No,No,No,No,No,Yes,No,Yes
371815,561156,35,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
447944,655963,4,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
215442,412272,38,0,OnCurb,Alive,Good,Acer saccharinum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
596362,93694,4,0,OnCurb,Dead,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
337040,482511,7,0,OnCurb,Alive,Good,Styphnolobium japonicum,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
206228,380214,0,26,OnCurb,Stump,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
605282,98711,3,0,OnCurb,Alive,Good,Styrax japonicus,1or2,None,Damage,None,No,No,No,No,No,No,No,No,No
449397,617300,17,0,OnCurb,Alive,Good,Platanus x acerifolia,None,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
264476,455316,6,0,OnCurb,Alive,Good,Quercus bicolor,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
284865,495542,11,0,OnCurb,Alive,Fair,Quercus palustris,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
641769,120709,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
216238,408581,40,0,OnCurb,Alive,Good,Quercus palustris,None,None,Damage,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes
24849,206215,4,0,OnCurb,Dead,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
211835,427678,32,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No
580808,75075,8,0,OnCurb,Alive,Good,Ginkgo biloba,3or4,Harmful,NoDamage,None,No,No,No,No,No,No,No,No,No
416438,628268,33,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
255023,448094,11,0,OnCurb,Alive,Fair,Fraxinus pennsylvanica,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
466831,670918,8,0,OnCurb,Alive,Good,Styphnolobium japonicum,3or4,Harmful,NoDamage,None,No,No,No,No,No,No,No,No,No
572540,71338,9,0,OnCurb,Alive,Good,Pyrus calleryana,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
437935,650908,11,0,OnCurb,Alive,Good,Quercus palustris,None,None,Damage,None,No,No,No,No,No,No,No,No,No
156303,326440,18,0,OnCurb,Alive,Fair,Platanus x acerifolia,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
459752,683768,43,0,OnCurb,Alive,Good,Quercus palustris,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
248541,448190,7,0,OnCurb,Alive,Fair,Zelkova serrata,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
93670,289525,5,0,OnCurb,Alive,Good,Acer campestre,None,None,Damage,None,No,No,No,No,No,No,No,No,No
32968,212247,3,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,Damage,None,No,No,No,No,No,No,No,No,No
309142,525951,12,0,OffsetFromCurb,Alive,Fair,Acer rubrum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
204770,368180,9,0,OnCurb,Alive,Good,Quercus acutissima,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
516398,647032,3,0,OnCurb,Alive,Good,Maackia amurensis,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
618822,58572,3,0,OnCurb,Alive,Good,Syringa reticulata,1or2,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
545310,16979,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
17248,218629,15,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,NoDamage,BranchLights,No,No,No,No,No,No,Yes,No,No
310686,538789,12,0,OnCurb,Alive,Poor,Pyrus calleryana,1or2,Harmful,Damage,None,No,No,No,No,No,No,No,No,No
401646,595143,16,0,OnCurb,Alive,Fair,Acer platanoides,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
16481,165297,12,0,OnCurb,Alive,Good,Liquidambar styraciflua,1or2,None,NoDamage,"RootOther,TrunkOther",No,No,Yes,No,No,Yes,No,No,No
148656,329103,6,0,OnCurb,Alive,Poor,Ginkgo biloba,1or2,Harmful,NoDamage,None,No,No,No,No,No,No,No,No,No
370733,590588,11,0,OnCurb,Alive,Good,Ginkgo biloba,None,Harmful,NoDamage,None,No,No,No,No,No,No,No,No,No
189273,394931,5,0,OnCurb,Alive,Good,Tilia americana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
271918,489394,10,0,OnCurb,Alive,Good,Acer ginnala,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
53750,197192,4,0,OnCurb,Alive,Poor,Prunus,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
183681,399303,4,0,OnCurb,Alive,Good,Tilia americana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
579703,88709,11,0,OnCurb,Alive,Good,Acer rubrum,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
69615,270767,15,0,OnCurb,Alive,Good,Acer rubrum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
145484,351995,5,0,OnCurb,Alive,Good,Prunus,None,None,NoDamage,TrunkOther,No,No,No,No,No,Yes,No,No,No
101244,279186,0,28,OnCurb,Stump,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
132975,344814,7,0,OnCurb,Alive,Fair,Zelkova serrata,None,None,Damage,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No
20038,213516,16,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,Damage,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No
175399,388686,11,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,BranchLights,No,No,No,No,No,No,Yes,No,No
181175,373422,15,0,OnCurb,Alive,Fair,Acer platanoides,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
464164,684522,8,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
124851,323264,12,0,OffsetFromCurb,Alive,Good,Quercus palustris,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
563766,54484,4,0,OnCurb,Alive,Good,Acer campestre,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
545631,34730,3,0,OnCurb,Alive,Good,Acer rubrum,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
306658,512396,4,0,OnCurb,Alive,Good,Tilia cordata,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
69853,257505,12,0,OnCurb,Alive,Poor,Acer campestre,None,None,Damage,"Stones,WiresRope,BranchLights",Yes,No,No,Yes,No,No,Yes,No,No
23475,206219,24,0,OnCurb,Alive,Good,Quercus palustris,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
238549,413251,3,0,OnCurb,Alive,Fair,Amelanchier,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
585746,101199,11,0,OnCurb,Alive,Good,Tilia tomentosa,None,None,Damage,None,No,No,No,No,No,No,No,No,No
374423,589223,14,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
596873,38059,4,0,OnCurb,Alive,Good,Styphnolobium japonicum,1or2,Helpful,Damage,None,No,No,No,No,No,No,No,No,No
614065,77657,2,0,OnCurb,Alive,Good,Tilia cordata,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
238890,440392,14,0,OnCurb,Alive,Good,Tilia americana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
366760,581388,4,0,OnCurb,Alive,Good,Prunus,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
614107,117873,5,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
335940,521644,10,0,OnCurb,Alive,Good,Tilia cordata,None,None,Damage,None,No,No,No,No,No,No,No,No,No
335473,542559,12,0,OnCurb,Alive,Good,Acer platanoides,None,None,Damage,None,No,No,No,No,No,No,No,No,No
83139,244605,21,0,OnCurb,Alive,Good,Quercus palustris,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
504621,698136,26,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
179464,376235,19,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,"Stones,TrunkOther,BranchLights",Yes,No,No,No,No,Yes,Yes,No,No
349356,444344,2,0,OnCurb,Alive,Good,Maackia amurensis,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
679487,165373,4,0,OnCurb,Alive,Good,Tilia cordata,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
542935,40479,13,0,OnCurb,Alive,Good,Styphnolobium japonicum,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
391140,612109,8,0,OnCurb,Alive,Good,Zelkova serrata,None,None,Damage,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No
651549,143039,26,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
397695,615648,26,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
36478,247536,5,0,OnCurb,Alive,Poor,Zelkova serrata,1or2,Harmful,NoDamage,TrunkOther,No,No,No,No,No,Yes,No,No,No
112457,297321,7,0,OnCurb,Alive,Good,Styphnolobium japonicum,3or4,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
513507,670699,11,0,OnCurb,Alive,Good,Acer saccharinum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
346264,559467,4,0,OnCurb,Alive,Good,Ginkgo biloba,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
163159,375389,15,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
481118,668307,12,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
204845,417042,4,0,OnCurb,Alive,Good,Prunus,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
302222,506772,2,0,OnCurb,Alive,Good,Ginkgo biloba,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
225776,413717,5,0,OnCurb,Alive,Good,Acer rubrum,None,None,Damage,"RootOther,TrunkOther",No,No,Yes,No,No,Yes,No,No,No
188395,364526,15,0,OnCurb,Alive,Good,Acer saccharinum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
124055,323479,14,0,OnCurb,Alive,Good,Quercus palustris,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
644686,140765,20,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
450120,617467,20,0,OnCurb,Alive,Good,Quercus palustris,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
276773,487410,0,26,OnCurb,Stump,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
17626,219970,6,0,OnCurb,Alive,Fair,Quercus palustris,None,None,NoDamage,BranchLights,No,No,No,No,No,No,Yes,No,No
238808,432908,8,0,OnCurb,Alive,Good,Prunus cerasifera,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
671090,163586,6,0,OnCurb,Dead,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
77150,276507,33,0,OnCurb,Alive,Good,Quercus palustris,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
13483,203613,31,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No
608415,116480,22,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,None,None,Damage,None,No,No,No,No,No,No,No,No,No
482705,707734,11,0,OnCurb,Alive,Good,Zelkova serrata,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
5695,211801,3,0,OnCurb,Alive,Poor,Malus,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
39010,231677,26,0,OnCurb,Alive,Good,Quercus palustris,1or2,None,Damage,"TrunkOther,BranchLights,BranchOther",No,No,No,No,No,Yes,Yes,No,Yes
35253,217593,8,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,BranchLights,No,No,No,No,No,No,Yes,No,No
367870,578188,14,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
576395,33025,7,0,OnCurb,Alive,Good,Gymnocladus dioicus,1or2,Harmful,NoDamage,None,No,No,No,No,No,No,No,No,No
333830,553433,15,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,"Stones,RootOther,BranchLights",Yes,No,Yes,No,No,No,Yes,No,No
520359,2905,4,0,OnCurb,Alive,Poor,Zelkova serrata,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
