boro_ct,ntaname,ALAND,pop2020,pop2010,pop2000,trees15,trees05,trees95,geometry,ppt_2020,ppt_2010,ppt_2000,blocks,trees_per_block15,trees_per_block05,trees_per_block95,trees_per_block15_bins,trees_per_block05_bins,trees_per_block95_bins
3002901,Fort Greene,109261.0,3149,3218.0,4300.0,40,,,"POLYGON ((-73.97584800037748 40.693361000014534, -73.97782700078251 40.69343800048208, -73.97916800026198 40.69348899987283, -73.97919499979095 40.693695000125444, -73.97921799932826 40.693764999822385, -73.97925899931874 40.69381999980248, -73.97932999948897 40.69389100032201, -73.97948099980543 40.69401299975258, -73.97980499999971 40.69424100052023, -73.97988299929557 40.694307999902335, -73.97994399968529 40.694385000029, -73.98013899958268 40.69468299961082, -73.98024299993898 40.69545700012156, -73.98026299993532 40.69563399975304, -73.98035600018649 40.696177999291834, -73.98037100022238 40.69626299997205, -73.98038100066242 40.69640400066493, -73.98038799951127 40.696506999523606, -73.97952899988053 40.69652899965534, -73.97838100034971 40.69649199979623, -73.9773900007166 40.69641899971396, -73.97644300053085 40.69637100005615, -73.97642399950367 40.69627299961457, -73.97640200054876 40.69616600054483, -73.9763750003047 40.69603600029389, -73.97618800034401 40.69509800000236, -73.97605200061219 40.69441199996359, -73.9759869997038 40.694088999450145, -73.97594000001752 40.69385499953147, -73.97584800037748 40.693361000014534))",78.725,,,5.939775838586469,6.73426086892853,,, 1 to 10,nan,nan
3003000,Bay Ridge,110188.0,1811,1730.0,1873.0,92,91.0,69.0,"POLYGON ((-74.02625699924049 40.640131999964794, -74.02630900021654 40.64008999940634, -74.02634799962476 40.640043000047655, -74.02644200022442 40.6399400000634, -74.02660000080961 40.63978700043909, -74.02669400005198 40.63969999943332, -74.0268609995252 40.639535999853514, -74.02762400037973 40.638804999665254, -74.02780200041668 40.6386250006733, -74.02800400002401 40.63814499989731, -74.02827899927911 40.637468000005704, -74.02865799983596 40.63654599963847, -74.03126799947515 40.63735700039219, -74.03089100092949 40.63827899994174, -74.03060600017527 40.6389629996019, -74.03032200042644 40.639647000241, -74.02909500037778 40.64081099952273, -74.02885200019934 40.64080199970806, -74.02907300049137 40.6409689993431, -74.02890100064154 40.6410079993089, -74.02890100072585 40.641146999567944, -74.02907899944047 40.641273999957065, -74.02889700055263 40.64121400050634, -74.0283710003576 40.64099499961641, -74.02800100073404 40.64082899941903, -74.02740199943757 40.64054400027024, -74.02701699972557 40.64038000075204, -74.02690300029022 40.640336000558904, -74.02672600006531 40.64027199972022, -74.02660599930844 40.64023599983214, -74.02625699924049 40.640131999964794))",19.684782608695652,19.01098901098901,27.144927536231883,5.990170510082883,15.358494360910445,15.191554204813594,11.518870770682835, 11 to 20, 11 to 20, 11 to 20
3003300,Fort Greene,164585.0,4807,2327.0,2348.0,229,245.0,222.0,"POLYGON ((-73.97461600022619 40.68719100037247, -73.97558999970354 40.68708600044931, -73.97620599997461 40.687025000470776, -73.9765449998446 40.68699399981979, -73.97736099969376 40.68691900033183, -73.97820799996663 40.686819999380646, -73.97905699955388 40.68671299999739, -73.97936300038664 40.68668200004788, -73.9795899992773 40.68700400041191, -73.97984100000738 40.68734500025603, -73.98055900018521 40.688351000090464, -73.9806470002386 40.68852300045126, -73.9808130000717 40.68877500025787, -73.98086999951596 40.68886599931136, -73.98106800031496 40.688944999470316, -73.98200899955441 40.68932199978713, -73.98289300078075 40.68967400024148, -73.9835059993002 40.68992099943039, -73.98350499942175 40.690005999969685, -73.98313399915327 40.6900030000124, -73.98266400000921 40.68998300018355, -73.98156699966258 40.68993699976807, -73.98135999997626 40.68992799982323, -73.98042899975889 40.68990099937302, -73.97951000016485 40.68986299975801, -73.97862400052179 40.689830999898405, -73.97793899999441 40.68980599985459, -73.97709799951197 40.68977300049946, -73.97610200024688 40.689737000854215, -73.97510599947499 40.689698000458485, -73.97461600022619 40.68719100037247))",20.99126637554585,9.49795918367347,10.576576576576576,8.947364625930149,25.594128503083514,27.382364555700704,24.811775230063496, 21 to 30, 21 to 30, 21 to 30
3003400,Bay Ridge,477399.0,3489,3047.0,2882.0,322,339.0,170.0,"POLYGON ((-74.03264400062402 40.64379999959485, -74.0320760000745 40.64340699954164, -74.03056299971361 40.64256400045063, -74.02905999915853 40.64172699969852, -74.02892300015489 40.64145100042579, -74.02910499966261 40.64141499922674, -74.02907899944047 40.641273999957065, -74.02890100072585 40.641146999567944, -74.02890100064154 40.6410079993089, -74.02907300049137 40.6409689993431, -74.02885200019934 40.64080199970806, -74.02909500037778 40.64081099952273, -74.03032200042644 40.639647000241, -74.03060600017527 40.6389629996019, -74.03089100092949 40.63827899994174, -74.03126799947515 40.63735700039219, -74.03140499947048 40.63701899989467, -74.03154700011955 40.6366730004381, -74.03182600006555 40.63599299916721, -74.03203700003874 40.63547500008552, -74.03231699983891 40.634791000101906, -74.03499900036067 40.63542600039303, -74.03650000036959 40.63578299958691, -74.0372449998213 40.63598500022265, -74.03794099973284 40.63580499971769, -74.03809199927251 40.635765999605866, -74.03847100025216 40.63567700027691, -74.03714000024176 40.63828800019538, -74.0367249991459 40.6391410003169, -74.03676100038558 40.63918900075246, -74.03673100014565 40.63923799951395, -74.03668200081545 40.639325000116074, -74.03660999929598 40.63942799962226, -74.03654900003752 40.639524999354606, -74.03647699975275 40.63965000017536, -74.03643299993459 40.63972300003887, -74.03639499970548 40.63978500035967, -74.0363060001185 40.63992900049641, -74.03622299989884 40.64006400057683, -74.036137000736 40.64018699977202, -74.03607400053087 40.64026500009096, -74.03601999999702 40.64034999960029, -74.03598299976488 40.64039600023131, -74.03594899951288 40.64043500010268, -74.03586500000198 40.640534000633494, -74.03580699950822 40.640583999883205, -74.03575799968827 40.64063000023183, -74.03576200062139 40.64066300023883, -74.03578699899411 40.6407070002782, -74.0358469993017 40.64078199961693, -74.03591300018246 40.640821999780904, -74.03598300017211 40.64090300039178, -74.0360869993462 40.64096899961662, -74.03621200005114 40.64103100024102, -74.03633699931355 40.64111000002429, -74.03645600006443 40.64117499993731, -74.0365219997561 40.64123000042704, -74.03666000023593 40.64134800009491, -74.03675099963534 40.641409000401715, -74.03680199978645 40.641477999607176, -74.03679700087504 40.64157499971293, -74.03674400017832 40.641671999549, -74.03666200070548 40.64175699974384, -74.03648500059043 40.64192199983871, -74.03641000065859 40.642018000688765, -74.0363489998677 40.64208199942797, -74.036246999661 40.642164999791625, -74.03618700041322 40.642200000329375, -74.03611999953401 40.642219000039226, -74.03460500050285 40.64367099992338, -74.03444399974046 40.64382500048678, -74.03452700018117 40.6438749995866, -74.03407299904934 40.64431200030373, -74.03342100069116 40.64392399999547, -74.03333699969085 40.64387300006044, -74.03286599955103 40.643587000203986, -74.03264400062402 40.64379999959485))",10.835403726708075,8.988200589970502,16.95294117647059,25.952929641549517,12.407077137237406,13.06210916001081,6.550320227734034, 11 to 20, 11 to 20, 1 to 10
3003500,Fort Greene,133028.0,2402,1554.0,1477.0,187,275.0,114.0,"POLYGON ((-73.97428099957783 40.68551299974423, -73.97392200064436 40.68375599971488, -73.97378000004093 40.683060999866534, -73.97482699968253 40.68327800046829, -73.97592900038588 40.68350500028495, -73.97631800066654 40.68364399973518, -73.97745700078949 40.68405200000731, -73.97802599955382 40.68486399949195, -73.97827400100739 40.68519599935793, -73.97908799964647 40.68628500010249, -73.97936300038664 40.68668200004788, -73.97905699955388 40.68671299999739, -73.97820799996663 40.686819999380646, -73.97736099969376 40.68691900033183, -73.9765449998446 40.68699399981979, -73.97620599997461 40.687025000470776, -73.97558999970354 40.68708600044931, -73.97461600022619 40.68719100037247, -73.97443999914216 40.68630899986657, -73.97428099957783 40.68551299974423))",12.844919786096257,5.650909090909091,12.956140350877194,7.231825630879095,25.857924339537544,38.02635932284932,15.763654410199358, 21 to 30,31 to 40, 11 to 20
3003600,Bay Ridge,125291.0,3959,3804.0,3940.0,207,203.0,203.0,"POLYGON ((-74.02865799983596 40.63654599963847, -74.02880699981111 40.63618899924038, -74.02894199944494 40.63586699965197, -74.02913400043737 40.63537299968481, -74.02935699956903 40.63483699991531, -74.02963299958519 40.63415300049223, -74.02991300056071 40.63347400050529, -74.03019099912068 40.63279100040825, -74.03047299964736 40.63209899949386, -74.03315499981372 40.63273500026491, -74.03287399979222 40.63342900029967, -74.0325930001188 40.63411000048042, -74.03231699983891 40.634791000101906, -74.03203700003874 40.63547500008552, -74.03182600006555 40.63599299916721, -74.03154700011955 40.6366730004381, -74.03140499947048 40.63701899989467, -74.03126799947515 40.63735700039219, -74.02865799983596 40.63654599963847))",19.1256038647343,18.738916256157637,19.408866995073893,6.811217676868575,30.391041634594664,29.803775129578344,29.803775129578344,31 to 40, 21 to 30, 21 to 30
3003700,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,166448.0,4565,390.0,357.0,182,87.0,72.0,"POLYGON ((-73.98536300022062 40.69066699978314, -73.98510499997201 40.69056100017416, -73.9844329998619 40.69029200019379, -73.98406999965654 40.69014300013034, -73.9835059993002 40.68992099943039, -73.98289300078075 40.68967400024148, -73.98200899955441 40.68932199978713, -73.98106800031496 40.688944999470316, -73.98086999951596 40.68886599931136, -73.9808130000717 40.68877500025787, -73.9806470002386 40.68852300045126, -73.98055900018521 40.688351000090464, -73.97984100000738 40.68734500025603, -73.9795899992773 40.68700400041191, -73.97936300038664 40.68668200004788, -73.97981200002806 40.68664499999547, -73.98181700000346 40.687329999915235, -73.98312400024928 40.68783799985495, -73.9839880003961 40.688175000378564, -73.98432999988863 40.68830799975865, -73.98540700081315 40.68872699934195, -73.98615499975253 40.68901799947633, -73.98830099951513 40.68986899995081, -73.98966200018118 40.69033399991353, -73.9892609996791 40.690976999586276, -73.98911100060396 40.69142900023237, -73.98893200053114 40.69208599958246, -73.98822799944857 40.69181099995485, -73.98734800008131 40.69145799960148, -73.98646500001954 40.69110400064257, -73.98633099910784 40.69104999948446, -73.98536300022062 40.69066699978314))",25.082417582417584,4.482758620689655,4.958333333333333,9.04864323757828,20.113512625204272,9.614701090070174,7.956994005575316, 21 to 30, 1 to 10, 1 to 10
3003800,Bay Ridge,127478.0,1529,1498.0,1607.0,204,221.0,144.0,"POLYGON ((-74.03231699983891 40.634791000101906, -74.0325930001188 40.63411000048042, -74.03287399979222 40.63342900029967, -74.03315499981372 40.63273500026491, -74.03583600005102 40.63336999960805, -74.0369259994832 40.633638999549156, -74.03894899962758 40.63381300021326, -74.0390889994881 40.63382799981804, -74.0391689994995 40.63383599994091, -74.03933799915144 40.633803000385946, -74.03847100025216 40.63567700027691, -74.03809199927251 40.635765999605866, -74.03794099973284 40.63580499971769, -74.0372449998213 40.63598500022265, -74.03650000036959 40.63578299958691, -74.03499900036067 40.63542600039303, -74.03231699983891 40.634791000101906))",7.495098039215686,6.778280542986425,11.159722222222221,6.9301099601076865,29.43676235648504,31.889825886192128,20.778891075165912, 21 to 30,31 to 40, 21 to 30
3003900,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,156923.0,2644,2229.0,2119.0,256,406.0,223.0,"POLYGON ((-73.97936300038664 40.68668200004788, -73.97908799964647 40.68628500010249, -73.97827400100739 40.68519599935793, -73.97802599955382 40.68486399949195, -73.9783369994727 40.684395000693115, -73.97874300075792 40.683760000118625, -73.97916499997515 40.683125000159905, -73.97960500030143 40.68248899950095, -73.98199300034521 40.68341800063841, -73.98395299950579 40.684181999829065, -73.9835220002906 40.68481599972825, -73.98309200035524 40.68545100001134, -73.98266100069642 40.686086000118955, -73.98223199978511 40.68672100009647, -73.98181700000346 40.687329999915235, -73.97981200002806 40.68664499999547, -73.97936300038664 40.68668200004788))",10.328125,5.490147783251231,9.502242152466367,8.530833910713836,30.008789607132165,47.59206476756117,26.14046907183778,31 to 40,> 40, 21 to 30
3004100,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,162009.0,3398,3598.0,3251.0,394,384.0,448.0,"POLYGON ((-73.98181700000346 40.687329999915235, -73.98223199978511 40.68672100009647, -73.98266100069642 40.686086000118955, -73.98309200035524 40.68545100001134, -73.9835220002906 40.68481599972825, -73.98395299950579 40.684181999829065, -73.98611899950728 40.68502400014512, -73.9882889997271 40.685869000236956, -73.98785899979391 40.68650399973959, -73.9874290001429 40.6871380004831, -73.98699999926369 40.687772999645354, -73.98656800000961 40.68840799999628, -73.98641500009442 40.68863199999682, -73.9863519998571 40.68872400073035, -73.98615499975253 40.68901799947633, -73.98540700081315 40.68872699934195, -73.98432999988863 40.68830799975865, -73.9839880003961 40.688175000378564, -73.98312400024928 40.68783799985495, -73.98181700000346 40.687329999915235))",8.624365482233502,9.369791666666666,7.256696428571429,8.807325064145077,44.735489735014724,43.60007121382146,50.866749749458364,> 40,> 40,> 40
3004300,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,165383.0,3810,3008.0,2942.0,330,390.0,258.0,"POLYGON ((-73.98615499975253 40.68901799947633, -73.9863519998571 40.68872400073035, -73.98641500009442 40.68863199999682, -73.98656800000961 40.68840799999628, -73.98699999926369 40.687772999645354, -73.9874290001429 40.6871380004831, -73.98785899979391 40.68650399973959, -73.9882889997271 40.685869000236956, -73.9904679996341 40.686728000431245, -73.99188500050255 40.687291999760824, -73.99326900027859 40.68782500027277, -73.99300499949423 40.688363999835104, -73.99293300022144 40.68851500004524, -73.99268600085131 40.68903300058536, -73.99262300020925 40.689160999458196, -73.99236400000785 40.68968999988623, -73.99068599989826 40.689142000295256, -73.99058399919157 40.68920300008245, -73.99045500013338 40.689291999285345, -73.9900959993167 40.68970600017167, -73.98988099955774 40.68999100011841, -73.98966200018118 40.69033399991353, -73.98830099951513 40.68986899995081, -73.98615499975253 40.68901799947633))",11.545454545454545,7.712820512820513,11.4031007751938,8.990746446700525,36.70440512991057,43.37793333534886,28.69617128338463,31 to 40,> 40, 21 to 30
3004400,Bay Ridge,419483.0,2448,,,779,706.0,573.0,"POLYGON ((-74.03315499981372 40.63273500026491, -74.03047299964736 40.63209899949386, -74.03076399940592 40.63139199954712, -74.0310610006603 40.630660999870784, -74.03136000000788 40.629930999788265, -74.03165800005326 40.629198999966626, -74.03195700005183 40.628471000098266, -74.03225600012206 40.627741000546095, -74.03493799934121 40.628375000101656, -74.03761999890459 40.6290129999176, -74.03791799980277 40.628280999870185, -74.0388319998576 40.628497000424304, -74.0398959997264 40.62872900011906, -74.0409330008485 40.62893200047502, -74.04104099948074 40.62895399995758, -74.04129599980212 40.629004000199174, -74.04124899977155 40.62928300003075, -74.04118299953586 40.62944299993346, -74.04112900032118 40.62964399961402, -74.04111600001767 40.629732000205465, -74.04114900087673 40.62987299957832, -74.04112700076082 40.6300030003966, -74.04110199969605 40.63015199952335, -74.04103700023897 40.63033500031031, -74.0409469998413 40.63049100025643, -74.04087500023398 40.63060000041955, -74.04077600058982 40.63070999972101, -74.04069999984607 40.630851000212225, -74.04059600023928 40.631088999899895, -74.04050399982029 40.631292000475135, -74.04031199926456 40.631712999997255, -74.04014100004065 40.632098999893294, -74.0400570006995 40.63228100062871, -74.03998999951315 40.63248499976956, -74.03983200034217 40.63283600013358, -74.03971600027873 40.63307800008053, -74.03963799963707 40.633238000563644, -74.03933799915144 40.633803000385946, -74.0391689994995 40.63383599994091, -74.0390889994881 40.63382799981804, -74.03894899962758 40.63381300021326, -74.0369259994832 40.633638999549156, -74.03583600005102 40.63336999960805, -74.03315499981372 40.63273500026491))",3.142490372272144,,,22.804431481478,34.16002721368923,30.958895010095763,25.126695241904915,31 to 40,31 to 40, 21 to 30
3004500,Carroll Gardens-Columbia Street-Red Hook,170539.0,3476,3325.0,3444.0,424,401.0,263.0,"POLYGON ((-73.99436100041854 40.690239000155785, -73.99236400000785 40.68968999988623, -73.99262300020925 40.689160999458196, -73.99268600085131 40.68903300058536, -73.99293300022144 40.68851500004524, -73.99300499949423 40.688363999835104, -73.99326900027859 40.68782500027277, -73.99333799948597 40.687678999624524, -73.99360400013687 40.687126999730545, -73.9937870000923 40.68675599961915, -73.99393000027055 40.686452999977405, -73.99409100002063 40.68611399982893, -73.99425399970389 40.68577800014211, -73.99440800010461 40.68545299943256, -73.99453800079499 40.68549499993014, -73.99474399952055 40.68556300017391, -73.99538600031379 40.68577500042674, -73.9960279991943 40.68598700012255, -73.99618000014578 40.68603699991987, -73.99635799977558 40.68609599973411, -73.9964879999228 40.68613799958296, -73.99712399942707 40.6863469995287, -73.99727799943577 40.68639799990142, -73.99818899993917 40.68669999974609, -73.99813399927689 40.686813999246986, -73.99787300095831 40.68735800026551, -73.997561999969 40.68800000054889, -73.99733299933862 40.688485000360444, -73.99720300045135 40.688748999728915, -73.99687400061009 40.68943299978876, -73.99654800031016 40.690103999890304, -73.99623300015526 40.69075800011223, -73.99436100041854 40.690239000155785))",8.19811320754717,8.291770573566085,13.095057034220533,9.27104302300636,45.73379704396062,43.25295427978351,28.367897694720856,> 40,> 40, 21 to 30
3004600,Bay Ridge,289094.0,1154,1199.0,1217.0,523,435.0,351.0,"POLYGON ((-74.03225600012206 40.627741000546095, -74.02957299954078 40.62710299995581, -74.02685599951951 40.62645899937428, -74.02713900021936 40.625761999824135, -74.02715300028568 40.62572699978116, -74.02987100056433 40.62637400040869, -74.0325549998793 40.62701000009104, -74.03283300071085 40.62632899967856, -74.03310799976268 40.6256470002727, -74.0357889992244 40.62628499971283, -74.03607100041513 40.62559899947144, -74.03642599980915 40.62473399990305, -74.03910900035883 40.62537199978806, -74.04071600064572 40.62571999958969, -74.04130199986693 40.62589900031597, -74.04141499974416 40.62593399933564, -74.04168099980228 40.62602000030512, -74.04168200019869 40.62613399964992, -74.04167999950536 40.62619499970847, -74.04167100078242 40.62633399992399, -74.04165600024115 40.62659599978863, -74.04163799915737 40.62680600023188, -74.04162000001324 40.62703099985749, -74.0415750006158 40.62740800004706, -74.04151299968086 40.6276939995836, -74.04148799954743 40.627990000137636, -74.04144399928018 40.6283060002011, -74.04140699999944 40.628460000573796, -74.04139799979966 40.62858699943242, -74.04129599980212 40.629004000199174, -74.04104099948074 40.62895399995758, -74.0409330008485 40.62893200047502, -74.0398959997264 40.62872900011906, -74.0388319998576 40.628497000424304, -74.03791799980277 40.628280999870185, -74.03761999890459 40.6290129999176, -74.03493799934121 40.628375000101656, -74.03225600012206 40.627741000546095))",2.2065009560229445,2.7563218390804596,3.467236467236467,15.716070292971112,33.27803899133154,27.678674878067344,22.33382731540606,31 to 40, 21 to 30, 21 to 30
3004700,Carroll Gardens-Columbia Street-Red Hook,283961.0,1951,1445.0,1120.0,189,84.0,62.0,"POLYGON ((-73.99779300024674 40.69118800025446, -73.99808700033138 40.69053500044544, -73.99841199997452 40.68985599982577, -73.99874199968765 40.68917699935861, -73.99906999937905 40.68849799983639, -73.99937800010606 40.68785299988031, -73.99960499955769 40.6873819997709, -73.99963799944909 40.68731500015816, -73.99969599989082 40.68719800054117, -74.00064200047066 40.68524700028806, -74.0008219994123 40.68528600003619, -74.00092099966236 40.68532099955073, -74.00100299973495 40.685350000618826, -74.001476 40.685484999940684, -74.0023639998646 40.68573699984133, -74.00450400047701 40.68630100061885, -74.00485300072637 40.68566799959372, -74.00549699968722 40.685847000093275, -74.00813499999815 40.68561499984622, -74.00838600018308 40.68596900029032, -74.0084250000464 40.68601599996948, -74.00816400016838 40.6861749993383, -74.00794999941336 40.68629300010494, -74.00792900020205 40.68627600000074, -74.00789900001602 40.68625099984185, -74.00784299992179 40.6862379998479, -74.00777800022749 40.68624500071614, -74.00772999942507 40.686254000118126, -74.00766999996145 40.68626900001873, -74.00762300000179 40.68628500061597, -74.0075359996733 40.68631499980552, -74.0074969998698 40.68634400031966, -74.00741100033099 40.68638799971094, -74.00724300013839 40.68644899999481, -74.0071500006288 40.68647500021484, -74.0070639998776 40.68650399944026, -74.00702000001837 40.686525999720736, -74.00698899950922 40.68650899977363, -74.00687499976449 40.68646399935362, -74.0067549998788 40.68641300011004, -74.00659399899142 40.68634699991603, -74.00650600041001 40.68631399975936, -74.00644399927161 40.68629600010217, -74.00640599971523 40.686288999981116, -74.00634999959377 40.68628499990126, -74.00587400027744 40.686207000241495, -74.00562999991726 40.68678399973422, -74.00503799993035 40.68756099991403, -74.00459300018781 40.68821500071332, -74.00391900033797 40.68886000022255, -74.00382000051106 40.68893000002214, -74.00340900033474 40.689613000507435, -74.00302399992711 40.690349000114686, -74.00299300004092 40.6904269995589, -74.002763000524 40.6903639996856, -74.00261599907267 40.690323999871204, -74.00242699951511 40.69027299951808, -74.00217800009078 40.690206000683936, -74.00196300006576 40.6901359999146, -74.00185300042646 40.690387999877764, -74.00095999992162 40.69013199998543, -74.00069900071551 40.69061200005418, -74.00133199965065 40.69122499934397, -74.00196900007312 40.691842999966305, -74.0018180001924 40.692222000211466, -74.00174399930695 40.69240700023106, -74.00049499999247 40.69193800053204, -74.00031499933353 40.691875000049585, -74.00018999986747 40.69184599968362, -73.99964100047673 40.69168200015881, -73.99934299967175 40.69160800025121, -73.9991359997632 40.69155399980429, -73.99847700071189 40.691377000381145, -73.99779300024674 40.69118800025446))",10.322751322751323,17.202380952380953,18.06451612903226,15.4370240698955,12.243292434101868,5.441463304045275,4.016318152985798, 11 to 20, 1 to 10, 1 to 10
3004900,Carroll Gardens-Columbia Street-Red Hook,97531.0,2412,2516.0,2593.0,187,194.0,129.0,"POLYGON ((-73.99623300015526 40.69075800011223, -73.99654800031016 40.690103999890304, -73.99687400061009 40.68943299978876, -73.99720300045135 40.688748999728915, -73.99733299933862 40.688485000360444, -73.997561999969 40.68800000054889, -73.99787300095831 40.68735800026551, -73.99813399927689 40.686813999246986, -73.99818899993917 40.68669999974609, -73.99908099973709 40.68481600021888, -73.99986499956005 40.6850360001806, -74.00064200047066 40.68524700028806, -73.99969599989082 40.68719800054117, -73.99963799944909 40.68731500015816, -73.99960499955769 40.6873819997709, -73.99937800010606 40.68785299988031, -73.99906999937905 40.68849799983639, -73.99874199968765 40.68917699935861, -73.99841199997452 40.68985599982577, -73.99808700033138 40.69053500044544, -73.99779300024674 40.69118800025446, -73.9973739995777 40.69107299964274, -73.99623300015526 40.69075800011223))",12.898395721925134,12.969072164948454,20.100775193798448,5.302095691172302,35.26907300284012,36.589305682090824,24.330002231905755,31 to 40,31 to 40, 21 to 30
3005000,Bay Ridge,223992.0,2535,2276.0,2401.0,430,398.0,277.0,"POLYGON ((-74.03310799976268 40.6256470002727, -74.03338899971823 40.624968000088415, -74.03374200013296 40.62409899946532, -74.03404300018562 40.623362999762996, -74.0343230003211 40.62268300002573, -74.03460099920203 40.6220009999732, -74.03728199964215 40.62263799954363, -74.03869200107586 40.62296899956711, -74.03996100001848 40.6232760007406, -74.04029099993907 40.62254600036644, -74.04130899922946 40.622438000099876, -74.04146699937908 40.62242800027997, -74.0416589994147 40.622401999808126, -74.04178100002925 40.62254100013815, -74.04182600027974 40.62267699961156, -74.04176099966628 40.622873999853255, -74.04177200059858 40.623190000239084, -74.04180199939951 40.623424000229946, -74.04187999988912 40.62364399984396, -74.04191000059828 40.623845999486505, -74.04190800010505 40.62396499956608, -74.0419160002306 40.62424700040419, -74.0419000005503 40.62449499979748, -74.04185199958937 40.62479099967946, -74.04182500049558 40.624937999425185, -74.0417799992542 40.62511800024792, -74.04170500009863 40.62536400035192, -74.04169799961078 40.62551400017889, -74.04168800020153 40.625641999338065, -74.04168699956345 40.62582299979423, -74.04168099980228 40.62602000030512, -74.04141499974416 40.62593399933564, -74.04130199986693 40.62589900031597, -74.04071600064572 40.62571999958969, -74.03910900035883 40.62537199978806, -74.03642599980915 40.62473399990305, -74.03607100041513 40.62559899947144, -74.0357889992244 40.62628499971283, -74.03310799976268 40.6256470002727))",5.895348837209302,5.71859296482412,8.667870036101084,12.176918293230525,35.312711282545806,32.68478858244938,22.747955872709742,31 to 40,31 to 40, 21 to 30
3005100,Carroll Gardens-Columbia Street-Red Hook,179702.0,2658,2171.0,2093.0,234,245.0,15.0,"POLYGON ((-74.00064200047066 40.68524700028806, -74.00071399993743 40.68510099987287, -74.00095799988515 40.684579000427746, -74.00128099992459 40.683908999722455, -74.001609000525 40.68323499969759, -74.00195699963126 40.68259300036695, -74.0023000007785 40.68190599984804, -74.00261700015322 40.681226000036574, -74.00294400038526 40.68058099998128, -74.00321999945076 40.680078000172124, -74.00326299920644 40.67998200026129, -74.00333000045353 40.679825000326076, -74.00334999982158 40.67972899982003, -74.0033459995328 40.67962999987113, -74.00343100078126 40.679708000254955, -74.00352500052179 40.679790000282985, -74.00371800015921 40.68002099979681, -74.00384100000984 40.680176999938084, -74.00447300028385 40.68099300007874, -74.00456899950231 40.681150000254114, -74.00503699950406 40.681911000167815, -74.00560099918376 40.682815999459834, -74.00567500073534 40.68293000005139, -74.006065000622 40.683201999892425, -74.00596000017923 40.683362999186535, -74.00581899925467 40.68365599959394, -74.0054980006536 40.68432600011601, -74.00517900036431 40.684998000204246, -74.00485300072637 40.68566799959372, -74.00450400047701 40.68630100061885, -74.0023639998646 40.68573699984133, -74.001476 40.685484999940684, -74.00100299973495 40.685350000618826, -74.00092099966236 40.68532099955073, -74.0008219994123 40.68528600003619, -74.00064200047066 40.68524700028806))",11.35897435897436,8.861224489795918,139.53333333333333,9.769172877290758,23.952897849105746,25.078888773636358,1.535442169814471, 21 to 30, 21 to 30, 1 to 10
3005201,Bay Ridge,133678.0,1879,1829.0,1775.0,151,,,"POLYGON ((-74.03460099920203 40.6220009999732, -74.03488600030806 40.621319999998505, -74.03515799991125 40.62063800041291, -74.03543700027268 40.61995599997921, -74.03809500022304 40.6205850003512, -74.03942099933188 40.62089999984138, -74.04047499938711 40.62078999989338, -74.04094300038862 40.620705999434804, -74.0411269999884 40.620692999793484, -74.04128400013947 40.62068200012962, -74.04151700086281 40.62065299978083, -74.04164399970857 40.62072000001978, -74.04164800033028 40.62081900060604, -74.04164600006786 40.62086599966321, -74.04163799893759 40.621055999947025, -74.04162800036131 40.621155000111905, -74.041607000154 40.62129199965201, -74.04161700000905 40.62141899971209, -74.04162599940622 40.6215160002811, -74.04165100020718 40.62173699987907, -74.04166500044228 40.62195000036369, -74.04168499945831 40.62207899988837, -74.04171400027889 40.62222400005335, -74.04174600046899 40.62235099971404, -74.04179999937033 40.62244599985979, -74.04178100002925 40.62254100013815, -74.0416589994147 40.622401999808126, -74.04146699937908 40.62242800027997, -74.04130899922946 40.622438000099876, -74.04029099993907 40.62254600036644, -74.03996100001848 40.6232760007406, -74.03869200107586 40.62296899956711, -74.03728199964215 40.62263799954363, -74.03460099920203 40.6220009999732))",12.443708609271523,,,7.2671617004288995,20.77840100779485,,, 21 to 30,nan,nan
3005202,Bay Ridge,133272.0,2668,2481.0,2453.0,136,,,"POLYGON ((-74.03543700027268 40.61995599997921, -74.03571099941423 40.619274999849786, -74.03599000014518 40.6185960000142, -74.03697200000985 40.61879500007171, -74.03689500018827 40.61866299965188, -74.03918299980987 40.61785599935211, -74.04039099997037 40.61707999974855, -74.04050200075814 40.61706799973831, -74.04062599929546 40.61703899992844, -74.04078499951528 40.617017000031446, -74.0411559998267 40.61871000015811, -74.04126300016809 40.619074999969556, -74.04138399923214 40.61964700042158, -74.04148100070532 40.619993000338965, -74.04155200022146 40.62014999992363, -74.04159400037983 40.62028800054962, -74.04162299996062 40.62040000018476, -74.04163500010617 40.62051800011496, -74.04164399970857 40.62072000001978, -74.04151700086281 40.62065299978083, -74.04128400013947 40.62068200012962, -74.0411269999884 40.620692999793484, -74.04094300038862 40.620705999434804, -74.04047499938711 40.62078999989338, -74.03942099933188 40.62089999984138, -74.03809500022304 40.6205850003512, -74.03543700027268 40.61995599997921))",19.61764705882353,,,7.245090247756252,18.77133277147488,,, 11 to 20,nan,nan
