Date,Open,High,Low,Close,Adj Close,Volume
2022-03-15,52.689999,53.000000,52.209999,52.759998,49.840931,20477600
2022-03-16,52.869999,53.000000,51.950001,52.490002,49.585873,28500700
2022-03-17,52.480000,52.540001,52.000000,52.360001,49.463066,22931500
2022-03-18,52.119999,52.290001,50.799999,50.799999,47.989372,70390600
2022-03-21,51.369999,51.810001,50.970001,51.099998,48.272774,39892800
2022-03-22,51.189999,51.459999,50.950001,51.000000,48.178310,28676600
2022-03-23,51.049999,51.459999,50.959999,50.970001,48.149967,25988800
2022-03-24,51.040001,51.189999,50.930000,51.000000,48.178310,21087300
2022-03-25,51.060001,51.459999,50.970001,51.279999,48.442818,18765800
2022-03-28,51.360001,51.389999,50.950001,51.169998,48.338905,21688600
2022-03-29,51.320000,51.340000,50.959999,51.250000,48.414478,28193400
2022-03-30,51.220001,51.630001,51.080002,51.610001,48.754562,23821200
2022-03-31,51.660000,51.750000,50.930000,50.939999,48.121624,31027600
2022-04-01,51.020000,52.189999,50.820000,52.119999,49.236340,30550300
2022-04-04,52.020000,52.500000,51.639999,52.459999,49.557529,25793000
2022-04-05,52.200001,52.900002,52.130001,52.779999,49.859825,23150600
2022-04-06,52.810001,53.430000,52.570000,53.200001,50.256588,28661700
2022-04-07,52.450001,52.980000,52.040001,52.669998,50.361767,22790600
2022-04-08,52.730000,53.680000,52.500000,53.529999,51.184078,24852200
2022-04-11,53.869999,54.700001,53.709999,53.900002,51.537865,33614900
2022-04-12,53.869999,54.049999,53.419998,53.669998,51.317944,21136400
2022-04-13,53.590000,54.369999,53.590000,54.139999,51.767345,19798000
2022-04-14,54.000000,54.189999,53.779999,53.830002,51.470932,16915100
2022-04-18,53.759998,54.279999,53.220001,53.389999,51.050217,14394300
2022-04-19,53.580002,53.910000,53.459999,53.750000,51.394440,12890000
2022-04-20,53.759998,54.490002,53.700001,54.410000,52.025513,19563400
2022-04-21,54.610001,55.509998,54.470001,55.009998,52.599216,32821100
2022-04-22,53.439999,53.540001,51.459999,51.910000,49.635075,44958400
2022-04-25,51.340000,51.439999,49.540001,50.279999,48.076508,46028400
2022-04-26,50.259998,50.650002,49.369999,49.410000,47.244637,29507700
2022-04-27,49.509998,49.509998,48.419998,48.459999,46.336266,30582000
2022-04-28,48.689999,49.169998,48.299999,48.400002,46.278900,33011700
2022-04-29,48.160000,48.200001,46.169998,46.299999,44.270927,41014200
2022-05-02,46.509998,47.060001,45.549999,46.230000,44.203999,33309400
2022-05-03,46.389999,47.410000,46.060001,47.169998,45.102802,33263100
