Date,Open,High,Low,Close,Adj Close,Volume
2022-03-14,32.000000,33.200001,31.650000,32.070000,32.070000,17253800
2022-03-15,34.740002,35.470001,33.990002,34.860001,34.860001,27330200
2022-03-16,35.509998,36.950001,35.439999,36.930000,36.930000,23558200
2022-03-17,35.709999,37.150002,35.369999,37.150002,37.150002,17062300
2022-03-18,36.790001,37.919998,36.380001,37.680000,37.680000,18429600
2022-03-21,37.130001,37.230000,35.880001,36.090000,36.090000,18386400
2022-03-22,36.450001,37.240002,36.330002,36.980000,36.980000,13587700
2022-03-23,36.720001,36.790001,36.070000,36.220001,36.220001,12069300
2022-03-24,36.389999,37.270000,35.959999,37.259998,37.259998,11302400
2022-03-25,37.290001,38.240002,37.240002,37.910000,37.910000,11313100
2022-03-28,38.419998,38.610001,37.439999,38.340000,38.340000,11430600
2022-03-29,39.650002,40.259998,39.130001,39.520000,39.520000,15372200
2022-03-30,39.099998,39.529999,38.910000,39.330002,39.330002,9363500
2022-03-31,39.400002,40.099998,39.240002,39.570000,39.570000,9930100
2022-04-01,39.669998,39.900002,39.009998,39.310001,39.310001,8606300
2022-04-04,39.220001,39.619999,38.709999,39.400002,39.400002,9482700
2022-04-05,39.509998,39.869999,38.570000,39.029999,39.029999,12713400
2022-04-06,38.009998,38.060001,36.720001,37.590000,37.590000,16995200
2022-04-07,37.369999,37.500000,36.169998,37.130001,37.130001,11688800
2022-04-08,36.980000,37.340000,36.509998,36.740002,36.740002,8615600
2022-04-11,36.700001,38.560001,36.529999,38.209999,38.209999,14142900
2022-04-12,38.360001,38.950001,37.770000,38.619999,38.619999,15762600
2022-04-13,40.209999,41.099998,39.810001,41.020000,41.020000,33528700
2022-04-14,41.970001,42.869999,41.330002,42.360001,42.360001,29128900
2022-04-18,42.080002,43.070000,41.849998,42.130001,42.130001,17011900
2022-04-19,42.810001,43.770000,42.720001,43.040001,43.040001,18453000
2022-04-20,43.279999,44.240002,43.189999,43.540001,43.540001,17466800
2022-04-21,44.810001,46.270000,44.540001,44.730000,44.730000,31849600
2022-04-22,45.009998,45.349998,43.549999,43.689999,43.689999,15557200
2022-04-25,43.400002,43.549999,42.230000,43.270000,43.270000,15156900
2022-04-26,42.830002,43.049999,41.549999,41.900002,41.900002,14561200
