Date,Open,High,Low,Close,Adj Close,Volume
2022-03-15,172.860001,179.029999,172.710007,178.440002,175.724213,2183000
2022-03-16,181.369995,188.419998,178.179993,188.320007,185.453842,2846100
2022-03-17,187.029999,190.320007,185.139999,189.770004,186.881775,1488800
2022-03-18,187.509995,192.850006,184.679993,192.419998,189.491425,3131900
2022-03-21,190.869995,193.229996,186.529999,190.509995,187.610504,1895300
2022-03-22,189.949997,192.190002,187.509995,187.750000,184.892517,2796900
2022-03-23,185.050003,188.539993,183.440002,183.589996,180.795837,1865300
2022-03-24,188.199997,191.380005,184.250000,191.080002,188.171844,2320500
2022-03-25,191.580002,191.839996,186.399994,190.460007,187.561295,1768600
2022-03-28,188.380005,190.110001,183.990005,189.419998,186.537094,2490400
2022-03-29,193.380005,196.350006,190.720001,194.740005,191.776138,2083000
2022-03-30,192.759995,194.389999,186.229996,187.330002,184.478912,1922300
2022-03-31,188.449997,189.279999,184.759995,185.080002,182.263153,2627100
2022-04-01,187.119995,187.119995,179.149994,182.020004,179.249725,2417300
2022-04-04,181.720001,184.750000,180.679993,182.610001,179.830750,1844100
2022-04-05,180.399994,181.179993,172.779999,175.070007,172.405502,4234900
2022-04-06,170.850006,177.250000,169.779999,174.020004,171.371490,3754800
2022-04-07,172.509995,175.559998,169.440002,172.919998,170.288223,2016200
2022-04-08,170.520004,170.720001,165.259995,167.500000,164.950699,5746400
2022-04-11,165.429993,168.160004,164.750000,165.520004,163.000854,3346900
2022-04-12,169.830002,170.470001,165.080002,166.229996,163.700043,3138900
2022-04-13,167.509995,171.360001,165.630005,171.029999,168.426987,2922800
2022-04-14,171.259995,172.509995,168.789993,170.000000,167.412659,2698300
2022-04-18,169.699997,176.729996,169.149994,173.250000,170.613190,2138300
2022-04-19,170.229996,179.279999,170.229996,178.649994,175.931015,2979200
2022-04-20,180.669998,185.279999,178.369995,178.789993,176.068893,2685000
2022-04-21,181.259995,183.220001,174.360001,174.850006,172.188843,2346200
2022-04-22,174.759995,175.330002,170.020004,170.750000,168.151245,2165400
2022-04-25,169.960007,173.500000,169.009995,172.839996,170.209427,2781900
2022-04-26,169.979996,170.960007,167.360001,167.750000,165.196899,3369800
2022-04-27,166.649994,172.410004,165.669998,170.759995,168.161087,3342000
2022-04-28,172.059998,179.429993,170.309998,177.250000,174.552322,3097200
2022-04-29,174.470001,178.110001,170.639999,170.899994,168.298950,2892900
2022-05-02,172.259995,177.619995,170.259995,177.000000,174.306122,2776200
2022-05-03,173.759995,179.350006,171.979996,178.070007,175.359848,3271600
2022-05-04,180.660004,186.020004,173.600006,185.919998,183.090363,3180600
2022-05-05,180.639999,182.419998,175.779999,178.369995,175.655273,3974000
2022-05-06,177.000000,182.270004,173.729996,177.580002,174.877304,2457400
2022-05-09,174.929993,176.789993,171.850006,172.899994,170.268524,3700100
2022-05-10,178.029999,181.789993,172.619995,178.440002,175.724213,3438500
2022-05-11,175.929993,178.610001,170.550003,170.869995,168.269424,3659800
2022-05-12,169.910004,175.080002,168.699997,173.660004,171.016953,2557000
2022-05-13,176.899994,183.100006,175.610001,181.990005,179.220200,2877900
