Player Name,Team,Position,Games,Goals,Assists,Points,Plus Minus,Penalty Minutes,Shots on Goal,Game Winning Goals,Power Play Goals,Power Play Assists,Short Handed Goals,Short Handed Assists,Hits,Blocked Shots
Cam Dineen,ARI,D,34,0,7,7,-16,4,52,0,0,0,0,0,22,44
Joey Anderson,TOR,RW,5,0,0,0,0,0,10,0,0,0,0,0,3,0
Libor Hajek,NYR,D,17,0,1,1,-10,8,12,0,0,0,0,0,7,26
Wade Allison,PHI,RW,1,0,0,0,-1,0,2,0,0,0,0,0,1,0
Ty Dellandrea,DAL,C,1,0,0,0,-1,0,1,0,0,0,0,0,3,0
Martin Kaut,COL,RW,6,0,0,0,2,0,1,0,0,0,0,0,6,3
Jordan Gross,NSH,D,1,0,0,0,0,4,0,0,0,0,0,0,1,0
Juuso Riikola,FA,D,5,0,1,1,2,2,7,0,0,0,0,0,13,2
Sheldon Rempal,VGK,LW,1,0,0,0,-1,0,2,0,0,0,0,0,0,0
Alex Chmelevski,SJ,C,19,0,8,8,2,4,31,0,0,0,0,0,20,4
Ben Jones,CGY,C,2,0,0,0,0,2,1,0,0,0,0,0,4,1
Wyatt Kalynuk,VAN,D,5,0,0,0,-3,2,1,0,0,0,0,0,9,0
Jayden Halbgewachs,FA,C,3,0,1,1,1,4,7,0,0,0,0,0,3,0
Sean Walker,LA,D,6,0,2,2,-1,4,18,0,0,1,0,0,9,9
Daniil Miromanov,VGK,D,11,0,1,1,0,2,15,0,0,0,0,0,5,6
Alex True,SEA,LW,8,0,0,0,-2,2,6,0,0,0,0,0,22,2
Austin Strand,ANH,D,8,0,2,2,-1,0,9,0,0,0,0,0,7,5
Grigori Denisenko,FLA,LW,1,0,0,0,0,2,3,0,0,0,0,0,1,2
Liam Foudy,CLS,C,1,0,0,0,-1,0,1,0,0,0,0,0,1,0
Jacob Bernard-Docker,OTT,D,8,0,1,1,1,4,6,0,0,0,0,0,4,3
Nicolas Beaudin,CHI,D,2,0,0,0,-1,0,1,0,0,0,0,0,0,1
Alexander Alexeyev,WAS,D,1,0,0,0,0,2,0,0,0,0,0,0,1,0
Mattias Samuelsson,BUF,D,42,0,10,10,-10,16,44,0,0,0,0,0,100,60
Scott Perunovich,STL,D,19,0,6,6,2,8,14,0,0,3,0,0,5,12
Filip Hallander,PIT,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
David Gustafsson,WPG,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Hillis,MON,C,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Sampo Ranta,COL,LW,10,0,0,0,-4,2,9,0,0,0,0,0,9,6
Joey Keane,CAR,D,1,0,0,0,0,2,1,0,0,0,0,0,1,0
Ian Mitchell,CHI,D,8,0,1,1,-3,0,2,0,0,1,0,0,2,9
Jakub Galvas,CHI,D,6,0,0,0,0,0,8,0,0,0,0,0,2,9
Dylan Samberg,WPG,D,15,0,5,5,3,4,14,0,0,0,0,0,21,19
Jack Studnicka,BOS,C,15,0,3,3,-5,4,21,0,0,0,0,0,17,5
Johnny Kovacevic,WPG,D,4,0,0,0,1,2,7,0,0,0,0,0,0,3
Reilly Walsh,NJ,D,1,0,1,1,0,0,2,0,0,0,0,0,0,2
Dmitri Samorukov,EDM,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,0
Cale Fleury,SEA,D,9,0,0,0,-3,0,4,0,0,0,0,0,19,14
Jack Rathbone,VAN,D,9,0,0,0,-5,2,10,0,0,0,0,0,5,8
Mason Shaw,MIN,C,3,0,0,0,-2,5,7,0,0,0,0,0,6,1
Aleksi Heponiemi,FLA,LW,6,0,1,1,-6,2,7,0,0,1,0,0,0,1
Jaret Anderson-Dolan,LA,C,7,0,0,0,-3,4,5,0,0,0,0,0,12,3
Conor Timmins,ARI,D,6,0,0,0,-6,0,5,0,0,0,0,0,7,9
Pierre-Olivier Joseph,PIT,D,4,0,0,0,-2,2,7,0,0,0,0,0,6,4
Cody Glass,NSH,C,8,0,1,1,0,0,9,0,0,0,0,0,13,4
Erik Brannstrom,OTT,D,53,0,14,14,-17,30,86,0,0,6,0,0,39,59
Juuso Valimaki,CGY,D,9,0,2,2,0,10,11,0,0,0,0,0,8,9
Urho Vaakanainen,ANH,D,29,0,6,6,-5,10,27,0,0,1,0,0,27,28
