,game_end_time_utc,game_id,game_mode,game_outcome,game_start_time_utc,game_type,realm_id
2625,2022-12-02 04:03:30,8e81d4fe-b7d9-451e-b727-0e595a78d91f,Matchmaking,Loss,2022-12-02 03:17:41,Ranked,na
2626,2022-12-02 06:20:55,74ac4831-516d-4e68-b7da-7d0520626eef,Matchmaking,Loss,2022-12-02 06:14:11,Deathmatch,na
2627,2022-12-02 07:13:28,0615126e-c0ef-4043-95bc-766e6a3ea3d7,Matchmaking,Win,2022-12-02 06:23:51,Ranked,na
2628,2022-12-02 07:49:00,96094fbb-6a07-4188-8906-76ceae8866f9,Matchmaking,Loss,2022-12-02 07:17:31,Ranked,na
2629,2022-12-02 08:43:30,a860a154-601a-408d-9059-263f4e6d0192,Matchmaking,Loss,2022-12-02 07:55:57,Ranked,na
2630,2022-12-03 07:32:36,d52e7ee0-5926-4b40-91a6-d18ea1fbf1dc,ShootingRange,Loss,2022-12-03 07:23:57,Not Applicable,na
2631,2022-12-03 07:41:03,25e7d6ef-ea2a-4124-a539-b0a08e5f4408,Matchmaking,Loss,2022-12-03 07:34:12,Deathmatch,na
2632,2022-12-03 08:12:07,64c549d6-9480-4ec7-905d-28d9329bb4ca,Matchmaking,Win,2022-12-03 07:53:10,Ranked,na
2633,2022-12-03 08:50:59,6f9ab50d-7cc6-444e-924c-aa0bac612f43,Matchmaking,Win,2022-12-03 08:14:40,Ranked,na
2634,2022-12-03 09:26:54,bd4631dd-3ea8-4a80-9f2b-086128b88eb7,Matchmaking,Win,2022-12-03 08:54:50,Ranked,na
2635,2022-12-04 03:31:08,70e81c26-22f8-4bf9-aa75-98ccfeb5797f,ShootingRange,Loss,2022-12-04 03:13:47,Not Applicable,na
2636,2022-12-04 03:39:07,0f39beaa-0db9-4dd4-a6b8-484db941049d,Matchmaking,Loss,2022-12-04 03:31:34,Deathmatch,na
2637,2022-12-04 03:46:12,11893238-f6a2-4d51-ad1d-a3836d4a5139,Matchmaking,Loss,2022-12-04 03:39:57,Deathmatch,na
2638,2022-12-04 03:54:20,7b75ff8f-26b6-4bd1-9ffa-ed1a4f8a3a1f,Matchmaking,Loss,2022-12-04 03:47:22,Deathmatch,na
2639,2022-12-04 04:47:24,59367d0f-73a6-4531-9c68-ee0d882e4657,Matchmaking,Loss,2022-12-04 03:58:33,Ranked,na
2640,2022-12-04 08:29:07,230b0ded-600d-4cdf-ba5f-dc730fddbbc4,Matchmaking,Loss,2022-12-04 07:55:40,Ranked,na
2641,2022-12-04 20:02:05,90b9a6d4-67d3-4bfd-9735-d27400130776,ShootingRange,Loss,2022-12-04 19:54:17,Not Applicable,na
2642,2022-12-04 20:06:10,7b8f1cfe-db89-489a-b434-46cab19030e9,ShootingRange,Loss,2022-12-04 20:04:08,Not Applicable,na
2643,2022-12-04 20:14:04,79b784e1-11f9-4e56-8c2a-80d45a981b6b,Matchmaking,Loss,2022-12-04 20:06:32,Deathmatch,na
2644,2022-12-04 20:23:11,54b2bb29-edcf-45e1-8c92-b28730e80d5d,Matchmaking,Loss,2022-12-04 20:15:16,Deathmatch,na
2645,2022-12-04 21:12:22,81c3ce68-5c11-40db-a857-ad024db18e65,Matchmaking,Win,2022-12-04 20:28:40,Ranked,na
2646,2022-12-04 22:59:11,752e820a-cdc5-4100-ac81-b9c59ab12d35,Matchmaking,Loss,2022-12-04 22:50:45,Deathmatch,na
2647,2022-12-04 23:33:37,ea4e8e59-9266-44e2-8a4d-ea3d187984fc,Matchmaking,Loss,2022-12-04 23:00:20,Ranked,na
2648,2022-12-05 00:16:38,f732ce21-4501-48d7-bdf6-96debe93bcb5,Matchmaking,Win,2022-12-04 23:44:21,Ranked,na
2649,2022-12-05 01:04:41,4a88e728-e6f7-41b0-bea8-ce8068b44896,Matchmaking,Loss,2022-12-05 00:24:08,Ranked,na
