name,stattrak,weapon,skin,condition,sell_price,sell_listings,url,is_key,is_case,type,prices,items,collection,is_package
Souvenir Tec-9 | VariCamo (Battle-Scarred),FALSE,Souvenir Tec-9,VariCamo,Battle-Scarred,1.2,28,https://steamcommunity.com/market/listings/730/Souvenir%20Tec-9%20%7C%20VariCamo%20%28Battle-Scarred%29,FALSE,FALSE,Souvenir Industrial Grade Pistol,"             date  price  volume
0     Nov 30 2013  6.257       1
1     Dec 01 2013  1.262       2
2     Dec 03 2013  1.037       2
3     Dec 04 2013  1.246       2
4     Dec 05 2013  1.257       1
...           ...    ...     ...
1709  Mar 06 2021  1.289       1
1710  Mar 06 2021  1.050       1
1711  Mar 07 2021  1.193       1
1712  Mar 08 2021  1.193       1
1713  Mar 10 2021  1.207       1

[1714 rows x 3 columns]",[],The Dust 2 Collection,
MP9 | Goo (Factory New),FALSE,MP9,Goo,Factory New,1.2,391,https://steamcommunity.com/market/listings/730/MP9%20%7C%20Goo%20%28Factory%20New%29,FALSE,FALSE,Restricted SMG,"             date  price  volume
0     Sep 15 2017  4.946     113
1     Sep 16 2017  3.292     124
2     Sep 17 2017  2.743     122
3     Sep 18 2017  2.471     104
4     Sep 19 2017  3.195     114
...           ...    ...     ...
1891  Mar 10 2021  1.230       3
1892  Mar 10 2021  1.161       3
1893  Mar 10 2021  1.150       3
1894  Mar 10 2021  1.180       3
1895  Mar 10 2021  1.188       6

[1896 rows x 3 columns]",[],The Spectrum 2 Collection,
StatTrak™ MAC-10 | Rangeen (Minimal Wear),TRUE,MAC-10,Rangeen,Minimal Wear,1.2,123,https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20MAC-10%20%7C%20Rangeen%20%28Minimal%20Wear%29,FALSE,FALSE,Mil-Spec Grade SMG,"             date  price  volume
0     Sep 18 2015  3.157     193
1     Sep 19 2015  2.085     192
2     Sep 20 2015  1.548     201
3     Sep 21 2015  1.306     161
4     Sep 22 2015  1.319     175
...           ...    ...     ...
2478  Mar 10 2021  1.150       1
2479  Mar 10 2021  0.870       1
2480  Mar 10 2021  1.062       1
2481  Mar 10 2021  1.196       1
2482  Mar 10 2021  1.036       2

[2483 rows x 3 columns]",[],The Shadow Collection,
StatTrak™ M249 | Magma (Minimal Wear),TRUE,M249,Magma,Minimal Wear,1.2,108,https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20M249%20%7C%20Magma%20%28Minimal%20Wear%29,FALSE,FALSE,Mil-Spec Grade Machinegun,"             date   price  volume
0     Dec 19 2013  18.075      18
1     Dec 20 2013   3.652      37
2     Dec 21 2013   2.654      41
3     Dec 22 2013   2.066      41
4     Dec 23 2013   1.546      45
...           ...     ...     ...
2713  Mar 09 2021   1.113       1
2714  Mar 09 2021   0.700       1
2715  Mar 09 2021   1.106       1
2716  Mar 10 2021   1.204       3
2717  Mar 10 2021   1.106       1

[2718 rows x 3 columns]",[],The Winter Offensive Collection,
Nova | Wild Six (Factory New),FALSE,Nova,Wild Six,Factory New,1.2,121,https://steamcommunity.com/market/listings/730/Nova%20%7C%20Wild%20Six%20%28Factory%20New%29,FALSE,FALSE,Restricted Shotgun,"             date  price  volume
0     Feb 16 2018  7.300      90
1     Feb 17 2018  4.924     107
2     Feb 18 2018  4.589      94
3     Feb 19 2018  4.043     112
4     Feb 20 2018  4.515      64
...           ...    ...     ...
1651  Mar 10 2021  1.100       1
1652  Mar 10 2021  1.237       1
1653  Mar 10 2021  1.550       3
1654  Mar 10 2021  1.190       3
1655  Mar 10 2021  1.125       2

[1656 rows x 3 columns]",[],The Clutch Collection,
M249 | Nebula Crusader (Well-Worn),FALSE,M249,Nebula Crusader,Well-Worn,1.2,80,https://steamcommunity.com/market/listings/730/M249%20%7C%20Nebula%20Crusader%20%28Well-Worn%29,FALSE,FALSE,Restricted Machinegun,"             date  price  volume
0     Sep 18 2015  3.407     803
1     Sep 19 2015  2.346     883
2     Sep 20 2015  1.986     809
3     Sep 21 2015  1.684     679
4     Sep 22 2015  1.619     641
...           ...    ...     ...
2418  Mar 10 2021  1.104       1
2419  Mar 10 2021  1.104       1
2420  Mar 10 2021  1.117       2
2421  Mar 10 2021  1.196       3
2422  Mar 10 2021  1.106       1

[2423 rows x 3 columns]",[],The Shadow Collection,
StatTrak™ P250 | Inferno (Field-Tested),TRUE,P250,Inferno,Field-Tested,1.2,56,https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20P250%20%7C%20Inferno%20%28Field-Tested%29,FALSE,FALSE,Restricted Pistol,"             date  price  volume
0     Oct 18 2019  3.598      20
1     Oct 19 2019  2.934     177
2     Oct 20 2019  2.199     158
3     Oct 21 2019  1.949     131
4     Oct 22 2019  1.878      84
...           ...    ...     ...
1081  Mar 10 2021  1.216       2
1082  Mar 10 2021  1.285       3
1083  Mar 10 2021  1.325       2
1084  Mar 10 2021  1.285       4
1085  Mar 10 2021  1.187       2

[1086 rows x 3 columns]",[],The CS20 Collection,
G3SG1 | Contractor (Field-Tested),FALSE,G3SG1,Contractor,Field-Tested,1.2,64,https://steamcommunity.com/market/listings/730/G3SG1%20%7C%20Contractor%20%28Field-Tested%29,FALSE,FALSE,Consumer Grade Sniper Rifle,"             date  price  volume
0     Jul 02 2014  0.033     514
1     Jul 03 2014  0.030     452
2     Jul 04 2014  0.030     376
3     Jul 05 2014  0.030     478
4     Jul 06 2014  0.030     425
...           ...    ...     ...
2199  Mar 06 2021  1.150       1
2200  Mar 08 2021  1.120       1
2201  Mar 08 2021  1.090       1
2202  Mar 08 2021  1.120       1
2203  Mar 09 2021  1.078       1

[2204 rows x 3 columns]",[],The Baggage Collection,
USP-S | Night Ops (Factory New),FALSE,USP-S,Night Ops,Factory New,1.2,232,https://steamcommunity.com/market/listings/730/USP-S%20%7C%20Night%20Ops%20%28Factory%20New%29,FALSE,FALSE,Mil-Spec Grade Pistol,"             date   price  volume
0     Nov 28 2013   7.044       2
1     Nov 29 2013  10.322      10
2     Nov 30 2013   5.939       7
3     Dec 01 2013   6.175       9
4     Dec 02 2013   5.687       6
...           ...     ...     ...
3298  Mar 10 2021   1.110       5
3299  Mar 10 2021   1.100       9
3300  Mar 10 2021   1.120       9
3301  Mar 10 2021   1.144      12
3302  Mar 10 2021   1.149      14

[3303 rows x 3 columns]",[],The Lake Collection,
SSG 08 | Sand Dune (Field-Tested),FALSE,SSG 08,Sand Dune,Field-Tested,1.2,72,https://steamcommunity.com/market/listings/730/SSG%2008%20%7C%20Sand%20Dune%20%28Field-Tested%29,FALSE,FALSE,Consumer Grade Sniper Rifle,"             date  price  volume
0     Jul 02 2014  0.032     598
1     Jul 03 2014  0.030     419
2     Jul 04 2014  0.030     412
3     Jul 05 2014  0.030     523
4     Jul 06 2014  0.030     405
...           ...    ...     ...
2541  Mar 09 2021  1.137       1
2542  Mar 09 2021  1.199       1
2543  Mar 09 2021  1.070       1
2544  Mar 09 2021  1.365       1
2545  Mar 09 2021  0.689       1

[2546 rows x 3 columns]",[],The Baggage Collection,
