Replace Name,Date,Code,Course,Description,Period
SDUNT427,3/28/23,A-E,9601-003,Mechanical & Structural Engineering ACP,1
SDUNT427,3/28/23,A-E,1291-002,AP English 11,2
SDUNT427,3/28/23,A-E,4311-005,U.S. History ACP,3
SDUNT427,3/28/23,A-E,80911-001,Wind Ensemble H - Quarter,4
SDUNT385,3/27/23,A-E,1291-003,AP English 11,1
SDUNT280,3/27/23,A,5051-003,AP Statistics,1
SDUNT330,3/27/23,T,6031-002,Physics Lab H,1
SDUNT438,3/27/23,T,13141-001,Philosophy as Literature ACP,1
SDUNT331,3/27/23,A-E,5081-004,AP Calculus 4 AB,1
SDUNT217,3/27/23,T,6071-001,AP Physics Lab,1
SDUNT007,3/27/23,T,2431-001,Spanish 3 ACP,1
SDUNT590,3/27/23,T,1421-001,Lit and Comp for College ACP,1
SDUNT380,3/27/23,A-E,2961-001,AP Chinese,1
SDUNT059,3/27/23,T,1231-001,American Studies (English) ACP,1
SDUNT112,3/27/23,T,7131-001,AP History of Art,1
SDUNT305,3/27/23,T,2441-005,Spanish 4 ACP,1
SDUNT482,3/27/23,A,6031-002,Physics Lab H,1
SDUNT176,3/27/23,A-E,1361-003,Art and Technique of Film H,1
SDUNT338,3/27/23,T,5081-004,AP Calculus 4 AB,1
SDUNT227,3/27/23,T,6071-001,AP Physics Lab,1
SDUNT177,3/27/23,T,6031-002,Physics Lab H,1
SDUNT061,3/27/23,T,6071-001,AP Physics Lab,1
SDUNT285,3/27/23,A-E,1311-001,Philosophy as Literature H,1
SDUNT446,3/27/23,A-E,5131-001,Math 3 ACP Accelerated (Pre-Calculus),1
SDUNT178,3/27/23,A-E,5081-004,AP Calculus 4 AB,1
SDUNT568,3/27/23,A-E,6121-009,Chemistry Lab ACP,1
SDUNT484,3/27/23,T,3131-015,Academic Study,1
SDUNT343,3/27/23,T,13141-001,Philosophy as Literature ACP,1
SDUNT552,3/27/23,T,4301-001,AP US History,1
SDUNT600,3/27/23,T,2441-005,Spanish 4 ACP,1
SDUNT622,3/27/23,T,6071-001,AP Physics Lab,1
SDUNT022,3/27/23,T,1311-001,Philosophy as Literature H,1
SDUNT119,3/27/23,T,1221-002,English 11 ACP,1
SDUNT074,3/27/23,T,4301-001,AP US History,1
SDUNT347,3/27/23,A-E,0051-002,Stress Management,1
SDUNT027,3/27/23,A-E,8601-002,Entrepreneurship,1
SDUNT182,3/27/23,A-E,4421-002,Mid East & Latin Amr Honors,1
SDUNT604,3/27/23,A-E,3131-021,Academic Study,1
SDUNT382,3/27/23,T,2961-001,AP Chinese,1
SDUNT503,3/27/23,A-E,6071-001,AP Physics Lab,1
SDUNT452,3/27/23,A-E,4401-001,AP European History,1
SDUNT167,3/27/23,T,0331-008,Career Wellness,1
SDUNT351,3/27/23,T,5081-004,AP Calculus 4 AB,1
SDUNT144,3/27/23,T,6071-001,AP Physics Lab,1
SDUNT035,3/27/23,A-E,1361-003,Art and Technique of Film H,1
SDUNT084,3/27/23,A-E,6011-001,Biology Lab H,1
SDUNT626,3/27/23,A-E,5031-001,Math 3 (Pre-Calculus) H,1
SDUNT353,3/27/23,A-E,5081-004,AP Calculus 4 AB,1
SDUNT293,3/27/23,A-E,1311-001,Philosophy as Literature H,1
SDUNT191,3/27/23,A,5081-004,AP Calculus 4 AB,1
SDUNT356,3/27/23,T,1311-001,Philosophy as Literature H,1
SDUNT562,3/27/23,A-E,6011-001,Biology Lab H,1
SDUNT045,3/27/23,T,4421-002,Mid East & Latin Amr Honors,1
SDUNT046,3/27/23,T,7131-001,AP History of Art,1
SDUNT193,3/27/23,A-E,6031-002,Physics Lab H,1
SDUNT096,3/27/23,A-E,6111-002,Biology Lab ACP,1
SDUNT594,3/27/23,A-E,7121-001,History of Art ACP,1
SDUNT210,3/27/23,A,8131-001,AP Music Theory,1
SDUNT357,3/27/23,T,5081-004,AP Calculus 4 AB,1
SDUNT359,3/27/23,T,7131-001,AP History of Art,1
SDUNT581,3/27/23,T,4421-002,Mid East & Latin Amr Honors,1
SDUNT512,3/27/23,A-E,8131-001,AP Music Theory,1
SDUNT244,3/27/23,A-E,7191-002,Photography Major 2 H,1
SDUNT427,3/27/23,A-E,9601-003,Mechanical & Structural Engineering ACP,1
SDUNT462,3/27/23,A,1391-001,Asian American Literature ACP,1
SDUNT050,3/27/23,A,5051-003,AP Statistics,1
SDUNT052,3/27/23,A-E,13141-001,Philosophy as Literature ACP,1
SDUNT362,3/27/23,T,6071-001,AP Physics Lab,1
SDUNT536,3/27/23,T,5031-001,Math 3 (Pre-Calculus) H,1
SDUNT363,3/27/23,T,5081-004,AP Calculus 4 AB,1
SDUNT596,3/27/23,A-E,7101-001,Art Major 3 ACP,1
SDUNT299,3/27/23,A,6031-002,Physics Lab H,1
SDUNT156,3/27/23,T,6071-001,AP Physics Lab,1
SDUNT197,3/27/23,T,2131-001,French 3 ACP,1
SDUNT433,3/27/23,A-E,4301-001,AP US History,1
SDUNT466,3/27/23,T,6071-001,AP Physics Lab,1
SDUNT369,3/27/23,A-E,5081-004,AP Calculus 4 AB,1
SDUNT055,3/27/23,A-E,0031-006,Fitness Indoor,1
SDUNT565,3/27/23,T,4301-001,AP US History,1
SDUNT385,3/27/23,A-E,6941-Adams-06,Advisory,2
SDUNT475,3/27/23,A,6941-Beals-20,Advisory,2
SDUNT436,3/27/23,A,6941-Adams-04,Advisory,2
SDUNT280,3/27/23,A,6941-Beals-01,Advisory,2
SDUNT331,3/27/23,A-E,6941-Beals-22,Advisory,2
SDUNT332,3/27/23,A,6941-Beals-22,Advisory,2
SDUNT216,3/27/23,A,6941-Beals-10,Advisory,2
SDUNT439,3/27/23,A,6941-Adams-10,Advisory,2
SDUNT220,3/27/23,A,6941-Beals-21,Advisory,2
SDUNT380,3/27/23,A-E,6941-T2,Advisory,2
SDUNT519,3/27/23,A,6941-Adams-22,Advisory,2
SDUNT394,3/27/23,A,6941-Adams-17,Advisory,2
SDUNT176,3/27/23,A-E,6941-Beals-11,Advisory,2
SDUNT588,3/27/23,A,6941-Beals-07,Advisory,2
SDUNT338,3/27/23,A,6941-Beals-21,Advisory,2
SDUNT340,3/27/23,A,6941-Beals-02,Advisory,2
SDUNT285,3/27/23,A-E,6941-Beals-18,Advisory,2
SDUNT446,3/27/23,A-E,6941-Adams-06,Advisory,2
SDUNT397,3/27/23,A,6941-Adams-12,Advisory,2
SDUNT178,3/27/23,A-E,6941-Beals-06,Advisory,2
SDUNT568,3/27/23,A-E,6941-Barry-03,Advisory,2
SDUNT018,3/27/23,A-E,6941-Beals-17,Advisory,2
SDUNT468,3/27/23,A,6941-Beals-08,Advisory,2
SDUNT203,3/27/23,A-E,6941-Beals-17,Advisory,2
SDUNT312,3/27/23,A,6941-Adams-01,Advisory,2
SDUNT071,3/27/23,A-E,6941-Adams-06,Advisory,2
SDUNT022,3/27/23,A,6941-Beals-09,Advisory,2
SDUNT073,3/27/23,A,6941-Adams-14,Advisory,2
SDUNT450,3/27/23,A,6941-Adams-03,Advisory,2
SDUNT026,3/27/23,A,6941-Beals-03,Advisory,2
SDUNT347,3/27/23,A-E,6941-Beals-10,Advisory,2
SDUNT027,3/27/23,A-E,6941-Beals-13,Advisory,2
SDUNT604,3/27/23,A-E,6941-Jazz,Advisory,2
SDUNT184,3/27/23,A,6941-Beals-10,Advisory,2
SDUNT592,3/27/23,A,6941-Beals-20,Advisory,2
SDUNT503,3/27/23,A,6941-Beals-11,Advisory,2
SDUNT187,3/27/23,A,6941-Adams-06,Advisory,2
SDUNT452,3/27/23,A-E,6941-CTE-Cul,Advisory,2
SDUNT125,3/27/23,A,6941-Adams-01,Advisory,2
SDUNT035,3/27/23,A-E,6941-Beals-16,Advisory,2
SDUNT084,3/27/23,A-E,6941-Adams-21,Advisory,2
SDUNT626,3/27/23,A,6941-Adams-19,Advisory,2
SDUNT239,3/27/23,A,6941-Beals-12,Advisory,2
SDUNT353,3/27/23,A-E,6941-Beals-01,Advisory,2
SDUNT291,3/27/23,A,6941-Beals-20,Advisory,2
SDUNT293,3/27/23,A-E,6941-Beals-06,Advisory,2
SDUNT453,3/27/23,A,6941-Beals-04,Advisory,2
SDUNT190,3/27/23,A,6941-Beals-01,Advisory,2
SDUNT093,3/27/23,A,6941-Beals-02,Advisory,2
SDUNT562,3/27/23,A-E,6941-Adams-16,Advisory,2
SDUNT044,3/27/23,A,6941-Beals-11,Advisory,2
SDUNT193,3/27/23,A-E,6941-Beals-21,Advisory,2
SDUNT096,3/27/23,A,6941-Adams-22,Advisory,2
SDUNT609,3/27/23,A-E,6941-Beals-22,Advisory,2
SDUNT149,3/27/23,A,6941-Adams-20,Advisory,2
SDUNT194,3/27/23,A,6941-Adams-08,Advisory,2
SDUNT594,3/27/23,A-E,6941-Beals-05,Advisory,2
SDUNT358,3/27/23,A,6941-Beals-22,Advisory,2
SDUNT359,3/27/23,A,6941-Beals-15,Advisory,2
SDUNT297,3/27/23,A,6941-Beals-02,Advisory,2
SDUNT581,3/27/23,A,6941-Beals-01,Advisory,2
SDUNT360,3/27/23,A,6941-Beals-02,Advisory,2
SDUNT512,3/27/23,A-E,6941-Adams-11C,Advisory,2
SDUNT244,3/27/23,A-E,6941-Beals-16,Advisory,2
SDUNT427,3/27/23,A-E,6941-Adams-08,Advisory,2
SDUNT101,3/27/23,A,6941-Beals-07,Advisory,2
SDUNT195,3/27/23,A,6941-Beals-18,Advisory,2
SDUNT462,3/27/23,A,6941-Beals-02,Advisory,2
SDUNT050,3/27/23,A,6941-CTE-Cul,Advisory,2
SDUNT595,3/27/23,A,6941-Beals-02,Advisory,2
SDUNT052,3/27/23,A-E,6941-Beals-12,Advisory,2
SDUNT246,3/27/23,A,6941-Beals-12,Advisory,2
SDUNT596,3/27/23,A-E,6941-Beals-11,Advisory,2
SDUNT250,3/27/23,A,6941-Beals-06,Advisory,2
SDUNT433,3/27/23,A-E,6941-CTE-Graph,Advisory,2
SDUNT369,3/27/23,A,6941-Beals-02,Advisory,2
SDUNT055,3/27/23,A-E,6941-Beals-16,Advisory,2
SDUNT385,3/27/23,A-E,6011-008,Biology Lab H,3
SDUNT220,3/27/23,T,5511-002,Computer Programming H,3
SDUNT176,3/27/23,A-E,6351-001,Marine Biology ACP,3
SDUNT285,3/27/23,A-E,6371-002,Forensics Lab ACP,3
SDUNT446,3/27/23,A-E,0321-001,Methods and Issues in Coaching,3
SDUNT178,3/27/23,A-E,2451-002,Spanish 5 ACP,3
SDUNT568,3/27/23,A-E,4201-003,World History 1787-2000 H,3
SDUNT018,3/27/23,A-E,7111-001,Art Major 4 H,3
SDUNT203,3/27/23,A-E,2481-001,AP Spanish,3
SDUNT022,3/27/23,A,8611-004,Financial Planning and Banking,3
SDUNT347,3/27/23,A-E,5081-005,AP Calculus 4 AB,3
SDUNT027,3/27/23,A-E,1361-001,Art and Technique of Film H,3
SDUNT604,3/27/23,A-E,5141-001,Intro to Calculus ACP Acc,3
SDUNT184,3/27/23,T,6351-001,Marine Biology ACP,3
SDUNT029,3/27/23,A,2481-001,AP Spanish,3
SDUNT452,3/27/23,A-E,90741-001,Culinary Arts Major 3 H,3
SDUNT035,3/27/23,A-E,6351-001,Marine Biology ACP,3
SDUNT084,3/27/23,A-E,1211-004,American Studies (English) H,3
SDUNT626,3/27/23,A-E,4381-004,American Studies (History) H,3
SDUNT293,3/27/23,A-E,5081-005,AP Calculus 4 AB,3
SDUNT627,3/27/23,A,6111-004,Biology Lab ACP,3
SDUNT036,3/27/23,A,8611-004,Financial Planning and Banking,3
SDUNT492,3/27/23,D,1361-001,Art and Technique of Film H,3
SDUNT088,3/27/23,A-E,4381-004,American Studies (History) H,3
SDUNT562,3/27/23,A-E,5131-002,Math 3 ACP Accelerated (Pre-Calculus),3
SDUNT193,3/27/23,A-E,5081-005,AP Calculus 4 AB,3
SDUNT096,3/27/23,A-E,1201-003,English 11 H,3
SDUNT609,3/27/23,A-E,1311-002,Philosophy as Literature H,3
SDUNT594,3/27/23,A-E,1401-001,Women in Literature and Society H,3
SDUNT359,3/27/23,A,5081-005,AP Calculus 4 AB,3
SDUNT512,3/27/23,A-E,4311-003,U.S. History ACP,3
SDUNT244,3/27/23,A-E,1301-003,AP English 12,3
SDUNT427,3/27/23,A-E,1291-002,AP English 11,3
SDUNT211,3/27/23,A,2481-001,AP Spanish,3
SDUNT050,3/27/23,A,90641-001,Culinary Arts Major 2 H,3
SDUNT052,3/27/23,A-E,4501-001,AP Psychology,3
SDUNT596,3/27/23,A-E,4501-001,AP Psychology,3
SDUNT433,3/27/23,A-E,93541-001,Graphic Comm Major 2 H,3
SDUNT055,3/27/23,A-E,8611-004,Financial Planning and Banking,3
SDUNT385,3/27/23,A-E,6061-001,AP Chemistry Lab,4
SDUNT216,3/27/23,A-E,5041-001,AP Calculus 4 BC,4
SDUNT059,3/27/23,A,2981-001,Chinese 4 ACP,4
SDUNT392,3/27/23,T,5181-003,Math 3 ACP,4
SDUNT304,3/27/23,A,0331-009,Career Wellness,4
SDUNT338,3/27/23,T,5531-003,Computer Science Principles H,4
SDUNT521,3/27/23,T,2431-005,Spanish 3 ACP,4
SDUNT446,3/27/23,A-E,6011-003,Biology Lab H,4
SDUNT178,3/27/23,A-E,5051-004,AP Statistics,4
SDUNT568,3/27/23,A-E,1101-006,Voices in Literature 10 H,4
SDUNT254,3/27/23,T,5031-006,Math 3 (Pre-Calculus) H,4
SDUNT018,3/27/23,A-E,1361-006,Art and Technique of Film H,4
SDUNT203,3/27/23,A-E,4421-001,Mid East & Latin Amr Honors,4
SDUNT347,3/27/23,A-E,1361-006,Art and Technique of Film H,4
SDUNT027,3/27/23,A-E,5051-004,AP Statistics,4
SDUNT503,3/27/23,T,5531-003,Computer Science Principles H,4
SDUNT613,3/27/23,T,1201-005,English 11 H,4
SDUNT586,3/27/23,A,2431-005,Spanish 3 ACP,4
SDUNT035,3/27/23,A-E,0031-003,Fitness Indoor,4
SDUNT084,3/27/23,A-E,4391-003,American Studies (History) ACP,4
SDUNT626,3/27/23,A-E,1211-003,American Studies (English) H,4
SDUNT415,3/27/23,A,4311-001,U.S. History ACP,4
SDUNT353,3/27/23,A-E,6681-014,CL Aide Science,4
SDUNT627,3/27/23,A,6061-001,AP Chemistry Lab,4
SDUNT492,3/27/23,A-E,5081-003,AP Calculus 4 AB,4
SDUNT320,3/27/23,A-E,5531-003,Computer Science Principles H,4
SDUNT088,3/27/23,A-E,1211-003,American Studies (English) H,4
SDUNT562,3/27/23,A-E,2441-001,Spanish 4 ACP,4
SDUNT193,3/27/23,A-E,5051-004,AP Statistics,4
SDUNT609,3/27/23,A-E,4501-005,AP Psychology,4
SDUNT594,3/27/23,A-E,6051-003,AP Biology Lab,4
SDUNT512,3/27/23,A-E,6011-003,Biology Lab H,4
SDUNT244,3/27/23,A-E,5041-001,AP Calculus 4 BC,4
SDUNT427,3/27/23,A-E,2831-001,Latin 3 H,4
SDUNT211,3/27/23,A,5121-005,Math 2 ACP Acc,4
SDUNT052,3/27/23,A-E,6071-004,AP Physics Lab,4
SDUNT155,3/27/23,A,0031-003,Fitness Indoor,4
SDUNT433,3/27/23,A-E,93541-001,Graphic Comm Major 2 H,4
SDUNT055,3/27/23,A-E,4651-002,Digital Media & the Impact of the Internet ACP,4
SDUNT385,3/27/23,A-E,5031-005,Math 3 (Pre-Calculus) H,5
SDUNT435,3/27/23,T,5051-005,AP Statistics,5
SDUNT280,3/27/23,A-E,4561-002,AP Comparative Government,5
SDUNT478,3/27/23,T,4501-003,AP Psychology,5
SDUNT479,3/27/23,A-E,5081-006,AP Calculus 4 AB,5
SDUNT216,3/27/23,A-E,7011-004,Art Minor 1,5
SDUNT217,3/27/23,A-E,6381-001,Organic Chemistry ACP,5
SDUNT334,3/27/23,D,5611-001,Data Science H,5
SDUNT482,3/27/23,A,4601-001,Law and Society ACP,5
SDUNT139,3/27/23,A-E,4011-001,Leadership in a DiverseSociety,5
SDUNT338,3/27/23,A,4501-003,AP Psychology,5
SDUNT061,3/27/23,T,5041-003,AP Calculus 4 BC,5
SDUNT446,3/27/23,A-E,1291-007,AP English 11,5
SDUNT178,3/27/23,A-E,4561-002,AP Comparative Government,5
SDUNT568,3/27/23,A-E,2031-001,French 3 H,5
SDUNT342,3/27/23,A,6381-001,Organic Chemistry ACP,5
SDUNT254,3/27/23,T,1251-002,American Studies (English) CP,5
SDUNT018,3/27/23,A-E,4601-001,Law and Society ACP,5
SDUNT203,3/27/23,A-E,4501-003,AP Psychology,5
SDUNT071,3/27/23,A-E,2421-009,Intermediate Spanish 2 ACP,5
SDUNT023,3/27/23,A-E,6301-001,Anatomy & Physiology Lab ACP,5
SDUNT450,3/27/23,T,5051-005,AP Statistics,5
SDUNT573,3/27/23,T,6381-001,Organic Chemistry ACP,5
SDUNT315,3/27/23,T,5031-002,Math 3 (Pre-Calculus) H,5
SDUNT347,3/27/23,A-E,5051-005,AP Statistics,5
SDUNT604,3/27/23,A-E,4501-003,AP Psychology,5
SDUNT605,3/27/23,T,6301-001,Anatomy & Physiology Lab ACP,5
SDUNT167,3/27/23,A-E,1361-007,Art and Technique of Film H,5
SDUNT144,3/27/23,T,5041-003,AP Calculus 4 BC,5
SDUNT035,3/27/23,A-E,4011-001,Leadership in a DiverseSociety,5
SDUNT353,3/27/23,T,6301-001,Anatomy & Physiology Lab ACP,5
SDUNT290,3/27/23,A-E,6301-001,Anatomy & Physiology Lab ACP,5
SDUNT291,3/27/23,A,4011-001,Leadership in a DiverseSociety,5
SDUNT036,3/27/23,T,4501-003,AP Psychology,5
SDUNT587,3/27/23,A,6351-002,Marine Biology ACP,5
SDUNT492,3/27/23,A-E,4601-001,Law and Society ACP,5
SDUNT320,3/27/23,A-E,5031-010,Math 3 (Pre-Calculus) H,5
SDUNT495,3/27/23,A,2951-001,Chinese 5 H,5
SDUNT356,3/27/23,A,2811-001,Latin 1 ACP,5
SDUNT562,3/27/23,A-E,1291-007,AP English 11,5
SDUNT192,3/27/23,A-E,5031-005,Math 3 (Pre-Calculus) H,5
SDUNT193,3/27/23,A-E,6381-001,Organic Chemistry ACP,5
SDUNT609,3/27/23,A-E,4011-001,Leadership in a DiverseSociety,5
SDUNT594,3/27/23,A-E,6351-002,Marine Biology ACP,5
SDUNT047,3/27/23,T,4501-003,AP Psychology,5
SDUNT130,3/27/23,T,5031-002,Math 3 (Pre-Calculus) H,5
SDUNT151,3/27/23,T,6381-001,Organic Chemistry ACP,5
SDUNT512,3/27/23,A-E,1291-007,AP English 11,5
SDUNT244,3/27/23,A-E,2951-001,Chinese 5 H,5
SDUNT427,3/27/23,A-E,5081-006,AP Calculus 4 AB,5
SDUNT052,3/27/23,A-E,4601-001,Law and Society ACP,5
SDUNT104,3/27/23,T,5181-001,Math 3 ACP,5
SDUNT596,3/27/23,A-E,5141-003,Intro to Calculus ACP Acc,5
SDUNT378,3/27/23,A,6381-001,Organic Chemistry ACP,5
SDUNT433,3/27/23,A-E,6061-002,AP Chemistry Lab,5
SDUNT055,3/27/23,A-E,6301-001,Anatomy & Physiology Lab ACP,5
SDUNT385,3/27/23,A-E,2041-001,French 4 H,6
SDUNT280,3/27/23,A-E,4501-004,AP Psychology,6
SDUNT217,3/27/23,A-E,1301-001,AP English 12,6
SDUNT334,3/27/23,A-E,1361-002,Art and Technique of Film H,6
SDUNT519,3/27/23,A-E,9151-001,Drafting: Architectural Major 1 ACP,6
SDUNT394,3/27/23,A,2441-006,Spanish 4 ACP,6
SDUNT139,3/27/23,A,1441-002,Hiphop: LitCultureMusic ACP,6
SDUNT341,3/27/23,A,5051-006,AP Statistics,6
SDUNT446,3/27/23,A-E,5051-006,AP Statistics,6
SDUNT178,3/27/23,A-E,4501-004,AP Psychology,6
SDUNT568,3/27/23,A-E,2651-001,AP Italian,6
SDUNT018,3/27/23,A-E,5081-001,AP Calculus 4 AB,6
SDUNT019,3/27/23,A-E,5081-001,AP Calculus 4 AB,6
SDUNT203,3/27/23,A-E,5191-003,Trigonometry & Statistics ACP,6
SDUNT023,3/27/23,A-E,2051-001,AP French,6
SDUNT450,3/27/23,T,2441-006,Spanish 4 ACP,6
SDUNT347,3/27/23,A-E,5611-002,Data Science H,6
SDUNT604,3/27/23,A-E,2431-004,Spanish 3 ACP,6
SDUNT576,3/27/23,A-E,1361-002,Art and Technique of Film H,6
SDUNT167,3/27/23,A-E,5051-006,AP Statistics,6
SDUNT035,3/27/23,A-E,70721-001,Ceramics Major 3 H,6
SDUNT084,3/27/23,A-E,5031-003,Math 3 (Pre-Calculus) H,6
SDUNT085,3/27/23,A-E,1301-001,AP English 12,6
SDUNT530,3/27/23,A-E,1201-001,English 11 H,6
SDUNT627,3/27/23,A,1231-002,American Studies (English) ACP,6
SDUNT492,3/27/23,A-E,4501-004,AP Psychology,6
SDUNT562,3/27/23,A-E,4311-004,U.S. History ACP,6
SDUNT594,3/27/23,A-E,0301-002,Lifetime Activities Indoor,6
SDUNT297,3/27/23,A,5051-006,AP Statistics,6
SDUNT512,3/27/23,A-E,5031-003,Math 3 (Pre-Calculus) H,6
SDUNT564,3/27/23,T,2441-006,Spanish 4 ACP,6
SDUNT211,3/27/23,A,4211-003,World History 1787-2000 ACP,6
SDUNT051,3/27/23,T,5081-001,AP Calculus 4 AB,6
SDUNT596,3/27/23,A-E,1441-002,Hiphop: LitCultureMusic ACP,6
SDUNT156,3/27/23,A,5051-006,AP Statistics,6
SDUNT433,3/27/23,A-E,2441-006,Spanish 4 ACP,6
SDUNT055,3/27/23,A-E,5081-001,AP Calculus 4 AB,6
SDUNT203,3/27/23,A-E,82331-001,Tech Theatre Design & Management IV,8
SDUNT385,3/24/23,A-E,6061-001,AP Chemistry Lab,1
SDUNT611,3/24/23,A-E,5031-006,Math 3 (Pre-Calculus) H,1
SDUNT438,3/24/23,T,2991-001,Chinese 5 ACP,1
SDUNT175,3/24/23,A-E,5051-004,AP Statistics,1
SDUNT302,3/24/23,T,6111-005,Biology Lab ACP,1
SDUNT217,3/24/23,A-E,5041-001,AP Calculus 4 BC,1
SDUNT010,3/24/23,T,4501-005,AP Psychology,1
SDUNT335,3/24/23,T,4501-005,AP Psychology,1
SDUNT372,3/24/23,A-E,6061-001,AP Chemistry Lab,1
SDUNT059,3/24/23,T,2981-001,Chinese 4 ACP,1
SDUNT113,3/24/23,A-E,0221-002,Teaming Through Sports Indoor,1
SDUNT060,3/24/23,T,5081-003,AP Calculus 4 AB,1
SDUNT442,3/24/23,T,4381-003,American Studies (History) H,1
SDUNT305,3/24/23,A-E,5031-006,Math 3 (Pre-Calculus) H,1
SDUNT443,3/24/23,T,5081-003,AP Calculus 4 AB,1
SDUNT550,3/24/23,A-E,9351-001,Graphic Comm Major 2 ACP,1
SDUNT338,3/24/23,T,5531-003,Computer Science Principles H,1
SDUNT521,3/24/23,A-E,2431-005,Spanish 3 ACP,1
SDUNT063,3/24/23,T,6051-003,AP Biology Lab,1
SDUNT310,3/24/23,A-E,1291-006,AP English 11,1
SDUNT178,3/24/23,A-E,5051-004,AP Statistics,1
SDUNT179,3/24/23,A-E,5051-004,AP Statistics,1
SDUNT342,3/24/23,A-E,6071-004,AP Physics Lab,1
SDUNT252,3/24/23,A-E,4501-005,AP Psychology,1
SDUNT254,3/24/23,A,5031-006,Math 3 (Pre-Calculus) H,1
SDUNT065,3/24/23,A-E,2851-009,CL Aide World Languages,1
SDUNT343,3/24/23,T,6341-001,Sustainability Envi Sci Lab ACP,1
SDUNT018,3/24/23,A-E,1361-006,Art and Technique of Film H,1
SDUNT234,3/24/23,T,5531-003,Computer Science Principles H,1
SDUNT020,3/24/23,A-E,2991-001,Chinese 5 ACP,1
SDUNT622,3/24/23,A-E,2981-001,Chinese 4 ACP,1
SDUNT071,3/24/23,A-E,5031-006,Math 3 (Pre-Calculus) H,1
SDUNT072,3/24/23,A,0031-003,Fitness Indoor,1
SDUNT450,3/24/23,T,4381-003,American Studies (History) H,1
SDUNT502,3/24/23,A-E,4421-001,Mid East & Latin Amr Honors,1
SDUNT604,3/24/23,A-E,0031-003,Fitness Indoor,1
SDUNT488,3/24/23,T,5081-003,AP Calculus 4 AB,1
SDUNT028,3/24/23,T,2991-001,Chinese 5 ACP,1
SDUNT349,3/24/23,A-E,6071-004,AP Physics Lab,1
SDUNT576,3/24/23,A-E,6071-004,AP Physics Lab,1
SDUNT382,3/24/23,A,0031-003,Fitness Indoor,1
SDUNT503,3/24/23,T,5531-003,Computer Science Principles H,1
SDUNT409,3/24/23,A-E,1611-001,Creative Writing,1
SDUNT612,3/24/23,T,1201-005,English 11 H,1
SDUNT452,3/24/23,T,90741-001,Culinary Arts Major 3 H,1
SDUNT509,3/24/23,T,6111-005,Biology Lab ACP,1
SDUNT489,3/24/23,A-E,0331-009,Career Wellness,1
SDUNT489,3/24/23,A-E,91741-001,Drafting: Architectural Major 3 H,1
SDUNT585,3/24/23,T,4381-003,American Studies (History) H,1
SDUNT352,3/24/23,A-E,6051-003,AP Biology Lab,1
SDUNT035,3/24/23,A-E,0031-003,Fitness Indoor,1
SDUNT084,3/24/23,A-E,4391-003,American Studies (History) ACP,1
SDUNT607,3/24/23,A,7081-002,Art Major 1 ACP,1
SDUNT626,3/24/23,A-E,1211-003,American Studies (English) H,1
SDUNT510,3/24/23,A-E,6021-012,Chemistry Lab H,1
SDUNT491,3/24/23,A-E,5081-003,AP Calculus 4 AB,1
SDUNT291,3/24/23,A,4561-001,AP Comparative Government,1
SDUNT319,3/24/23,A-E,4311-001,U.S. History ACP,1
SDUNT530,3/24/23,T,2131-002,French 3 ACP,1
SDUNT627,3/24/23,A,6061-001,AP Chemistry Lab,1
SDUNT587,3/24/23,T,4501-005,AP Psychology,1
SDUNT614,3/24/23,A-E,2441-001,Spanish 4 ACP,1
SDUNT038,3/24/23,T,1784-001,TV Media Arts Major 3 H,1
SDUNT041,3/24/23,T,4501-005,AP Psychology,1
SDUNT090,3/24/23,T,2441-001,Spanish 4 ACP,1
SDUNT192,3/24/23,A-E,5051-004,AP Statistics,1
SDUNT045,3/24/23,A,0331-009,Career Wellness,1
SDUNT096,3/24/23,A-E,2441-001,Spanish 4 ACP,1
SDUNT609,3/24/23,A-E,4501-005,AP Psychology,1
SDUNT610,3/24/23,A-E,4501-005,AP Psychology,1
SDUNT149,3/24/23,T,6051-003,AP Biology Lab,1
SDUNT594,3/24/23,A-E,6051-003,AP Biology Lab,1
SDUNT496,3/24/23,A-E,5081-003,AP Calculus 4 AB,1
SDUNT323,3/24/23,A-E,6111-005,Biology Lab ACP,1
SDUNT497,3/24/23,T,5081-003,AP Calculus 4 AB,1
SDUNT427,3/24/23,A-E,2831-001,Latin 3 H,1
SDUNT506,3/24/23,A,6071-004,AP Physics Lab,1
SDUNT462,3/24/23,A-E,5081-003,AP Calculus 4 AB,1
SDUNT361,3/24/23,A-E,6051-003,AP Biology Lab,1
SDUNT052,3/24/23,A,6071-004,AP Physics Lab,1
SDUNT246,3/24/23,T,3131-019,Academic Study,1
SDUNT249,3/24/23,A-E,5041-001,AP Calculus 4 BC,1
SDUNT385,3/24/23,A-E,0001W1-001,WIN,2
SDUNT475,3/24/23,A,0001W1-001,WIN,2
SDUNT538,3/24/23,A,0001W1-001,WIN,2
SDUNT281,3/24/23,A,0001W1-001,WIN,2
SDUNT479,3/24/23,A,0001W1-001,WIN,2
SDUNT331,3/24/23,A,0001W1-001,WIN,2
SDUNT175,3/24/23,A-E,0001W1-001,WIN,2
SDUNT216,3/24/23,A,0001W1-001,WIN,2
SDUNT217,3/24/23,A-E,0001W1-001,WIN,2
SDUNT372,3/24/23,A-E,0001W1-001,WIN,2
SDUNT113,3/24/23,A-E,0001W1-001,WIN,2
SDUNT583,3/24/23,A,0001W1-001,WIN,2
