,School Name,School Type,Town,Grade,% African American,% Asian,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Average Class Size,Number of Students,% Graduated,% Still in School,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
37,John A Bishop,Public School,Arlington,"K,01,02,03,04,05",4.2,14.6,0.0,0.7,4.5,49.4,50.6,23.7,427.0,,,,,,,,,,
38,M Norcross Stratton,Public School,Arlington,"K,01,02,03,04,05",2.5,18.2,0.0,0.0,4.5,49.7,50.3,17.2,396.0,,,,,,,,,,
39,Menotomy Preschool,Public School,Arlington,PK,0.0,12.9,0.0,0.0,2.9,62.9,37.1,14.4,72.0,,,,,,,,,,
40,Ottoson Middle,Public School,Arlington,"06,07,08",4.2,10.0,0.0,0.0,5.0,47.0,53.0,19.1,1148.0,,,,,,,,,,
41,Peirce,Public School,Arlington,"K,01,02,03,04,05",4.0,12.3,0.0,0.0,2.5,49.6,50.4,22.0,264.0,,,,,,,,,,
42,Thompson,Public School,Arlington,"K,01,02,03,04,05",5.4,16.1,0.6,0.2,4.9,51.9,48.1,23.0,437.0,,,,,,,,,,
43,Ashland High,Public School,Ashland,"09,10,11,12",2.0,9.0,0.3,0.0,2.2,48.8,51.2,14.6,746.0,95.1,0.5,3.0,14.0,62.0,106.0,127.0,549.0,530.0,576.0
44,Ashland Middle,Public School,Ashland,"06,07,08",2.4,12.1,0.3,0.0,2.9,48.7,51.3,19.1,621.0,,,,,,,,,,
45,David Mindess,Public School,Ashland,"03,04,05",2.1,13.5,1.0,0.0,3.4,50.6,49.4,21.7,601.0,,,,,,,,,,
46,Henry E Warren Elementary,Public School,Ashland,"K,01,02",1.8,14.1,0.6,0.2,3.6,49.8,50.2,21.2,616.0,,,,,,,,,,
47,William Pittaway Elementary,Public School,Ashland,PK,1.5,17.6,0.0,0.0,3.8,51.9,48.1,7.1,141.0,,,,,,,,,,
48,A. Irvin Studley Elementary School,Public School,Attleboro,"K,01,02,03,04",3.9,1.8,0.2,0.2,6.8,52.6,47.4,20.5,448.0,,,,,,,,,,
49,Attleboro Community Academy,Public School,Attleboro,"09,10,11,12",1.6,1.6,1.6,0.0,7.9,54.0,46.0,7.6,72.0,43.6,43.6,,,,,,,,
50,Attleboro High,Public School,Attleboro,"09,10,11,12",5.5,4.1,0.3,0.2,3.8,54.2,45.8,18.1,1724.0,91.0,3.4,70.0,128.0,146.0,117.0,59.0,494.0,490.0,504.0
51,Cyril K. Brennan Middle School,Public School,Attleboro,"05,06,07,08",4.2,4.9,0.4,0.4,7.2,53.3,46.7,20.8,558.0,,,,,,,,,,
52,Early Learning Center,Public School,Attleboro,PK,3.7,3.7,0.0,0.0,5.9,61.5,38.5,7.2,208.0,,,,,,,,,,
53,Hill-Roberts Elementary School,Public School,Attleboro,"K,01,02,03,04",6.0,3.9,0.9,0.0,8.1,55.0,45.0,23.9,479.0,,,,,,,,,,
54,Hyman Fine Elementary School,Public School,Attleboro,"K,01,02,03,04",4.3,6.3,0.0,0.0,6.1,47.2,52.8,22.4,453.0,,,,,,,,,,
55,Peter Thacher Elementary School,Public School,Attleboro,"K,01,02,03,04",3.8,6.1,0.0,0.0,9.6,53.8,46.2,16.5,405.0,,,,,,,,,,
56,Robert J. Coelho Middle School,Public School,Attleboro,"05,06,07,08",3.6,3.6,0.0,0.0,5.4,51.0,49.0,24.3,689.0,,,,,,,,,,
57,Thomas Willett Elementary School,Public School,Attleboro,"K,01,02,03,04",6.2,9.4,0.0,0.0,9.6,52.3,47.7,21.7,416.0,,,,,,,,,,
58,Wamsutta Middle School,Public School,Attleboro,"05,06,07,08",6.0,5.9,0.0,0.2,4.3,53.7,46.3,21.8,563.0,,,,,,,,,,
59,Auburn Middle,Public School,Auburn,"06,07,08",1.8,4.2,0.3,0.0,2.7,50.6,49.4,19.0,616.0,,,,,,,,,,
60,Auburn Senior High,Public School,Auburn,"PK,09,10,11,12",2.1,4.3,0.4,0.0,2.8,48.1,51.9,17.3,776.0,96.9,1.3,79.0,123.0,106.0,47.0,25.0,488.0,477.0,505.0
61,Bryn Mawr,Public School,Auburn,"K,01,02",1.4,3.1,0.7,0.0,3.5,52.1,47.9,23.0,278.0,,,,,,,,,,
62,Pakachoag School,Public School,Auburn,"K,01,02",2.8,3.9,0.0,0.0,3.9,52.3,47.7,21.5,258.0,,,,,,,,,,
63,Swanson Road Intermediate School,Public School,Auburn,"03,04,05",1.5,3.4,0.0,0.0,3.5,49.3,50.7,21.7,556.0,,,,,,,,,,
64,Avon Middle High School,Public School,Avon,"07,08,09,10,11,12",37.3,5.6,0.6,0.0,3.4,48.3,51.4,13.3,320.0,83.3,8.3,3.0,14.0,7.0,3.0,0.0,467.0,451.0,481.0
65,Ralph D Butler,Public School,Avon,"PK,K,01,02,03,04,05,06",23.3,3.8,1.3,0.0,5.8,52.2,47.8,18.0,404.0,,,,,,,,,,
66,Barnstable High,Public School,Hyannis,"08,09,10,11,12",8.4,2.8,0.9,0.4,3.7,48.7,51.3,15.3,1837.0,84.6,5.0,152.0,212.0,278.0,156.0,108.0,505.0,489.0,513.0
67,Barnstable Intermediate School,Public School,Hyannis,"06,07",8.0,1.7,0.5,0.0,5.2,48.7,51.3,15.1,752.0,,,,,,,,,,
68,Barnstable United Elementary School,Public School,Marston Mills,"04,05",6.7,2.1,0.0,0.4,3.5,52.0,48.0,23.4,804.0,,,,,,,,,,
69,Centerville Elementary,Public School,Centerville,"K,01,02,03",4.8,1.4,0.3,0.0,2.7,53.9,46.1,19.6,317.0,,,,,,,,,,
70,Enoch Cobb Early Learning Center,Public School,Hyannis,PK,5.6,2.4,0.0,0.0,7.9,54.8,45.2,8.3,150.0,,,,,,,,,,
71,Hyannis West Elementary,Public School,Hyannis,"K,01,02,03",17.1,2.5,0.3,0.3,9.6,54.8,45.2,22.1,356.0,,,,,,,,,,
72,West Barnstable Elementary,Public School,West Barnstable,"K,01,02,03",4.6,1.9,0.0,0.0,3.5,56.5,43.5,24.1,258.0,,,,,,,,,,
73,West Villages Elementary School,Public School,Marstons Mills,"K,01,02,03",2.0,0.7,0.5,0.0,3.6,50.3,49.7,27.6,460.0,,,,,,,,,,
74,Bedford High,Public School,Bedford,"PK,09,10,11,12",7.8,11.4,0.0,0.6,5.2,50.6,49.4,12.3,893.0,95.2,2.9,3.0,18.0,50.0,73.0,105.0,566.0,550.0,572.0
75,John Glenn Middle,Public School,Bedford,"06,07,08",5.8,15.5,0.0,0.0,3.6,50.2,49.8,14.5,538.0,,,,,,,,,,
76,Lt Elezer Davis,Public School,Bedford,"K,01,02",5.0,16.7,0.0,0.0,6.9,50.2,49.8,22.0,593.0,,,,,,,,,,
77,Lt Job Lane School,Public School,Bedford,"03,04,05",5.7,15.7,0.0,0.0,3.9,53.4,46.6,20.5,535.0,,,,,,,,,,
78,Belchertown High,Public School,Belchertown,"09,10,11,12",2.0,2.0,0.1,0.1,1.4,50.3,49.7,14.0,707.0,91.6,2.8,5.0,7.0,19.0,25.0,24.0,544.0,531.0,544.0
79,Chestnut Hill Community School,Public School,Belchertown,"04,05,06",2.6,2.4,0.0,0.3,2.2,50.5,49.5,22.5,578.0,,,,,,,,,,
80,Cold Spring,Public School,Belchertown,"PK,K",1.2,1.8,0.0,0.0,5.3,44.7,55.3,16.4,179.0,,,,,,,,,,
81,Jabish Middle School,Public School,Belchertown,"07,08",2.3,1.5,0.0,0.3,2.3,51.9,48.1,15.6,409.0,,,,,,,,,,
82,Swift River Elementary,Public School,Belchertown,"01,02,03",2.0,1.2,0.6,0.0,2.6,52.1,47.9,20.3,505.0,,,,,,,,,,
83,Bellingham Early Childhood Center,Public School,Bellingham,PK,2.1,3.1,0.0,2.1,1.0,57.3,42.7,15.7,100.0,,,,,,,,,,
84,Bellingham High School,Public School,Bellingham,"08,09,10,11,12",1.8,3.1,0.3,0.0,1.2,54.5,45.5,18.3,748.0,94.3,3.2,38.0,57.0,47.0,28.0,20.0,515.0,480.0,518.0
85,Bellingham Memorial School,Public School,Bellingham,"04,05,06,07",1.7,4.2,0.3,0.0,1.4,49.9,50.1,20.2,732.0,,,,,,,,,,
86,Keough Memorial Academy,Public School,Bellingham,"07,08,09,10,11,12",0.0,0.0,0.0,0.0,2.9,64.7,32.4,8.6,40.0,23.1,15.4,,,,,,,,
87,South Elementary,Public School,Bellingham,"K,01,02,03",1.8,1.2,0.0,2.4,0.6,50.1,49.9,20.0,360.0,,,,,,,,,,
88,Stall Brook,Public School,Bellingham,"K,01,02,03",1.8,2.0,0.0,1.5,3.8,46.8,53.2,16.0,337.0,,,,,,,,,,
