,School Name,School Type,Town,Grade,% African American,% Asian,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Average Class Size,Number of Students,% Graduated,% Still in School,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
404,Gordon W Mitchell,Public School,East Bridgewater,"03,04,05,06",3.2,0.7,0.3,0.0,3.3,54.9,44.9,25.4,712.0,,,,,,,,,,
405,Birchland Park,Public School,East Longmeadow,"06,07,08",2.2,5.9,0.0,0.2,0.8,52.4,47.6,18.6,646.0,,,,,,,,,,
406,East Longmeadow High,Public School,East Longmeadow,"09,10,11,12",3.6,6.0,0.2,0.1,0.6,48.7,51.3,17.0,865.0,97.2,2.8,9.0,39.0,90.0,71.0,71.0,526.0,509.0,540.0
407,Mapleshade,Public School,East Longmeadow,"03,04,05",3.3,5.9,0.0,0.0,2.6,44.6,55.4,15.6,279.0,,,,,,,,,,
408,Meadow Brook,Public School,East Longmeadow,"PK,K,01,02",1.1,4.8,0.0,0.0,3.2,55.2,44.8,20.6,571.0,,,,,,,,,,
409,Mountain View,Public School,East Longmeadow,"03,04,05",1.7,3.0,0.0,0.0,3.7,51.7,48.3,17.6,307.0,,,,,,,,,,
410,Eastham Elementary,Public School,Eastham,"PK,K,01,02,03,04,05",5.5,1.6,1.1,0.0,2.2,48.4,51.6,12.8,176.0,,,,,,,,,,
411,Center School,Public School,Easthampton,"K,01,02,03,04",1.0,2.1,0.5,0.0,3.6,58.8,41.2,21.6,177.0,,,,,,,,,,
412,Easthampton High,Public School,Easthampton,"09,10,11,12",2.3,4.0,0.0,0.2,0.6,47.1,52.9,17.9,456.0,88.5,4.4,34.0,86.0,45.0,29.0,14.0,493.0,486.0,500.0
413,Maple,Public School,Easthampton,"PK,K,01,02,03,04",1.6,3.5,0.8,0.0,2.7,53.9,46.1,20.5,261.0,,,,,,,,,,
414,Neil A Pepin,Public School,Easthampton,"K,01,02,03,04",1.0,5.7,0.5,0.0,4.7,55.2,44.8,21.2,191.0,,,,,,,,,,
415,White Brook Middle School,Public School,Easthampton,"05,06,07,08",1.8,3.6,0.0,0.0,1.8,48.3,51.7,20.3,477.0,,,,,,,,,,
416,Center School,Public School,South Easton,"PK,K,01,02",8.3,2.8,0.4,0.4,0.8,56.9,43.1,19.4,262.0,,,,,,,,,,
417,Easton Middle School,Public School,North Easton,"06,07,08",5.4,3.4,0.1,0.0,2.5,49.3,50.7,18.3,868.0,,,,,,,,,,
418,Moreau Hall,Public School,North Easton,"PK,K,01,02",5.6,2.1,1.3,0.0,1.3,50.6,49.4,18.0,227.0,,,,,,,,,,
419,Oliver Ames High,Public School,North Easton,"09,10,11,12",4.8,4.1,0.2,0.1,3.3,47.2,52.8,19.6,1194.0,97.8,1.1,51.0,150.0,213.0,211.0,88.0,543.0,533.0,550.0
420,Parkview Elementary,Public School,North Easton,"PK,K,01,02",3.8,1.7,0.3,0.0,5.5,52.8,47.2,19.9,340.0,,,,,,,,,,
421,Richardson Olmsted School,Public School,North Easton,"03,04,05",4.0,3.2,0.0,0.0,2.6,51.0,49.0,24.0,865.0,,,,,,,,,,
422,Edgartown Elementary,Public School,Edgartown,"PK,K,01,02,03,04,05,06,07,08",3.2,0.3,2.3,0.0,5.2,45.7,54.3,16.2,360.0,,,,,,,,,,
423,Erving Elementary,Public School,Erving,"PK,K,01,02,03,04,05,06",0.0,0.0,0.0,0.0,9.6,52.9,47.1,18.4,135.0,,,,,,,,,,
424,Adams School,Public School,Everett,PK,16.3,8.1,0.0,0.0,1.9,57.4,42.6,14.8,236.0,,,,,,,,,,
425,Devens School,Public School,Everett,"K,01,02,03,04,05,06,07,08,09,10,11,12",20.0,0.0,0.0,0.0,4.6,76.9,23.1,4.0,68.0,25.0,37.5,,,,,,,,
426,Everett High,Public School,Everett,"09,10,11,12",19.9,4.4,0.3,0.1,1.1,52.0,48.0,17.1,2003.0,78.2,6.7,107.0,104.0,54.0,26.0,18.0,438.0,416.0,439.0
427,George Keverian School,Public School,Everett,"K,01,02,03,04,05,06,07,08",16.5,5.6,0.5,0.1,2.4,52.8,47.2,21.7,944.0,,,,,,,,,,
428,Lafayette School,Public School,Everett,"K,01,02,03,04,05,06,07,08",19.2,4.6,0.5,0.0,2.8,47.8,52.2,21.0,962.0,,,,,,,,,,
429,Madeline English School,Public School,Everett,"K,01,02,03,04,05,06,07,08",13.1,5.0,0.6,0.2,1.6,49.7,50.3,20.3,890.0,,,,,,,,,,
430,Parlin School,Public School,Everett,"K,01,02,03,04,05,06,07,08",18.8,3.0,0.2,0.0,1.6,49.0,51.0,23.8,876.0,,,,,,,,,,
431,Sumner G. Whittier School,Public School,Everett,"K,01,02,03,04,05,06,07,08",13.4,6.4,1.0,0.0,1.7,47.6,52.4,21.7,643.0,,,,,,,,,,
432,Webster School,Public School,Everett,"PK,K,01,02,03,04",15.8,6.9,0.0,0.0,2.0,56.7,43.3,15.5,579.0,,,,,,,,,,
433,East Fairhaven,Public School,Fairhaven,"PK,K,01,02,03,04,05",1.6,1.6,0.5,0.0,4.1,52.3,47.7,21.9,455.0,,,,,,,,,,
434,Fairhaven High,Public School,Fairhaven,"09,10,11,12",0.8,1.6,0.2,0.0,2.4,47.9,52.1,15.1,639.0,92.2,3.3,8.0,52.0,68.0,29.0,14.0,512.0,498.0,517.0
435,Hastings Middle,Public School,Fairhaven,"06,07,08",1.1,2.6,0.7,0.0,2.0,52.6,47.4,17.0,443.0,,,,,,,,,,
436,Leroy Wood,Public School,Fairhaven,"K,01,02,03,04,05",1.6,2.1,0.2,0.0,5.1,49.8,50.2,21.6,521.0,,,,,,,,,,
437,B M C Durfee High,Public School,Fall River,"09,10,11,12",8.3,5.5,0.2,0.2,4.3,50.8,49.2,16.5,2148.0,79.2,1.6,114.0,145.0,152.0,95.0,32.0,495.0,471.0,477.0
438,Carlton M. Viveiros Elementary School,Public School,Fall River,"K,01,02,03,04,05",7.4,3.9,0.3,0.0,9.9,53.5,46.5,21.2,721.0,,,,,,,,,,
439,Fall River Gateway to College @ BCC,Public School,Fall River,"10,11,12",8.0,4.0,0.0,0.0,0.0,36.0,64.0,,,70.6,5.9,,,,,,,,
440,Henry Lord Community School,Public School,Fall River,"PK,K,01,02,03,04,05,06,07,08",9.9,5.3,0.2,0.6,9.8,53.2,46.8,17.8,531.0,,,,,,,,,,
441,James Tansey,Public School,Fall River,"K,01,02,03,04,05",1.4,1.0,0.0,0.0,7.8,47.8,52.2,25.3,303.0,,,,,,,,,,
442,John J Doran,Public School,Fall River,"PK,K,01,02,03,04,05,06,07,08",7.7,1.8,0.4,0.0,8.8,51.6,48.4,24.0,555.0,,,,,,,,,,
443,Letourneau Elementary School,Public School,Fall River,"PK,K,01,02,03,04,05",7.5,2.0,0.0,0.0,5.9,49.6,50.4,21.9,606.0,,,,,,,,,,
444,Mary Fonseca Elementary School,Public School,Fall River,"K,01,02,03,04,05",8.7,5.6,0.6,0.0,11.1,50.5,49.5,23.6,732.0,,,,,,,,,,
445,Matthew J Kuss Middle,Public School,Fall River,"06,07,08",6.5,3.8,0.3,0.0,5.8,49.0,51.0,22.4,736.0,,,,,,,,,,
446,Morton Middle,Public School,Fall River,"06,07,08",7.7,4.7,0.2,0.3,6.3,56.1,43.9,21.2,632.0,,,,,,,,,,
447,North End Elementary,Public School,Fall River,"PK,K,01,02,03,04,05",5.6,3.8,0.0,0.1,8.7,54.1,45.9,23.1,784.0,,,,,,,,,,
448,Resiliency Middle School,Public School,Fall River,"06,07,08",11.1,0.0,3.7,0.0,7.4,55.6,44.4,8.6,43.0,,,,,,,,,,
449,Resiliency Preparatory School,Public School,Fall River,"09,10,11,12",13.6,1.2,0.0,1.2,4.3,58.0,42.0,7.6,111.0,34.7,12.6,,,,,,,,
450,Samuel Watson,Public School,Fall River,"K,01,02,03,04,05",11.8,2.0,1.3,0.0,12.2,46.7,53.3,22.6,294.0,,,,,,,,,,
451,Spencer Borden,Public School,Fall River,"K,01,02,03,04,05",5.4,4.4,0.0,0.0,8.2,55.6,44.4,20.1,558.0,,,,,,,,,,
452,Stone Day School,Public School,Fall River,"02,03,04,05,06,07,08",12.5,0.0,0.0,0.0,15.6,90.6,9.4,5.5,41.0,,,,,,,,,,
453,Talbot Innovation School,Public School,Fall River,"06,07,08",7.1,5.1,0.2,0.0,5.5,52.2,47.8,15.0,598.0,,,,,,,,,,
454,William S Greene,Public School,Fall River,"PK,K,01,02,03,04,05",4.9,5.3,0.1,0.0,8.9,50.0,50.0,22.0,766.0,,,,,,,,,,
455,East Falmouth Elementary,Public School,East Falmouth,"PK,K,01,02,03,04",5.1,0.9,2.3,0.0,6.8,54.1,45.9,16.4,378.0,,,,,,,,,,
456,Falmouth High,Public School,Falmouth,"09,10,11,12",4.9,3.5,0.7,0.1,4.8,51.0,49.0,14.4,869.0,87.7,3.0,22.0,33.0,66.0,60.0,57.0,518.0,516.0,540.0
457,Lawrence,Public School,Falmouth,"07,08",4.6,3.0,1.4,0.0,6.7,51.2,48.8,17.5,574.0,,,,,,,,,,
458,Morse Pond School,Public School,Falmouth,"05,06",6.5,1.4,0.5,0.3,4.9,49.2,50.8,30.8,615.0,,,,,,,,,,
459,Mullen-Hall,Public School,Falmouth,"K,01,02,03,04",3.0,3.4,1.5,0.0,7.3,53.9,46.1,18.2,472.0,,,,,,,,,,
460,North Falmouth Elementary,Public School,North Falmouth,"K,01,02,03,04",2.2,1.9,0.0,0.0,4.2,49.0,51.0,18.3,329.0,,,,,,,,,,
461,Teaticket,Public School,East Falmouth,"PK,K,01,02,03,04",8.3,2.0,2.7,0.0,6.7,52.3,47.7,15.7,317.0,,,,,,,,,,
462,Arthur M Longsjo Middle School,Public School,Fitchburg,"05,06,07,08",5.9,4.7,0.2,0.0,7.5,55.1,44.9,17.2,553.0,,,,,,,,,,
463,Crocker Elementary,Public School,Fitchburg,"PK,K,01,02,03,04",4.5,2.5,0.3,0.2,7.0,52.5,47.5,23.4,622.0,,,,,,,,,,
464,Fitchburg High,Public School,Fitchburg,"PK,09,10,11,12",7.3,6.1,0.0,0.1,6.1,52.1,47.9,20.3,1365.0,86.1,2.6,244.0,135.0,70.0,49.0,9.0,395.0,373.0,414.0
465,Goodrich Academy,Public School,Fitchburg,"09,10,11,12",7.0,1.2,0.0,0.0,2.3,55.2,44.8,7.0,236.0,55.7,21.5,,,,,,,,
466,McKay Arts Academy,Public School,Fitchburg,"PK,K,01,02,03,04,05,06,07,08",4.6,6.7,0.0,0.0,8.0,47.1,52.9,19.5,678.0,,,,,,,,,,
467,Memorial Intermediate,Public School,Fitchburg,"05,06,07,08",5.6,5.4,0.0,0.0,6.8,50.3,49.7,21.0,720.0,,,,,,,,,,
468,Reingold Elementary,Public School,Fitchburg,"PK,K,01,02,03,04",5.8,3.1,0.0,0.2,8.0,51.9,48.1,21.6,661.0,,,,,,,,,,
469,South Street Elementary,Public School,Fitchburg,"PK,K,01,02,03,04",6.1,5.6,0.1,0.1,7.4,49.9,50.1,19.8,681.0,,,,,,,,,,
470,Abbott Memorial,Public School,Florida,"PK,K,01,02,03,04,05,06,07,08",1.2,0.0,0.0,1.2,1.2,44.4,55.6,9.4,89.0,,,,,,,,,,
471,Charles Taylor Elementary,Public School,Foxborough,"K,01,02,03,04",4.1,4.1,0.8,0.4,2.1,57.2,42.8,17.3,242.0,,,,,,,,,,
472,Foxborough High,Public School,Foxborough,"09,10,11,12",5.3,2.7,0.1,0.1,0.8,53.2,46.8,13.6,838.0,96.4,3.1,28.0,104.0,131.0,119.0,73.0,520.0,514.0,534.0
473,John J Ahern,Public School,Foxborough,"05,06,07,08",4.5,2.3,0.5,0.0,1.7,51.0,49.0,17.8,832.0,,,,,,,,,,
474,Mabelle M Burrell,Public School,Foxborough,"PK,K,01,02,03,04",2.6,6.1,0.3,0.3,3.9,55.6,44.4,17.3,322.0,,,,,,,,,,
475,Vincent M Igo Elementary,Public School,Foxborough,"K,01,02,03,04",3.6,5.3,0.5,0.0,3.0,50.8,49.2,20.2,415.0,,,,,,,,,,
476,Abby Kelley Foster Charter Public School,Charter School,Worcester,"K,01,02,03,04,05,06,07,08,09,10,11,12",48.5,4.0,0.1,0.1,2.3,47.3,52.7,18.7,1420.0,96.1,0.0,,,,,,482.0,485.0,472.0
477,Academy Of the Pacific Rim Charter Public School,Charter School,Hyde Park,"05,06,07,08,09,10,11,12",58.1,0.9,0.0,0.2,3.0,47.4,52.6,22.8,525.0,91.1,7.1,35.0,45.0,8.0,4.0,4.0,,,
478,Acton-Boxborough Regional High,Public School,Acton,"09,10,11,12",1.5,28.2,0.2,0.0,3.7,50.6,49.4,19.9,1900.0,98.3,0.8,7.0,49.0,100.0,303.0,566.0,617.0,608.0,641.0
479,Blanchard Memorial School,Public School,Boxborough,"K,01,02,03,04,05,06",1.7,33.2,0.5,0.0,2.9,51.8,48.2,21.1,433.0,,,,,,,,,,
480,C.T. Douglas Elementary School,Public School,Acton,"K,01,02,03,04,05,06",0.2,24.3,0.2,0.0,6.1,52.0,48.0,22.9,482.0,,,,,,,,,,
481,Carol Huebner Early Childhood Program,Public School,Acton,PK,5.2,40.2,3.1,0.0,2.1,59.8,40.2,,,,,,,,,,,,
482,Luther Conant School,Public School,Acton,"K,01,02,03,04,05,06",2.9,60.8,0.0,0.0,2.7,50.1,49.9,22.9,435.0,,,,,,,,,,
483,McCarthy-Towne School,Public School,Acton,"K,01,02,03,04,05,06",3.4,11.4,0.6,0.0,5.5,51.2,48.8,22.8,479.0,,,,,,,,,,
484,Merriam School,Public School,Acton,"K,01,02,03,04,05,06",2.5,20.5,0.0,0.2,3.3,53.8,46.2,22.2,610.0,,,,,,,,,,
485,Paul P Gates Elementary School,Public School,Acton,"K,01,02,03,04,05,06",1.7,51.0,1.0,0.2,2.7,52.5,47.5,22.4,425.0,,,,,,,,,,
486,Raymond J Grey Junior High,Public School,Acton,"07,08",2.0,31.8,0.1,0.0,5.6,52.3,47.7,22.3,895.0,,,,,,,,,,
487,Cheshire Elementary,Public School,Cheshire,"PK,K,01,02,03,04,05",4.1,0.4,0.0,0.0,0.8,47.1,52.9,16.4,248.0,,,,,,,,,,
488,Hoosac Valley Middle & High School,Public School,Cheshire,"06,07,08,09,10,11,12",5.1,1.3,0.2,0.0,0.2,50.0,50.0,14.1,637.0,83.3,1.4,26.0,41.0,39.0,20.0,7.0,494.0,478.0,489.0
489,Plunkett Elementary,Public School,Adams,"K,01,02,03,04,05",4.0,0.2,0.2,0.2,3.3,52.3,47.7,18.8,455.0,,,,,,,,,,
490,Advanced Math and Science Academy Charter School,Charter School,Marlborough,"06,07,08,09,10,11,12",2.4,19.2,0.3,0.0,5.4,51.7,48.3,19.3,981.0,100.0,0.0,20.0,69.0,130.0,166.0,196.0,606.0,604.0,658.0
491,Alma del Mar Charter School,Charter School,New Bedford,"K,01,02,03,04,05,06,07",14.2,0.6,0.3,0.0,5.9,46.3,53.7,34.2,281.0,,,,,,,,,,
492,Amherst Regional High,Public School,Amherst,"09,10,11,12",7.0,9.5,0.1,0.0,9.2,52.1,47.9,12.9,926.0,91.6,4.4,10.0,16.0,47.0,75.0,60.0,594.0,564.0,601.0
493,Amherst Regional Middle School,Public School,Amherst,"07,08",6.9,7.9,0.0,0.5,8.3,47.7,52.3,17.7,457.0,,,,,,,,,,
494,Briggs Elementary,Public School,Ashburnham,"PK,K,01,02,03,04,05",0.2,0.4,0.0,0.0,1.3,52.1,47.9,21.8,578.0,,,,,,,,,,
495,Meetinghouse School,Public School,Westminster,"K,01",1.3,0.0,0.0,0.0,0.6,54.4,45.6,20.4,165.0,,,,,,,,,,
496,Oakmont Regional High School,Public School,Ashburnham,"09,10,11,12",0.6,1.0,0.0,0.0,1.7,49.9,50.1,16.0,704.0,94.1,5.9,7.0,32.0,58.0,28.0,17.0,511.0,488.0,514.0
497,Overlook Middle School,Public School,Ashburnham,"06,07,08",0.0,0.9,0.0,0.0,1.2,49.1,50.9,17.6,574.0,,,,,,,,,,
498,Westminster Elementary,Public School,Westminster,"02,03,04,05",1.6,0.3,0.3,0.0,2.4,52.7,47.3,22.0,376.0,,,,,,,,,,
499,Assabet Valley Vocational High School,Public School,Marlborough,"09,10,11,12",0.9,0.7,0.5,0.0,2.3,57.6,42.4,16.2,1072.0,95.9,1.6,15.0,22.0,11.0,5.0,1.0,439.0,413.0,438.0
500,Athol Community Elementary School,Public School,Athol,"PK,K,01,02,03,04",0.7,1.2,0.2,0.2,3.1,50.3,49.7,15.6,203.0,,,,,,,,,,
501,Athol High,Public School,Athol,"09,10,11,12",2.8,0.8,0.0,0.0,1.1,54.2,45.8,13.7,344.0,75.0,10.2,81.0,35.0,12.0,4.0,0.0,466.0,456.0,473.0
502,Athol-Royalston Middle School,Public School,Athol,"05,06,07,08",1.8,0.0,0.3,0.0,3.4,52.7,47.3,19.2,418.0,,,,,,,,,,
503,Royalston Community School,Public School,Royalston,"K,01,02,03,04,05,06",2.1,0.7,0.0,0.0,0.7,49.3,50.7,17.3,157.0,,,,,,,,,,
504,Atlantis Charter School,Charter School,Fall River,"K,01,02,03,04,05,06,07,08,09,10,11",4.7,1.9,0.1,0.0,3.4,46.7,53.3,21.7,1024.0,,,,,,,,,,
505,Ayer Shirley Regional High School,Public School,Ayer,"09,10,11,12",7.8,2.4,0.2,0.2,5.9,50.4,49.6,15.4,399.0,93.3,1.1,10.0,13.0,18.0,9.0,10.0,504.0,481.0,511.0
506,Ayer Shirley Regional Middle School,Public School,Shirley,"06,07,08",4.8,2.0,0.8,0.8,5.8,47.1,52.9,20.0,397.0,,,,,,,,,,
507,Lura A. White Elementary School,Public School,Shirley,"PK,K,01,02,03,04,05",2.1,2.6,0.0,0.3,4.1,52.7,47.3,22.8,409.0,,,,,,,,,,
508,Page Hilltop Elementary School,Public School,Ayer,"PK,K,01,02,03,04,05",3.2,3.8,0.2,0.4,4.2,54.0,46.0,19.2,560.0,,,,,,,,,,
509,Barnstable Community Horace Mann Charter Public School,Charter School,Hyannis,"K,01,02,03",17.9,3.1,1.0,0.3,5.2,51.7,48.3,21.0,288.0,,,,,,,,,,
510,Benjamin Banneker Charter Public School,Charter School,Cambridge,"PK,K,01,02,03,04,05,06",79.5,2.6,0.9,0.0,1.2,51.9,48.1,21.3,345.0,,,,,,,,,,
511,Benjamin Franklin Classical Charter Public School,Charter School,Franklin,"K,01,02,03,04,05,06,07,08",1.6,23.0,0.2,0.0,3.1,51.7,48.3,24.6,450.0,,,,,,,,,,
512,Berkshire Arts and Technology Charter Public School,Charter School,Adams,"06,07,08,09,10,11,12",14.6,2.5,0.0,0.3,3.9,48.0,51.7,15.8,354.0,91.3,8.7,11.0,12.0,9.0,2.0,2.0,514.0,490.0,502.0
513,Monument Mt Regional High,Public School,Great Barrington,"09,10,11,12",2.2,1.8,0.2,0.2,2.4,51.4,48.6,12.1,543.0,90.3,5.6,4.0,16.0,39.0,31.0,26.0,547.0,519.0,522.0
514,Monument Valley Regional Middle School,Public School,Great Barrington,"05,06,07,08",1.6,3.1,0.3,0.5,3.4,46.3,53.7,19.7,404.0,,,,,,,,,,
515,Muddy Brook Regional Elementary School,Public School,Great Barrington,"PK,K,01,02,03,04",1.7,3.1,0.0,0.0,6.8,56.3,43.8,12.2,360.0,,,,,,,,,,
516,Tahanto Regional High,Public School,Boylston,"06,07,08,09,10,11,12",1.0,3.1,0.0,0.0,2.1,52.2,47.8,16.2,564.0,94.3,2.9,5.0,22.0,45.0,28.0,20.0,526.0,510.0,528.0
517,Blackstone Valley,Public School,Upton,"09,10,11,12",0.6,0.8,0.0,0.0,1.6,48.2,51.8,17.4,1192.0,99.3,0.0,124.0,129.0,98.0,43.0,10.0,485.0,465.0,502.0
518,A F Maloney,Public School,Blackstone,"03,04,05",2.4,1.4,0.3,0.0,4.1,47.3,52.7,21.8,282.0,,,,,,,,,,
519,Blackstone Millville RHS,Public School,Blackstone,"09,10,11,12",0.9,1.8,0.0,0.0,1.1,48.7,51.3,15.4,463.0,94.2,4.1,20.0,46.0,44.0,30.0,12.0,519.0,488.0,514.0
520,Frederick W. Hartnett Middle School,Public School,Blackstone,"06,07,08",1.2,1.2,0.0,0.0,2.5,49.3,50.7,17.7,440.0,,,,,,,,,,
521,John F Kennedy Elementary,Public School,Blackstone,"K,01,02",1.7,0.7,0.0,0.0,4.8,56.8,43.2,20.6,309.0,,,,,,,,,,
522,Millville Elementary,Public School,Millville,"PK,K,01,02,03,04,05",0.4,1.4,0.0,0.0,2.1,55.1,44.9,19.5,283.0,,,,,,,,,,
523,Blue Hills Regional Vocational Technical,Public School,Canton,"09,10,11,12",22.7,0.7,0.8,0.1,4.5,55.5,44.5,15.8,873.0,97.4,2.6,2.0,8.0,6.0,1.0,3.0,445.0,406.0,446.0
524,Boston Collegiate Charter School,Charter School,Dorchester,"05,06,07,08,09,10,11,12",27.5,2.2,0.7,0.0,2.4,48.1,51.9,20.6,688.0,91.5,8.5,25.0,56.0,50.0,33.0,10.0,491.0,508.0,536.0
525,Boston Day and Evening Academy Charter School,Charter School,Roxbury,"09,10,11,12",48.3,2.0,1.0,0.2,3.2,42.3,57.7,15.8,447.0,9.8,63.4,,,,,,410.0,381.0,409.0
526,Boston Green Academy Horace Mann Charter School,Charter School,Brighton,"06,07,08,09,10,11,12",54.8,0.8,0.0,0.0,4.4,51.5,48.5,14.4,414.0,76.6,12.5,34.0,15.0,3.0,0.0,0.0,367.0,336.0,357.0
527,Boston Preparatory Charter Public School,Charter School,Hyde Park,"06,07,08,09,10,11,12",69.2,1.0,0.5,0.2,1.9,51.8,48.2,34.0,421.0,75.0,13.5,70.0,65.0,25.0,5.0,5.0,426.0,424.0,489.0
528,Boston Renaissance Charter Public School,Charter School,Hyde Park,"PK,K,01,02,03,04,05,06",64.1,0.3,0.1,0.0,3.0,49.3,50.7,19.3,940.0,,,,,,,,,,
529,Bridge Boston Charter School,Charter School,Dorchester,"PK,K,01,02,03,04,05",60.7,1.5,0.7,0.0,3.7,46.4,53.6,23.5,230.0,,,,,,,,,,
530,Bridgewater Middle School,Public School,Bridgewater,"07,08",3.6,0.8,0.0,0.2,3.8,54.2,45.8,22.3,497.0,,,,,,,,,,
531,Bridgewater-Raynham Regional,Public School,Bridgewater,"09,10,11,12",3.9,2.3,0.2,0.1,3.4,50.0,50.0,16.9,1473.0,92.6,3.3,34.0,104.0,157.0,92.0,43.0,510.0,504.0,531.0
532,Laliberte Elementary School,Public School,Raynham,"02,03,04",4.6,1.8,0.4,0.0,2.2,54.2,45.8,23.4,464.0,,,,,,,,,,
533,Merrill Elementary School,Public School,Raynham,"K,01",5.9,2.8,0.0,0.0,1.9,50.3,49.7,21.3,306.0,,,,,,,,,,
534,Mitchell Elementary School,Public School,Bridgewater,"PK,K,01,02,03",6.0,1.6,0.0,0.1,3.5,52.9,47.1,20.9,1053.0,,,,,,,,,,
535,Raynham Middle School,Public School,Raynham,"05,06,07,08",2.7,2.3,0.0,0.1,3.5,49.5,50.5,23.0,720.0,,,,,,,,,,
536,Therapeutic Day School,Public School,Bridgewater,"05,06,07,08,09,10,11,12",0.0,0.0,0.0,0.0,9.1,54.5,45.5,,,,,,,,,,,,
537,Williams Intermediate School,Public School,Bridgewater,"04,05,06",3.5,1.1,0.4,0.3,5.1,53.3,46.7,22.7,748.0,,,,,,,,,,
538,Bristol County Agricultural High,Public School,Dighton,"09,10,11,12",0.2,0.2,0.2,0.0,1.3,28.2,71.4,17.7,458.0,100.0,0.0,,,,,,512.0,479.0,511.0
539,Bristol-Plymouth Vocational Technical,Public School,Taunton,"09,10,11,12",2.9,0.7,0.5,0.0,3.1,57.7,42.1,17.4,1293.0,97.1,0.6,42.0,53.0,29.0,13.0,2.0,461.0,435.0,469.0
540,Brooke Charter School,Charter School,Roslindale,"K,01,02,03,04,05,06,07,08,09",54.5,1.9,0.4,0.0,2.0,48.8,51.2,18.9,507.0,,,,,,,,,,
541,Cape Cod Lighthouse Charter School,Charter School,East Harwich,"06,07,08",1.2,1.2,0.0,0.0,5.3,42.8,57.2,29.6,240.0,,,,,,,,,,
542,Cape Cod Region Vocational Technical,Public School,Harwich,"09,10,11,12",5.1,1.0,2.1,0.2,5.0,62.4,37.6,13.3,643.0,92.9,3.9,5.0,17.0,7.0,2.0,0.0,471.0,428.0,448.0
543,Becket Washington School,Public School,Becket,"PK,K,01,02,03,04,05",0.0,0.0,0.0,0.0,3.2,56.0,44.0,16.2,116.0,,,,,,,,,,
544,Craneville,Public School,Dalton,"PK,K,01,02,03,04,05",0.2,2.1,0.0,0.0,4.0,53.6,46.4,17.5,427.0,,,,,,,,,,
545,Kittredge,Public School,Hinsdale,"PK,K,01,02,03,04,05",1.5,0.7,0.0,0.0,3.0,53.0,47.0,19.0,128.0,,,,,,,,,,
546,Nessacus Regional Middle School,Public School,Dalton,"06,07,08",1.0,1.0,0.3,0.0,3.8,52.3,47.7,15.3,414.0,,,,,,,,,,
547,Wahconah Regional High,Public School,Dalton,"09,10,11,12",1.1,0.7,0.0,0.0,1.8,49.4,50.6,15.1,553.0,91.6,1.5,47.0,63.0,43.0,18.0,16.0,499.0,489.0,509.0
548,New Hingham Regional Elementary,Public School,Chesterfield,"PK,K,01,02,03,04,05,06",0.7,0.0,1.4,0.0,0.0,48.6,51.4,13.7,157.0,,,,,,,,,,
549,Christa McAuliffe Charter Public School,Charter School,Framingham,"06,07,08",5.6,6.1,1.0,0.3,5.6,52.4,47.6,18.7,394.0,,,,,,,,,,
550,City on a Hill Charter Public School Circuit Street,Charter School,Roxbury,"09,10,11,12",65.2,0.0,0.4,0.4,1.4,45.2,54.8,12.1,273.0,69.5,23.7,34.0,8.0,4.0,1.0,1.0,395.0,400.0,460.0
551,Codman Academy Charter Public School,Charter School,Dorchester,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",80.5,0.0,0.3,0.6,0.6,49.9,50.1,17.8,316.0,62.5,20.8,13.0,1.0,0.0,0.0,0.0,374.0,342.0,406.0
552,Community Charter School of Cambridge,Charter School,Cambridge,"06,07,08,09,10,11,12",62.0,3.5,1.6,0.3,3.2,47.3,52.7,16.7,403.0,92.5,3.8,54.0,23.0,18.0,6.0,4.0,427.0,442.0,475.0
553,Community Day Charter Public School - Gateway,Charter School,Lawrence,"PK,K,01,02,03,04,05",0.7,0.7,0.0,0.0,0.0,51.4,48.6,20.0,240.0,,,,,,,,,,
554,Community Day Charter Public School - Prospect,Charter School,Lawrence,"PK,K,01,02,03,04,05,06,07,08",0.5,0.5,0.0,0.0,0.0,50.5,49.5,20.9,397.0,,,,,,,,,,
555,Community Day Charter Public School - R. Kingman Webster,Charter School,Lawrence,"PK,K,01,02,03,04,05",1.1,1.1,0.0,0.0,0.0,48.9,51.1,20.0,240.0,,,,,,,,,,
556,Concord Carlisle High,Public School,Concord,"09,10,11,12",4.3,9.5,0.0,0.0,3.7,47.8,52.1,15.3,1284.0,98.3,1.7,8.0,20.0,68.0,137.0,265.0,616.0,605.0,635.0
557,Conservatory Lab Charter School,Charter School,Dorchester,"PK,K,01,02,03,04,05,06,07,08",50.9,2.9,0.0,0.0,3.8,44.9,55.1,22.7,418.0,,,,,,,,,,
558,Dennis-Yarmouth Regional High,Public School,South Yarmouth,"08,09,10,11,12",10.0,2.9,1.6,0.1,5.0,50.7,49.3,14.7,1025.0,87.9,5.3,30.0,61.0,65.0,42.0,14.0,494.0,479.0,478.0
559,Ezra H Baker Innovation School,Public School,West Dennis,"PK,K,01,02,03",9.9,1.4,0.8,0.0,8.8,54.1,45.9,19.5,429.0,,,,,,,,,,
