Item,Sku Name,Sku Size,Style,Order Number,Price,Price Currency,Final Payout Amount,Final Payout Currency,Payout Method,Sale Date,Status,Seller Tracking Number,Payout ID
"Apple MacBook Pro 13.3"" Apple M2 Chip 8GB RAM 256GB SSD M2 10-Core macOS MNEH3LL/A Space Gray","MacBook Pro 13.3"" Apple M2 Chip 8GB RAM 256GB SSD M2 10-Core macOS",N/A,N/A,39861593-39761352,1195,USD,1057.58,USD,ACH,2022-07-26 22:07:00 +00,Delivered,1Z527Y0Y9082956264,""
Fear of God Essentials Sweatshort Pistachio,Essentials,S,N/A,39586317-39486076,70,USD,58.9,USD,ACH,2022-07-19 03:59:16 +00,Delivered,1Z8131R99053094373,""
Fear of God Essentials Sweatpants Pistachio,Essentials,M,N/A,39518041-39417800,82,USD,70.54,USD,ACH,2022-07-16 22:37:04 +00,Delivered,1Z527Y0Y9044685744,""
Fear of God Essentials T-shirt Harvest,Essentials,S,N/A,39486029-39385788,82,USD,70.54,USD,ACH,2022-07-15 21:46:46 +00,Delivered,1Z527Y0Y9054323679,""
Fear of God Essentials Sweatshort Pistachio,Essentials,M,N/A,39546713-39446472,76,USD,64.72,USD,ACH,2022-07-17 23:20:26 +00,Delivered,1Z527Y0Y9081908684,""
Fear of God Essentials Sweatshort Dark Heather Oatmeal,Essentials,XS,N/A,39468323-39368082,80,USD,68.6,USD,ACH,2022-07-15 12:37:23 +00,Delivered,1Z527Y0Y9087371672,""
Fear of God Essentials T-shirt Amber,Essentials,M,N/A,39465750-39365509,49,USD,38.53,USD,ACH,2022-07-15 10:12:59 +00,Delivered,1Z527Y0Y9082819313,""
Fear of God Essentials T-shirt Amber,Essentials,M,N/A,39458278-39358037,49,USD,38.53,USD,ACH,2022-07-15 02:38:20 +00,Delivered,1Z527Y0Y9065105778,""
Fear of God Essentials T-shirt Amber,Essentials,M,N/A,39529613-39429372,49,USD,38.53,USD,ACH,2022-07-17 10:33:28 +00,Delivered,1Z527Y0Y9073015994,""
Fear of God Essentials T-shirt Amber,Essentials,M,N/A,39465736-39365495,49,USD,38.53,USD,ACH,2022-07-15 10:12:24 +00,Delivered,1Z527Y0Y9083185907,""
Fear of God Essentials Sweatshort Harvest,Essentials,M,N/A,39460716-39360475,83,USD,71.51,USD,ACH,2022-07-15 04:22:39 +00,Delivered,1Z527Y0Y9076118565,""
Fear of God Essentials Core Collection Pullover Hoodie String/Tan,Essentials Core Collection,L,N/A,39497599-39397358,102,USD,89.94,USD,ACH,2022-07-16 05:25:24 +00,Delivered,1Z527Y0Y9075907580,""
Fear of God Essentials Hoodie Seafoam,Essentials,S,N/A,39462620-39362379,97,USD,85.09,USD,ACH,2022-07-15 06:11:38 +00,Delivered,1Z527Y0Y9072537048,""
Fear of God Essentials T-shirt Harvest,Essentials,XXS,N/A,39457536-39357295,65,USD,54.05,USD,ACH,2022-07-15 02:07:32 +00,Delivered,1Z527Y0Y9078726761,""
Fear of God Essentials Sweatpants Harvest,Essentials,L,N/A,39460711-39360470,92,USD,80.24,USD,ACH,2022-07-15 04:22:34 +00,Delivered,1Z527Y0Y9086950155,""
Fear of God Essentials Shorts (SS21) Black/Stretch Limo,Essentials,S,N/A,39472905-39372664,118,USD,104.43,USD,ACH,2022-07-15 15:03:42 +00,Delivered,1Z527Y0Y9074713853,""
Fear of God Essentials Core Collection Pullover Hoodie Stretch Limo,Essentials Core Collection,XS,N/A,39474313-39374072,109,USD,96.47,USD,ACH,2022-07-15 15:46:11 +00,Delivered,1Z527Y0Y9077481769,""
Fear of God Essentials Core Collection Pullover Hoodie String/Tan,Essentials Core Collection,S,N/A,39458208-39357967,113,USD,100.01,USD,ACH,2022-07-15 02:35:08 +00,Delivered,1Z527Y0Y9083686750,""
Fear of God Essentials Core Collection Pullover Hoodie String/Tan,Essentials Core Collection,XXS,N/A,39496579-39396338,106,USD,93.81,USD,ACH,2022-07-16 04:25:25 +00,Delivered,1Z527Y0Y9070781555,""
Fear of God Essentials Sweatpants Harvest,Essentials,L,N/A,39499522-39399281,93,USD,81.21,USD,ACH,2022-07-16 07:49:15 +00,Delivered,1Z527Y0Y9042681046,""
Fear of God Essentials Sweatpants Sweatpants Wheat,Essentials,S,130BT212027F,39489799-39389558,122,USD,107.97,USD,ACH,2022-07-15 23:58:16 +00,Delivered,1Z527Y0Y9085846118,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,Essentials Pullover,L,N/A,39536998-39436757,215,USD,190.28,USD,ACH,2022-07-17 17:32:59 +00,Delivered,1Z527Y0Y9064092383,""
Fear of God Essentials Core Collection Pullover Hoodie Stretch Limo,Essentials Core Collection,S,N/A,39483516-39383275,119,USD,105.32,USD,ACH,2022-07-15 20:20:34 +00,Delivered,1Z527Y0Y9088300844,""
Fear of God Essentials T-shirt Seafoam,Essentials,S,N/A,39460623-39360382,74,USD,62.78,USD,ACH,2022-07-15 04:17:43 +00,Delivered,1Z527Y0Y9075691938,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,Essentials Pullover,L,N/A,39486751-39386510,217,USD,192.05,USD,ACH,2022-07-15 22:12:20 +00,Delivered,1Z527Y0Y9068612698,""
Fear of God Essentials Core Collection Pullover Hoodie Stretch Limo,Essentials Core Collection,XXS,N/A,39463485-39363244,118,USD,104.43,USD,ACH,2022-07-15 07:17:36 +00,Delivered,1Z527Y0Y9064061326,""
Fear of God Essentials T-shirt Wheat,Essentials,S,N/A,39480069-39379828,57,USD,46.29,USD,ACH,2022-07-15 18:34:30 +00,Delivered,1Z527Y0Y9044845106,""
Fear of God Essentials Sweatshort Pistachio,Essentials,S,N/A,39546723-39446482,70,USD,58.9,USD,ACH,2022-07-17 23:20:45 +00,Delivered,1Z527Y0Y9078777699,""
Finalmouse Starlight-12 Phantom Wireless Mouse Small,Starlight-12 Phantom Wireless Mouse,N/A,N/A,33855965-33755724,207,USD,184.23,USD,ACH,2022-02-20 04:23:48 +00,Delivered,1Z8131R99081978286,""
Nike Air Zoom GT Cut Sabrina Ionescu,Sabrina Ionescu,9.5,CZ0175-901,38825694-38725453,375,USD,337.5,USD,ACH,2022-06-25 20:33:53 +00,Delivered,1Z45072V9020465575,""
Nike Air Max Plus City Special ATL (Women's),City Special ATL (Women's),6.5W,DH0155-600,37191834-37091593,524,USD,466.36,USD,ACH,2022-05-11 16:18:27 +00,In Transit,1Z45072V9001991514,""
Fear of God Essentials Pullover Hoodie Applique Logo Buttercream,Essentials Pullover,L,N/A,35820928-35720687,142,USD,126.38,USD,ACH,2022-04-06 07:47:25 +00,Delivered,1Z527Y0Y9088321063,""
Fear of God Essentials Pullover Hoodie Applique Logo Buttercream,Essentials Pullover,L,N/A,35826631-35726390,140,USD,124.6,USD,ACH,2022-04-06 13:14:21 +00,Delivered,1Z527Y0Y9088321063,""
Fear of God Essentials Core Collection Pullover Hoodie String/Tan,Essentials Core Collection,XS,N/A,35771775-35671534,108,USD,96.12,USD,ACH,2022-04-05 02:21:40 +00,Delivered,1Z527Y0Y9088321063,""
Fear of God Essentials Pullover Hoodie Applique Logo Buttercream,Essentials Pullover,L,N/A,35844986-35744745,140,USD,124.6,USD,ACH,2022-04-06 22:02:09 +00,Delivered,1Z527Y0Y9088321063,""
Fear of God Essentials Core Collection Pullover Hoodie String/Tan,Essentials Core Collection,XS,N/A,35825221-35724980,108,USD,96.12,USD,ACH,2022-04-06 12:16:26 +00,Delivered,1Z527Y0Y9088321063,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,Essentials Pullover,L,N/A,35757963-35657722,147,USD,130.83,USD,ACH,2022-04-04 19:55:14 +00,Delivered,1Z527Y0Y9088321063,""
Fear of God Essentials Pullover Hoodie Applique Logo Buttercream,Essentials Pullover,L,N/A,35820880-35720639,142,USD,126.38,USD,ACH,2022-04-06 07:44:49 +00,Delivered,1Z527Y0Y9088321063,""
Fear of God Essentials Pullover Hoodie Applique Logo Buttercream,Essentials Pullover,L,N/A,35771198-35670957,144,USD,128.16,USD,ACH,2022-04-05 02:04:35 +00,Delivered,1Z527Y0Y9088321063,""
Fear of God Essentials Pullover Hoodie Applique Logo Buttercream,Essentials Pullover,L,N/A,35821147-35720906,142,USD,126.38,USD,ACH,2022-04-06 08:00:47 +00,Delivered,1Z527Y0Y9088321063,""
Fear of God Essentials Pullover Hoodie Applique Logo Buttercream,Essentials Pullover,L,N/A,35822054-35721813,142,USD,126.38,USD,ACH,2022-04-06 09:02:08 +00,Delivered,1Z527Y0Y9088321063,""
Fear of God Essentials Pullover Hoodie Applique Logo Buttercream,Essentials Pullover,L,N/A,35834463-35734222,140,USD,124.6,USD,ACH,2022-04-06 16:58:58 +00,Delivered,1Z527Y0Y9088321063,""
Fear of God Essentials Pullover Hoodie Applique Logo Buttercream,Essentials Pullover,L,N/A,35848715-35748474,140,USD,124.6,USD,ACH,2022-04-06 23:57:06 +00,Delivered,1Z527Y0Y9088321063,""
Fear of God Essentials Pullover Hoodie Applique Logo Buttercream,Essentials Pullover,L,N/A,35818347-35718106,142,USD,126.38,USD,ACH,2022-04-06 05:15:39 +00,Delivered,1Z527Y0Y9088321063,""
Fear of God Essentials Pullover Hoodie Applique Logo Buttercream,Essentials Pullover,L,N/A,35835642-35735401,140,USD,124.6,USD,ACH,2022-04-06 17:31:25 +00,Delivered,1Z527Y0Y9088321063,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,Essentials Pullover,L,N/A,35616316-35516075,149,USD,132.61,USD,ACH,2022-04-01 03:29:14 +00,Delivered,1Z527Y0Y9055613676,""
Fear of God Essentials Pullover Hoodie Applique Logo Cement,Essentials Pullover,M,N/A,35573003-35472762,197,USD,177.3,USD,ACH,2022-03-31 04:58:30 +00,Delivered,1Z527Y0Y9086395416,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,Essentials Pullover,L,N/A,35616047-35515806,149,USD,132.61,USD,ACH,2022-04-01 03:21:31 +00,Delivered,1Z527Y0Y9043272683,""
Fear of God Essentials Core Collection Pullover Hoodie String/Tan,Essentials Core Collection,XS,N/A,35624804-35524563,108,USD,96.12,USD,ACH,2022-04-01 10:33:54 +00,Delivered,1Z527Y0Y9067611182,""
Fear of God Essentials Core Collection Pullover Hoodie String/Tan,Essentials Core Collection,XS,N/A,35692362-35592121,108,USD,96.12,USD,ACH,2022-04-03 00:35:23 +00,Delivered,1Z527Y0Y9051857189,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,Essentials Pullover,L,N/A,35638747-35538506,149,USD,132.61,USD,ACH,2022-04-01 17:02:38 +00,Delivered,1Z527Y0Y9060788013,""
Fear of God Essentials Core Collection Pullover Hoodie String/Tan,Essentials Core Collection,XS,N/A,35625313-35525072,108,USD,96.12,USD,ACH,2022-04-01 11:01:28 +00,Delivered,1Z527Y0Y9063748337,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,Essentials Pullover,L,N/A,35627890-35527649,149,USD,132.61,USD,ACH,2022-04-01 12:46:01 +00,Delivered,1Z527Y0Y9047221239,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,Essentials Pullover,L,N/A,35664063-35563822,147,USD,130.83,USD,ACH,2022-04-02 06:28:44 +00,Delivered,1Z527Y0Y9052031238,""
Fear of God Essentials Pullover Hoodie Applique Logo Cement,Essentials Pullover,M,N/A,35571831-35471590,197,USD,177.3,USD,ACH,2022-03-31 04:05:37 +00,Delivered,1Z527Y0Y9058821150,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,Essentials Pullover,L,N/A,35666665-35566424,147,USD,130.83,USD,ACH,2022-04-02 09:43:15 +00,Delivered,1Z527Y0Y9063968402,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,Essentials Pullover,L,N/A,35668298-35568057,147,USD,130.83,USD,ACH,2022-04-02 11:39:35 +00,Delivered,1Z527Y0Y9071003625,""
Fear of God Essentials Pullover Hoodie Applique Logo Buttercream,Essentials Pullover,XS,N/A,35657597-35557356,179,USD,159.31,USD,ACH,2022-04-02 01:58:09 +00,Delivered,1Z527Y0Y9047839466,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,Essentials Pullover,L,N/A,35638408-35538167,149,USD,132.61,USD,ACH,2022-04-01 16:53:44 +00,Delivered,1Z527Y0Y9088566184,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,Essentials Pullover,L,N/A,35744975-35644734,147,USD,130.83,USD,ACH,2022-04-04 13:39:45 +00,Delivered,1Z527Y0Y9073109142,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,Essentials Pullover,L,N/A,35710915-35610674,147,USD,130.83,USD,ACH,2022-04-03 16:13:31 +00,Delivered,1Z527Y0Y9045929354,""
Fear of God Essentials Pullover Hoodie Applique Logo Cement,Essentials Pullover,M,N/A,35611295-35511054,197,USD,175.33,USD,ACH,2022-04-01 00:59:09 +00,Delivered,1Z527Y0Y9081108744,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,Essentials Pullover,L,N/A,35624000-35523759,149,USD,132.61,USD,ACH,2022-04-01 09:46:03 +00,Delivered,1Z527Y0Y9065977514,""
Fear of God Essentials Core Collection Pullover Hoodie String/Tan,Essentials Core Collection,XS,N/A,35704375-35604134,108,USD,96.12,USD,ACH,2022-04-03 11:13:48 +00,Delivered,1Z527Y0Y9049208232,""
