Item,Sku Name,Sku Size,Style,Order Number,Price,Price Currency,Final Payout Amount,Final Payout Currency,Payout Method,Sale Date,Status,Seller Tracking Number,Payout ID
Jordan 5 Retro Dark Concord,Dark Concord,8.5,DD0587-141,46243015-46142774,169,USD,149.57,USD,ACH,2022-12-26 23:09:27 +00,In Transit,1Z45057R9023580996,""
Puma LaMelo Ball MB.01 Galaxy,Galaxy,10,376677-07,46222596-46122355,153,USD,135.41,USD,ACH,2022-12-26 14:38:55 +00,In Transit,1Z45057R9023580996,""
Jordan 4 Retro Infrared (GS),Infrared (GS),5Y,408452-061,46197974-46097733,222,USD,196.47,USD,ACH,2022-12-25 22:46:51 +00,In Transit,1Z45057R9019629924,""
Nike Dunk Low Championship Goldenrod (2021),Championship Goldenrod (2021),9.5,DD1391-004,46220360-46120119,142,USD,125.67,USD,ACH,2022-12-26 12:48:19 +00,In Transit,1Z45057R9023580996,""
Nike Dunk Low Ivory Hyper Royal (GS),Ivory Hyper Royal (GS),5.5Y,FB1843-141,46256567-46156326,140,USD,123.9,USD,ACH,2022-12-27 05:43:34 +00,In Transit,1Z45057R9023580996,""
Converse Chuck Taylor All Star Lift Hi White Red (Women's),White Red (Women's),7.5W,A01599C,46229572-46129331,270,USD,238.95,USD,ACH,2022-12-26 18:02:09 +00,In Transit,1Z45057R9023580996,""
Jordan 1 Mid Light Smoke Grey Anthracite,Light Smoke Grey Anthracite,10,554724-078,46164971-46064730,144,USD,127.44,USD,ACH,2022-12-25 07:08:16 +00,In Transit,1Z45057R9019629924,""
Jordan 1 Retro High OG Bleached Coral,Bleached Coral,9.5,555088-108,46191518-46091277,257,USD,227.45,USD,ACH,2022-12-25 20:35:31 +00,In Transit,1Z45057R9019629924,""
Puma LaMelo Ball MB.01 Galaxy,Galaxy,10,376677-07,46166555-46066314,153,USD,135.41,USD,ACH,2022-12-25 08:53:15 +00,In Transit,1Z45057R9019629924,""
Nike Dunk Low Teal Zeal (Women's),Teal Zeal (Women's),9W,DV2190-100,46151485-46051244,137,USD,121.25,USD,ACH,2022-12-24 22:42:39 +00,In Transit,1Z45057R9019629924,""
