,Breed,Classification,obey,reps_lower,reps_upper,Country of Origin,Fur Color,Height,Color of Eyes,Longevity (yrs),bladder stones,cancer,ear infections,eye issues,elbow dysplasia,eye problems,dental problems,respiratory issues,heart conditions,diabetes,hip dysplasia,pancreatitis,intervertebral disc disease,obesity,epilepsy,hereditary myopathy,breathing problems,skin allergies,kind,intelligent,strong,gentle,athletic,charming,calm,brave,curious,trainable,independent,good-natured,hypoallergenic,energetic,playful,affectionate,active,social,loyal,confident,patient,sensitive,friendly,protective
22,chesapeake bay retriever,Above Average,70,16,25,United States,"Brown, Tan",23.5,Brown,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
23,yorkshire terrier,Above Average,70,16,25,England,Blue & Tan,7.5,Brown,13.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
24,giant schnauzer,Above Average,70,16,25,Germany,"Black, Salt & Pepper",26.5,Brown,11.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
25,border terrier,Above Average,70,16,25,England,"Red, Wheaten, Black",13.0,Brown,14.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
26,welsh springer spaniel,Above Average,70,16,25,Wales,"Liver, White",22.5,Brown,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
27,samoyed,Above Average,70,16,25,Russia,White,22.0,Brown,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
28,field spaniel,Above Average,70,16,25,England,"Black, Liver",16.5,Brown,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
29,newfoundland,Above Average,70,16,25,Canada,"Black, Brown, Grey",27.0,Brown,10.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
30,australian terrier,Above Average,70,16,25,Australia,"Red, Black & Tan",10.5,Brown,13.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
31,gordon setter,Above Average,70,16,25,Scotland,"Black, Tan",25.0,Brown,13.5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
32,cairn terrier,Above Average,70,16,25,Scotland,"Black, Wheaten, Red",11.0,Brown,13.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
33,kerry blue terrier,Above Average,70,16,25,Ireland,Blue,18.0,Brown,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
34,irish setter,Above Average,70,16,25,Ireland,Red,26.0,Brown,13.5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
