,artistName,segment
291,Tyler James Williams,Previously Active Listeners
292,Nelly Furtado,Light listeners
293,B.o.B,Previously Active Listeners
294,Strafend,Previously Active Listeners
295,Ruff Loaderz,Previously Active Listeners
296,Skegss,Previously Active Listeners
297,Fleetwood Mac,Light listeners
298,Cody Fry,Previously Active Listeners
299,Big Sean,Light listeners
300,Olly Murs,Previously Active Listeners
301,Jeff Lewis,Previously Active Listeners
302,Mac DeMarco,Previously Active Listeners
303,James Arthur,Previously Active Listeners
304,Fifth Harmony,Previously Active Listeners
305,Chris Brown,Previously Active Listeners
306,George Michael,Previously Active Listeners
307,Céline Dion,Previously Active Listeners
308,Djo,Moderate listeners
309,San Cisco,Previously Active Listeners
310,Kid Cudi,Previously Active Listeners
311,Ayparia,Previously Active Listeners
312,The National,Moderate listeners
313,Kero Kero Bonito,Previously Active Listeners
314,kazeWIW,Previously Active Listeners
315,BØRNS,Previously Active Listeners
316,Princess Nokia,Previously Active Listeners
317,Hotel Ugly,Previously Active Listeners
318,SIX,Previously Active Listeners
319,DaBaby,Light listeners
320,Calvin Harris,Light listeners
321,Adele,Light listeners
322,The Temptations,Previously Active Listeners
323,Musical Youth,Previously Active Listeners
324,Conor Oberst,Super Listeners
325,Kim Petras,Previously Active Listeners
326,The Ronettes,Light listeners
327,Demi Lovato,Previously Active Listeners
328,Playboi Carti,Moderate listeners
329,Ms. Lauryn Hill,Previously Active Listeners
330,Marian Carmel,Previously Active Listeners
331,Lil Pump,Previously Active Listeners
332,Bo Burnham,Previously Active Listeners
333,Jean Dawson,Previously Active Listeners
334,Dent May,Previously Active Listeners
335,Tre' Amani,Moderate listeners
336,lovelytheband,Previously Active Listeners
337,ati2x06,Previously Active Listeners
338,Echosmith,Previously Active Listeners
339,M.I.A.,Light listeners
340,Sia,Previously Active Listeners
341,Yoko Ono,Previously Active Listeners
342,Beyoncé,Moderate listeners
343,Camila Cabello,Previously Active Listeners
344,Rich The Kid,Moderate listeners
345,Kids That Fly,Previously Active Listeners
346,Charlie Puth,Previously Active Listeners
347,Tom Petty and the Heartbreakers,Previously Active Listeners
348,Anderson .Paak,Previously Active Listeners
349,High School Musical Cast,Previously Active Listeners
350,Regina Spektor,Super Listeners
351,Isabel LaRosa,Previously Active Listeners
352,BROCKHAMPTON,Light listeners
353,Big Time Rush,Previously Active Listeners
354,Melanie Martinez,Light listeners
355,StarBoi3,Previously Active Listeners
356,Sofia Carson,Previously Active Listeners
357,Omar Apollo,Moderate listeners
358,Kyuuwaii,Previously Active Listeners
359,d4vd,Moderate listeners
360,Atiyeh Instrumental,Previously Active Listeners
361,Anna Kendrick,Previously Active Listeners
362,Sasha Alex Sloan,Previously Active Listeners
363,Tarro,Previously Active Listeners
364,OFFICIAL HIGE DANDISM,Previously Active Listeners
365,THE DRIVER ERA,Previously Active Listeners
366,Bootsy Collins,Previously Active Listeners
367,SZA,Super Listeners
368,Soul Dot,Previously Active Listeners
369,Dove Cameron,Previously Active Listeners
370,Bon Iver,Light listeners
371,Dean Lewis,Previously Active Listeners
372,NCT 127,Previously Active Listeners
373,Bren Joy,Previously Active Listeners
374,Joy Again,Light listeners
375,Hozier,Super Listeners
376,PARTYNEXTDOOR,Previously Active Listeners
377,Coldplay,Moderate listeners
378,kazeWIW,Previously Active Listeners
379,Wabie,Previously Active Listeners
380,Brandy,Light listeners
381,The Hadar Ensemble,Previously Active Listeners
382,Destiny's Child,Light listeners
383,Dreaming Piano,Previously Active Listeners
384,Jeff Buckley,Super Listeners
385,Matt Maltese,Previously Active Listeners
386,Paperboy Fabe,Light listeners
387,Paul Simon,Previously Active Listeners
388,Julia Michaels,Moderate listeners
389,Dave,Previously Active Listeners
390,New West,Light listeners
391,070 Shake,Previously Active Listeners
392,Brent Faiyaz,Super Listeners
393,Dawn Golden,Previously Active Listeners
394,Jorja Smith,Moderate listeners
395,Metro Boomin,Previously Active Listeners
396,The Lumineers,Light listeners
397,Maroon 5,Previously Active Listeners
398,The Wanted,Previously Active Listeners
399,Amy Winehouse,Previously Active Listeners
400,mikeeysmind,Light listeners
401,Bill Medley,Previously Active Listeners
402,Dylan Playfair,Previously Active Listeners
403,Iggy Azalea,Previously Active Listeners
404,Makourik,Previously Active Listeners
405,Lizzy McAlpine,Light listeners
406,Max Romeo,Previously Active Listeners
407,Gracie Abrams,Previously Active Listeners
408,fast forward >>,Previously Active Listeners
409,Hudson Mohawke,Previously Active Listeners
410,4batz,Super Listeners
411,Sixpence None The Richer,Light listeners
412,Denzel Curry,Previously Active Listeners
413,PLVTINUM,Previously Active Listeners
414,Tom Waits,Light listeners
415,Montell Fish,Light listeners
416,The Living Tombstone,Previously Active Listeners
417,Jessie Mueller,Previously Active Listeners
418,Miriam Margles,Previously Active Listeners
419,Ty Dolla $ign,Super Listeners
420,Macklemore,Previously Active Listeners
421,Powfu,Previously Active Listeners
422,Taio Cruz,Light listeners
423,unxbected,Previously Active Listeners
424,Tommy Lefroy,Previously Active Listeners
425,Mark Ronson,Light listeners
426,Zedd,Light listeners
427,Glee Cast,Moderate listeners
428,Hayley Kiyoko,Previously Active Listeners
429,Declan McKenna,Previously Active Listeners
430,Britney Spears,Previously Active Listeners
431,Lemonade Mouth,Previously Active Listeners
432,Ice Spice,Previously Active Listeners
433,V. Larkin Keys,Previously Active Listeners
434,Zach Templar,Light listeners
435,Vansire,Previously Active Listeners
436,Monica,Light listeners
437,Daniel Watman,Previously Active Listeners
438,ABBA,Light listeners
439,BENEE,Previously Active Listeners
440,Mac Miller,Moderate listeners
441,Cast of High School Musical: The Musical: The Series,Light listeners
442,Kimiko Glenn,Previously Active Listeners
443,Lana Del Rey,Super Listeners
444,J. Cole,Moderate listeners
445,Halsey,Light listeners
446,Various Artists,Super Listeners
447,MARINA,Light listeners
448,beabadoobee,Super Listeners
449,WILLOW,Light listeners
450,love-sadKID,Previously Active Listeners
451,Rivera Piano,Previously Active Listeners
452,Air Supply,Previously Active Listeners
453,Kid Cadaver,Previously Active Listeners
454,Mitski,Super Listeners
455,The Goo Goo Dolls,Moderate listeners
456,Liam Payne,Previously Active Listeners
457,Wheatus,Previously Active Listeners
458,Lord Huron,Light listeners
459,Yeat,Super Listeners
460,Father John Misty,Moderate listeners
461,Booboo Stewart,Previously Active Listeners
462,Liilz,Previously Active Listeners
463,Zappy,Previously Active Listeners
464,Lorde,Previously Active Listeners
465,Family of the Year,Moderate listeners
466,Mandy Moore,Previously Active Listeners
467,Childish Gambino,Moderate listeners
468,The Weeknd,Moderate listeners
469,NCT DREAM,Previously Active Listeners
470,Phoebe Bridgers,Super Listeners
471,Bryson Tiller,Super Listeners
472,P!nk,Previously Active Listeners
473,Kendrick Lamar,Moderate listeners
474,Steve Aoki,Previously Active Listeners
475,The Moss,Light listeners
476,Majid Jordan,Light listeners
477,TLC,Light listeners
478,Lady Gaga,Previously Active Listeners
479,Macklemore & Ryan Lewis,Previously Active Listeners
480,Sheck Wes,Light listeners
481,Summer Walker,Light listeners
482,21 Savage,Moderate listeners
483,Peach Pit,Light listeners
484,Jai Wolf,Previously Active Listeners
485,Bad Meets Evil,Previously Active Listeners
486,Dahm.,Previously Active Listeners
487,Dayglow,Light listeners
488,Flo Milli,Light listeners
489,Niall Horan,Moderate listeners
490,Zendaya,Previously Active Listeners
491,Lady A,Light listeners
492,JP Saxe,Previously Active Listeners
493,The Japanese House,Moderate listeners
494,Fana Hues,Moderate listeners
495,Kesha,Light listeners
496,Tunaflex,Previously Active Listeners
497,Jay Park,Previously Active Listeners
498,PinkPantheress,Moderate listeners
499,NCT U,Previously Active Listeners
500,Eminem,Previously Active Listeners
501,RIDERS,Previously Active Listeners
502,Jackson Wang,Previously Active Listeners
503,Wham!,Previously Active Listeners
504,Rick Springfield,Light listeners
505,Bastille,Previously Active Listeners
506,Malcolm Todd,Light listeners
507,HARBOUR,Previously Active Listeners
508,Tone-Loc,Previously Active Listeners
509,Lil Uzi Vert,Light listeners
510,Alec Benjamin,Previously Active Listeners
511,Madison Beer,Light listeners
512,Alessia Cara,Previously Active Listeners
513,Train,Previously Active Listeners
514,Charlie Burg,Moderate listeners
515,Landon Sears,Previously Active Listeners
516,Farah Atiyeh,Previously Active Listeners
517,Russ,Light listeners
518,Sky Rompiendo,Previously Active Listeners
519,Gesaffelstein,Previously Active Listeners
520,Funk Wav,Light listeners
521,The Smashing Pumpkins,Previously Active Listeners
522,The Avett Brothers,Super Listeners
523,The Cranberries,Moderate listeners
524,Katy Perry,Previously Active Listeners
525,Taylor Swift,Super Listeners
526,Michael Jackson,Previously Active Listeners
527,Lewis Capaldi,Previously Active Listeners
528,fun.,Previously Active Listeners
529,Ariana Grande,Super Listeners
530,Far East Movement,Previously Active Listeners
531,James Horner,Previously Active Listeners
532,Beirut,Previously Active Listeners
533,Syd,Previously Active Listeners
534,Marcia Griffiths,Light listeners
535,Miguel,Moderate listeners
536,The Neptunes,Light listeners
537,The Cardigans,Moderate listeners
538,Kenny Beats,Previously Active Listeners
539,Natasha Bedingfield,Light listeners
540,benny blanco,Light listeners
541,The Strokes,Moderate listeners
542,Sir Chloe,Moderate listeners
543,The Dreamer,Previously Active Listeners
544,Sean Kingston,Previously Active Listeners
545,Howard Jones,Light listeners
546,Michael Cera,Moderate listeners
547,JAY-Z,Previously Active Listeners
548,Alesso,Previously Active Listeners
549,Nicki Minaj,Light listeners
550,Kanye West,Super Listeners
