,year,style,gender,main_singers,language,key,BPM,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,final_place,semi_place,semi_draw_position,final_draw_position,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,country,backing_dancers,backing_singers,backing_instruments
286,2014.0,2.0,2.0,1.0,1.0,10.0,70.0,63.0,45.0,20.0,28.0,95.0,20.0,3.0,4.0,121.0,1.0,7.0,113.0,187.0,26.0,19.0,31.0,0.0,0.0,0.0
289,2014.0,2.0,1.0,1.0,1.0,11.0,122.0,49.0,58.0,26.0,40.0,0.0,8.0,4.0,3.0,131.0,4.0,13.0,199.0,173.0,32.0,25.0,12.0,0.0,0.0,0.0
290,2014.0,4.0,2.0,3.0,1.0,3.0,108.0,93.0,71.0,76.0,11.0,0.0,26.0,9.0,15.0,61.0,5.0,4.0,59.0,38.0,9.0,9.0,2.0,0.0,2.0,1.0
292,2014.0,1.0,1.0,2.0,1.0,6.0,120.0,87.0,63.0,71.0,22.0,0.0,10.0,3.0,7.0,63.0,7.0,15.0,62.0,132.0,18.0,11.0,37.0,0.0,0.0,0.0
293,2014.0,2.0,1.0,1.0,1.0,2.0,85.0,32.0,30.0,31.0,83.0,0.0,18.0,3.0,22.0,57.0,8.0,3.0,101.0,14.0,3.0,22.0,6.0,1.0,0.0,0.0
294,2014.0,1.0,1.0,1.0,1.0,17.0,125.0,90.0,70.0,73.0,1.0,0.0,6.0,4.0,6.0,118.0,9.0,1.0,72.0,112.0,19.0,14.0,36.0,1.0,0.0,0.0
300,2014.0,2.0,2.0,1.0,14.0,10.0,53.0,58.0,19.0,23.0,32.0,0.0,11.0,4.0,19.0,63.0,15.0,8.0,48.0,27.0,3.0,9.0,39.0,1.0,3.0,0.0
304,2014.0,2.0,2.0,1.0,1.0,14.0,75.0,20.0,35.0,24.0,86.0,0.0,10.0,4.0,8.0,77.0,3.0,5.0,102.0,39.0,13.0,18.0,10.0,0.0,0.0,1.0
306,2014.0,5.0,1.0,1.0,28.0,3.0,156.0,85.0,68.0,68.0,26.0,0.0,38.0,10.0,14.0,70.0,5.0,9.0,23.0,162.0,23.0,6.0,30.0,5.0,0.0,0.0
307,2014.0,2.0,2.0,1.0,1.0,4.0,82.0,45.0,43.0,21.0,8.0,0.0,13.0,3.0,1.0,169.0,6.0,11.0,214.0,306.0,34.0,26.0,32.0,0.0,0.0,0.0
309,2014.0,4.0,2.0,1.0,1.0,1.0,146.0,88.0,56.0,37.0,0.0,0.0,25.0,6.0,11.0,97.0,8.0,18.0,114.0,36.0,7.0,19.0,8.0,0.0,0.0,4.0
311,2014.0,1.0,2.0,1.0,1.0,20.0,95.0,80.0,80.0,89.0,18.0,0.0,7.0,7.0,16.0,87.0,10.0,2.0,50.0,56.0,10.0,9.0,29.0,0.0,4.0,0.0
313,2014.0,1.0,2.0,1.0,1.0,6.0,88.0,89.0,57.0,92.0,14.0,0.0,10.0,7.0,13.0,92.0,12.0,20.0,26.0,114.0,29.0,5.0,21.0,0.0,0.0,5.0
314,2014.0,3.0,2.0,2.0,1.0,10.0,128.0,82.0,67.0,65.0,4.0,0.0,39.0,6.0,20.0,74.0,13.0,10.0,45.0,41.0,11.0,11.0,11.0,0.0,0.0,1.0
315,2014.0,1.0,1.0,1.0,29.0,13.0,120.0,63.0,54.0,25.0,2.0,0.0,22.0,3.0,25.0,52.0,14.0,17.0,21.0,15.0,2.0,7.0,20.0,0.0,3.0,0.0
316,2014.0,3.0,3.0,2.0,1.0,14.0,135.0,87.0,55.0,35.0,2.0,0.0,18.0,4.0,12.0,125.0,15.0,6.0,51.0,103.0,16.0,9.0,25.0,0.0,0.0,0.0
318,2014.0,3.0,2.0,1.0,3.0,16.0,128.0,89.0,66.0,79.0,0.0,0.0,9.0,4.0,26.0,0.0,0.0,14.0,5.0,1.0,1.0,2.0,19.0,2.0,1.0,2.0
320,2014.0,2.0,1.0,1.0,31.0,1.0,130.0,67.0,60.0,42.0,68.0,0.0,10.0,4.0,10.0,0.0,0.0,19.0,83.0,29.0,7.0,21.0,14.0,0.0,0.0,0.0
321,2014.0,1.0,2.0,1.0,1.0,13.0,112.0,84.0,78.0,71.0,5.0,0.0,5.0,6.0,9.0,0.0,0.0,23.0,85.0,42.0,12.0,16.0,13.0,2.0,3.0,0.0
