,year,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,gender,main_singers,key,BPM,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,speechiness,qualified,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points,semi_place,semi_total_points,backing_dancers,backing_singers,backing_instruments
32,2022,16,16,Belgium,Jeremie Makiese,Miss You,English,Pop,Male,1,Fs Minor,144,53,63,28,-6 dB,24,0,13,5,1,5,59,2,13,19,64,8,151,4,0,0
33,2022,17,20,Sweden,Cornelia Jakobs,Hold Me Closer,English,Ballad,Female,1,Fs Major,97,62,49,17,-8 dB,11,0,14,4,1,180,258,33,33,4,438,1,396,0,0,0
34,2022,18,1,Czech Republic,We Are Domi,Lights Off,English,Dance,Female,1,A Minor,126,79,59,52,-6 dB,15,0,21,11,1,5,33,1,11,22,38,4,227,0,0,2
35,2022,-,9,Italy,MahmoodÂ andÂ Blanco,Brividi,Italian,Ballad,Male,2,G Major,123,61,52,34,-4 dB,45,0,25,3,-,110,158,23,26,6,268,-,-,0,0,1
36,2022,-,10,Spain,Chanel,SloMo,"Spanish,English",Pop,Female,1,Cs Minor,105,81,73,59,-3 dB,13,0,9,6,-,228,231,38,34,3,459,-,-,5,0,0
37,2022,-,13,Germany,Malik Harris,Rockstars,English,Ballad,Male,1,G Major,81,64,65,52,-6 dB,45,0,38,23,-,6,0,3,0,25,6,-,-,0,0,0
38,2022,-,22,United Kingdom,Sam Ryder,Space Man,English,Pop,Male,1,B Major,80,83,47,33,-2 dB,18,0,10,5,-,183,283,34,35,2,466,-,-,0,0,2
39,2022,-,6,France,AlvanÂ andÂ Ahez,Fulenn,Breton,Traditional,Mix,4,Fs Major,120,84,74,48,-7 dB,1,0,24,12,-,8,9,6,3,24,17,-,-,1,0,0
40,2021,1,18,Lithuania,The Roop,Discoteque,English,Dance,Male,1,F Major,115,80,83,63,-6 dB,5,0,13,6,1,165,55,27,12,8,220,4,203,2,2,2
41,2021,2,-,Slovenia,Ana Soklic,Amen,English,Ballad,Female,1,Ab Minor,81,40,45,21,-10 dB,48,0,15,5,0,-,-,-,-,-,-,13,44,0,0,0
42,2021,3,5,Russia,Manizha,Russian Woman,"Russian,English",Traditional,Female,1,E Minor,102,70,89,65,-7 dB,20,0,7,19,1,100,104,22,21,9,204,3,225,0,4,0
43,2021,4,25,Sweden,Tusse,Voices,English,Pop,Male,1,Bb Minor,90,76,50,40,-5 dB,0,0,13,4,1,63,46,18,10,14,109,7,142,4,0,0
44,2021,5,-,Australia,Montaigne,Technicolour,English,Pop,Female,1,A Minor,119,57,67,27,-6 dB,7,0,27,3,0,-,-,-,-,-,-,14,28,3,0,0
45,2021,6,-,North Macedonia,Vasil,Here I Stand,English,Ballad,Male,1,G Major,138,20,32,13,-11 dB,51,0,32,4,0,-,-,-,-,-,-,15,23,0,0,0
46,2021,7,-,Ireland,Lesley Roy,Maps,English,Pop,Female,1,G Major,143,83,54,55,-7 dB,2,0,36,4,0,-,-,-,-,-,-,16,20,0,0,0
47,2021,8,1,Cyprus,Elena Tsagrinou,El Diablo,English,Pop,Female,1,A Minor,114,66,66,62,-8 dB,0,0,84,13,1,44,50,7,11,16,94,6,170,4,0,0
48,2021,9,22,Norway,Tix,Fallen Angel,English,Pop,Male,1,Cs Major,93,65,54,28,-5 dB,7,0,11,3,1,60,15,16,5,18,75,10,115,4,0,0
