"","State","Year","Month","Number_of_Deaths","Number_of_OD_Deaths"
"1363","LA",2016,"April",43610,893
"1364","LA",2016,"August",43939,979
"1365","LA",2016,"December",44411,1004
"1366","LA",2016,"February",43428,901
"1367","LA",2016,"January",43495,890
"1368","LA",2016,"July",43742,962
"1369","LA",2016,"June",43768,941
"1370","LA",2016,"March",43445,894
"1371","LA",2016,"May",43743,899
"1372","LA",2016,"November",44340,1012
"1373","LA",2016,"October",44225,1021
"1374","LA",2016,"September",44033,997
"1375","LA",2017,"April",44836,1036
"1376","LA",2017,"August",45031,1020
"1377","LA",2017,"December",45953,1102
"1378","LA",2017,"February",44597,1010
"1379","LA",2017,"January",44579,1015
"1380","LA",2017,"July",44995,1007
"1381","LA",2017,"June",44976,1016
"1382","LA",2017,"March",44769,1020
"1383","LA",2017,"May",44913,1030
"1384","LA",2017,"November",45331,1059
"1385","LA",2017,"October",45068,1015
"1386","LA",2017,"September",45019,1014
"1387","LA",2018,"April",46537,1174
"1388","LA",2018,"August",46724,1202
"1389","LA",2018,"December",46187,1167
"1390","LA",2018,"February",46894,1136
"1391","LA",2018,"January",46781,1113
"1392","LA",2018,"July",46715,1210
"1393","LA",2018,"June",46680,1212
"1394","LA",2018,"March",46599,1167
"1395","LA",2018,"May",46619,1203
"1396","LA",2018,"November",46500,1193
"1397","LA",2018,"October",46567,1212
"1398","LA",2018,"September",46735,1210
"1399","LA",2019,"April",45738,1125
"1400","LA",2019,"August",45793,1161
"1401","LA",2019,"December",46105,1304
"1402","LA",2019,"February",45446,1156
"1403","LA",2019,"January",45463,1162
"1404","LA",2019,"July",45743,1122
"1405","LA",2019,"June",45744,1115
"1406","LA",2019,"March",45754,1128
"1407","LA",2019,"May",45636,1126
"1408","LA",2019,"November",46089,1278
"1409","LA",2019,"October",45952,1244
"1410","LA",2019,"September",45785,1185
"1411","LA",2020,"April",49191,1463
"1412","LA",2020,"August",53543,1772
"1413","LA",2020,"December",56828,1929
"1414","LA",2020,"February",46467,1341
"1415","LA",2020,"January",46213,1330
"1416","LA",2020,"July",52124,1722
"1417","LA",2020,"June",50789,1641
"1418","LA",2020,"March",47133,1388
"1419","LA",2020,"May",50221,1562
"1420","LA",2020,"November",55598,1850
"1421","LA",2020,"October",55006,1830
"1422","LA",2020,"September",54385,1823
"1423","LA",2021,"February",59126,2096
"1424","LA",2021,"January",58515,2022
"1425","LA",2021,"March",58912,2168
"1426","MA",2015,"April",58197,1376
"1427","MA",2015,"August",58790,1494
"1428","MA",2015,"December",58761,1723
"1429","MA",2015,"February",57676,1288
"1430","MA",2015,"January",57044,1296
"1431","MA",2015,"July",58729,1453
"1432","MA",2015,"June",58523,1408
"1433","MA",2015,"March",58056,1331
"1434","MA",2015,"May",58356,1395
"1435","MA",2015,"November",59104,1702
"1436","MA",2015,"October",59151,1623
"1437","MA",2015,"September",58924,1549
"1438","MA",2016,"April",57077,1889
"1439","MA",2016,"August",56981,2089
"1440","MA",2016,"December",57861,2198
"1441","MA",2016,"February",57469,1788
"1442","MA",2016,"January",57874,1738
"1443","MA",2016,"July",56793,2073
"1444","MA",2016,"June",56937,2001
"1445","MA",2016,"March",57250,1812
"1446","MA",2016,"May",56934,1932
"1447","MA",2016,"November",57362,2157
"1448","MA",2016,"October",57073,2143
"1449","MA",2016,"September",57129,2131
"1450","MA",2017,"April",59087,2168
"1451","MA",2017,"August",59589,2104
"1452","MA",2017,"December",59727,2138
"1453","MA",2017,"February",58797,2206
"1454","MA",2017,"January",58454,2224
"1455","MA",2017,"July",59435,2078
"1456","MA",2017,"June",59166,2105
"1457","MA",2017,"March",58965,2203
"1458","MA",2017,"May",59072,2143
"1459","MA",2017,"November",59559,2102
"1460","MA",2017,"October",59624,2093
"1461","MA",2017,"September",59535,2106
"1462","MA",2018,"April",59638,2166
"1463","MA",2018,"August",59746,2308
"1464","MA",2018,"December",60038,2238
"1465","MA",2018,"February",59852,2167
"1466","MA",2018,"January",60028,2160
"1467","MA",2018,"July",59917,2321
"1468","MA",2018,"June",59893,2289
"1469","MA",2018,"March",59770,2161
"1470","MA",2018,"May",59857,2227
"1471","MA",2018,"November",59976,2245
"1472","MA",2018,"October",60021,2254
"1473","MA",2018,"September",59927,2272
"1474","MA",2019,"April",59735,2217
"1475","MA",2019,"August",59579,2150
"1476","MA",2019,"December",59607,2215
"1477","MA",2019,"February",59671,2198
"1478","MA",2019,"January",59752,2212
"1479","MA",2019,"July",59496,2153
"1480","MA",2019,"June",59481,2170
"1481","MA",2019,"March",59658,2220
"1482","MA",2019,"May",59528,2190
"1483","MA",2019,"November",59637,2211
"1484","MA",2019,"October",59533,2191
"1485","MA",2019,"September",59557,2153
"1486","MA",2020,"April",64636,2244
"1487","MA",2020,"August",67623,2310
"1488","MA",2020,"December",68931,2296
"1489","MA",2020,"February",59607,2221
"1490","MA",2020,"January",59459,2197
"1491","MA",2020,"July",67760,2321
"1492","MA",2020,"June",67814,2298
"1493","MA",2020,"March",59922,2214
"1494","MA",2020,"May",67594,2284
"1495","MA",2020,"November",67895,2298
"1496","MA",2020,"October",67588,2308
"1497","MA",2020,"September",67594,2314
"1498","MA",2021,"February",70631,2333
"1499","MA",2021,"January",70308,2330
"1500","MA",2021,"March",70296,2377
"1501","MD",2015,"April",46928,1125
"1502","MD",2015,"August",47457,1169
"1503","MD",2015,"December",47162,1320
"1504","MD",2015,"February",46765,1115
"1505","MD",2015,"January",46592,1078
"1506","MD",2015,"July",47386,1146
"1507","MD",2015,"June",47301,1137
"1508","MD",2015,"March",46818,1129
"1509","MD",2015,"May",47095,1137
"1510","MD",2015,"November",47583,1282
"1511","MD",2015,"October",47630,1251
"1512","MD",2015,"September",47485,1212
"1513","MD",2016,"April",46898,1479
"1514","MD",2016,"August",47548,1848
"1515","MD",2016,"December",48668,2074
"1516","MD",2016,"February",46686,1336
"1517","MD",2016,"January",46615,1303
"1518","MD",2016,"July",47315,1758
"1519","MD",2016,"June",47120,1683
"1520","MD",2016,"March",46689,1381
"1521","MD",2016,"May",47054,1580
"1522","MD",2016,"November",48351,1997
"1523","MD",2016,"October",48045,1945
"1524","MD",2016,"September",47868,1907
"1525","MD",2017,"April",49576,2265
"1526","MD",2017,"August",49549,2250
"1527","MD",2017,"December",49670,2284
"1528","MD",2017,"February",49189,2188
"1529","MD",2017,"January",49031,2174
"1530","MD",2017,"July",49530,2259
"1531","MD",2017,"June",49654,2273
"1532","MD",2017,"March",49489,2230
"1533","MD",2017,"May",49556,2267
"1534","MD",2017,"November",49539,2285
"1535","MD",2017,"October",49527,2277
"1536","MD",2017,"September",49583,2262
"1537","MD",2018,"April",49843,2410
"1538","MD",2018,"August",50025,2428
"1539","MD",2018,"December",50272,2393
"1540","MD",2018,"February",49961,2359
"1541","MD",2018,"January",49958,2289
"1542","MD",2018,"July",50056,2432
"1543","MD",2018,"June",49852,2438
"1544","MD",2018,"March",49921,2397
"1545","MD",2018,"May",49815,2425
"1546","MD",2018,"November",50144,2412
"1547","MD",2018,"October",50076,2413
"1548","MD",2018,"September",49934,2420
"1549","MD",2019,"April",50195,2324
"1550","MD",2019,"August",50400,2328
"1551","MD",2019,"December",50486,2360
"1552","MD",2019,"February",49761,2353
"1553","MD",2019,"January",49915,2392
"1554","MD",2019,"July",50333,2284
"1555","MD",2019,"June",50365,2261
"1556","MD",2019,"March",50021,2341
"1557","MD",2019,"May",50337,2289
"1558","MD",2019,"November",50628,2374
"1559","MD",2019,"October",50453,2355
"1560","MD",2019,"September",50448,2341
"1561","MD",2020,"April",52530,2373
"1562","MD",2020,"August",56312,2556
"1563","MD",2020,"December",59644,2761
"1564","MD",2020,"February",50614,2360
"1565","MD",2020,"January",50444,2334
"1566","MD",2020,"July",55755,2526
"1567","MD",2020,"June",55223,2491
"1568","MD",2020,"March",50701,2381
"1569","MD",2020,"May",54496,2450
"1570","MD",2020,"November",57977,2725
"1571","MD",2020,"October",57379,2698
"1572","MD",2020,"September",56856,2612
"1573","MD",2021,"February",61890,2828
"1574","MD",2021,"January",61215,2832
"1575","MD",2021,"March",62147,2826
"1576","ME",2015,"April",13993,243
"1577","ME",2015,"August",14179,245
"1578","ME",2015,"December",14324,267
"1579","ME",2015,"February",13845,218
"1580","ME",2015,"January",13627,213
"1581","ME",2015,"July",14052,253
"1582","ME",2015,"June",14016,238
"1583","ME",2015,"March",13901,230
"1584","ME",2015,"May",14023,239
"1585","ME",2015,"November",14367,271
"1586","ME",2015,"October",14368,265
"1587","ME",2015,"September",14296,258
"1588","ME",2016,"April",13868,290
"1589","ME",2016,"August",14005,345
"1590","ME",2016,"December",14069,357
"1591","ME",2016,"February",13952,271
"1592","ME",2016,"January",14129,270
"1593","ME",2016,"July",14044,334
"1594","ME",2016,"June",14059,327
"1595","ME",2016,"March",13897,279
"1596","ME",2016,"May",13964,303
"1597","ME",2016,"November",13983,341
"1598","ME",2016,"October",13923,337
"1599","ME",2016,"September",13937,342
"1600","ME",2017,"April",14445,375
"1601","ME",2017,"August",14391,362
"1602","ME",2017,"December",14513,409
"1603","ME",2017,"February",14224,366
"1604","ME",2017,"January",14136,368
"1605","ME",2017,"July",14325,355
"1606","ME",2017,"June",14362,356
"1607","ME",2017,"March",14326,368
"1608","ME",2017,"May",14342,369
"1609","ME",2017,"November",14491,396
"1610","ME",2017,"October",14467,394
"1611","ME",2017,"September",14479,376
"1612","ME",2018,"April",14507,404
"1613","ME",2018,"August",14471,402
"1614","ME",2018,"December",14548,338
"1615","ME",2018,"February",14640,411
"1616","ME",2018,"January",14604,408
"1617","ME",2018,"July",14488,404
"1618","ME",2018,"June",14440,404
"1619","ME",2018,"March",14551,410
"1620","ME",2018,"May",14473,402
"1621","ME",2018,"November",14555,367
"1622","ME",2018,"October",14531,370
"1623","ME",2018,"September",14465,385
"1624","ME",2019,"April",14709,310
"1625","ME",2019,"August",14893,330
"1626","ME",2019,"December",14877,362
"1627","ME",2019,"February",14540,330
"1628","ME",2019,"January",14551,324
"1629","ME",2019,"July",14854,322
"1630","ME",2019,"June",14809,328
"1631","ME",2019,"March",14683,318
"1632","ME",2019,"May",14760,319
"1633","ME",2019,"November",14889,356
"1634","ME",2019,"October",14903,358
"1635","ME",2019,"September",14895,334
"1636","ME",2020,"April",14902,425
"1637","ME",2020,"August",15096,454
"1638","ME",2020,"December",15620,490
"1639","ME",2020,"February",14990,401
"1640","ME",2020,"January",14902,390
"1641","ME",2020,"July",15035,456
"1642","ME",2020,"June",14968,444
"1643","ME",2020,"March",14903,420
"1644","ME",2020,"May",14958,437
"1645","ME",2020,"November",15370,467
"1646","ME",2020,"October",15196,449
"1647","ME",2020,"September",15216,462
"1648","ME",2021,"February",15731,503
"1649","ME",2021,"January",15799,502
"1650","ME",2021,"March",15691,518
"1651","MI",2015,"April",94589,1941
"1652","MI",2015,"August",95190,2009
"1653","MI",2015,"December",93920,1973
"1654","MI",2015,"February",93559,1822
"1655","MI",2015,"January",93274,1796
"1656","MI",2015,"July",95051,2017
"1657","MI",2015,"June",94937,2012
"1658","MI",2015,"March",94086,1861
"1659","MI",2015,"May",94659,1986
"1660","MI",2015,"November",94631,1997
"1661","MI",2015,"October",95079,1997
"1662","MI",2015,"September",95072,2006
"1663","MI",2016,"April",93368,1927
"1664","MI",2016,"August",93445,1977
"1665","MI",2016,"December",94840,2342
"1666","MI",2016,"February",93407,1963
"1667","MI",2016,"January",93137,1944
"1668","MI",2016,"July",93394,1950
"1669","MI",2016,"June",93472,1926
"1670","MI",2016,"March",93268,1975
"1671","MI",2016,"May",93535,1927
"1672","MI",2016,"November",94283,2193
"1673","MI",2016,"October",93939,2108
"1674","MI",2016,"September",93753,2013
"1675","MI",2017,"April",96144,2511
"1676","MI",2017,"August",96265,2696
"1677","MI",2017,"December",96266,2665
"1678","MI",2017,"February",95549,2469
"1679","MI",2017,"January",95468,2435
"1680","MI",2017,"July",96246,2630
"1681","MI",2017,"June",96216,2591
"1682","MI",2017,"March",96017,2491
"1683","MI",2017,"May",96114,2547
"1684","MI",2017,"November",96022,2708
"1685","MI",2017,"October",95963,2707
"1686","MI",2017,"September",96087,2725
"1687","MI",2018,"April",97052,2707
"1688","MI",2018,"August",97437,2701
"1689","MI",2018,"December",97545,2575
"1690","MI",2018,"February",97110,2673
"1691","MI",2018,"January",96771,2654
"1692","MI",2018,"July",97350,2734
"1693","MI",2018,"June",97109,2701
"1694","MI",2018,"March",96954,2685
"1695","MI",2018,"May",97021,2672
"1696","MI",2018,"November",97947,2590
"1697","MI",2018,"October",97661,2634
"1698","MI",2018,"September",97528,2667
"1699","MI",2019,"April",95852,2406
"1700","MI",2019,"August",96676,2334
"1701","MI",2019,"December",97756,2358
"1702","MI",2019,"February",96128,2463
"1703","MI",2019,"January",96677,2513
"1704","MI",2019,"July",96522,2376
"1705","MI",2019,"June",96296,2420
"1706","MI",2019,"March",96098,2416
"1707","MI",2019,"May",96136,2460
"1708","MI",2019,"November",97324,2373
"1709","MI",2019,"October",97086,2346
"1710","MI",2019,"September",96883,2338
"1711","MI",2020,"April",104795,2451
"1712","MI",2020,"August",107758,2717
"1713","MI",2020,"December",115487,2750
"1714","MI",2020,"February",98616,2388
"1715","MI",2020,"January",98090,2360
"1716","MI",2020,"July",107014,2672
"1717","MI",2020,"June",106520,2638
"1718","MI",2020,"March",99699,2409
"1719","MI",2020,"May",105960,2538
"1720","MI",2020,"November",112034,2720
"1721","MI",2020,"October",109614,2746
"1722","MI",2020,"September",108461,2721
"1723","MI",2021,"February",117160,2803
"1724","MI",2021,"January",116911,2811
"1725","MI",2021,"March",116390,2850
"1726","MN",2015,"April",42623,541
"1727","MN",2015,"August",43041,563
"1728","MN",2015,"December",42713,592
"1729","MN",2015,"February",42098,523
"1730","MN",2015,"January",41954,530
"1731","MN",2015,"July",42851,549
"1732","MN",2015,"June",42770,544
"1733","MN",2015,"March",42319,529
"1734","MN",2015,"May",42666,550
"1735","MN",2015,"November",43022,588
"1736","MN",2015,"October",43207,586
"1737","MN",2015,"September",43112,574
"1738","MN",2016,"April",42590,627
"1739","MN",2016,"August",42560,649
"1740","MN",2016,"December",43134,664
"1741","MN",2016,"February",42746,631
"1742","MN",2016,"January",42576,607
"1743","MN",2016,"July",42556,645
"1744","MN",2016,"June",42535,649
"1745","MN",2016,"March",42655,626
"1746","MN",2016,"May",42526,631
"1747","MN",2016,"November",42946,654
"1748","MN",2016,"October",42767,638
"1749","MN",2016,"September",42690,647
"1750","MN",2017,"April",43647,668
"1751","MN",2017,"August",43902,698
"1752","MN",2017,"December",44295,728
"1753","MN",2017,"February",43284,652
"1754","MN",2017,"January",43129,655
"1755","MN",2017,"July",43878,686
"1756","MN",2017,"June",43837,685
"1757","MN",2017,"March",43480,664
"1758","MN",2017,"May",43865,676
"1759","MN",2017,"November",44136,729
"1760","MN",2017,"October",43983,727
"1761","MN",2017,"September",43932,720
"1762","MN",2018,"April",44416,698
"1763","MN",2018,"August",44759,670
"1764","MN",2018,"December",44751,639
"1765","MN",2018,"February",44720,719
"1766","MN",2018,"January",44681,718
"1767","MN",2018,"July",44581,687
"1768","MN",2018,"June",44408,677
"1769","MN",2018,"March",44528,713
"1770","MN",2018,"May",44353,690
"1771","MN",2018,"November",44905,641
"1772","MN",2018,"October",44855,644
"1773","MN",2018,"September",44757,644
"1774","MN",2019,"April",44527,675
"1775","MN",2019,"August",45035,741
"1776","MN",2019,"December",45391,788
"1777","MN",2019,"February",44442,658
"1778","MN",2019,"January",44512,665
"1779","MN",2019,"July",44916,721
"1780","MN",2019,"June",44897,708
"1781","MN",2019,"March",44518,650
"1782","MN",2019,"May",44795,690
"1783","MN",2019,"November",45130,769
"1784","MN",2019,"October",45141,767
"1785","MN",2019,"September",45155,753
"1786","MN",2020,"April",46565,858
"1787","MN",2020,"August",48182,976
"1788","MN",2020,"December",52186,1065
"1789","MN",2020,"February",45777,791
"1790","MN",2020,"January",45562,782
"1791","MN",2020,"July",47981,937
"1792","MN",2020,"June",47778,919
"1793","MN",2020,"March",46018,827
"1794","MN",2020,"May",47217,905
"1795","MN",2020,"November",50683,1040
"1796","MN",2020,"October",49060,1015
"1797","MN",2020,"September",48462,994
"1798","MN",2021,"February",52400,1139
"1799","MN",2021,"January",52490,1106
"1800","MN",2021,"March",52218,1177
"1801","MO",2015,"April",61945,1072
"1802","MO",2015,"August",62314,1070
"1803","MO",2015,"December",61995,1087
"1804","MO",2015,"February",61478,1107
"1805","MO",2015,"January",60902,1108
"1806","MO",2015,"July",62257,1103
"1807","MO",2015,"June",62053,1116
"1808","MO",2015,"March",61767,1092
"1809","MO",2015,"May",62138,1093
"1810","MO",2015,"November",62541,1090
"1811","MO",2015,"October",62571,1071
"1812","MO",2015,"September",62510,1081
"1813","MO",2016,"April",61039,1150
"1814","MO",2016,"August",61319,1236
"1815","MO",2016,"December",61888,1386
"1816","MO",2016,"February",61186,1121
"1817","MO",2016,"January",61427,1096
"1818","MO",2016,"July",61118,1192
"1819","MO",2016,"June",61135,1157
"1820","MO",2016,"March",60919,1129
"1821","MO",2016,"May",60964,1147
"1822","MO",2016,"November",61411,1329
"1823","MO",2016,"October",61393,1288
"1824","MO",2016,"September",61271,1247
"1825","MO",2017,"April",63345,1403
"1826","MO",2017,"August",63740,1392
"1827","MO",2017,"December",64202,1398
"1828","MO",2017,"February",63125,1388
"1829","MO",2017,"January",62663,1394
"1830","MO",2017,"July",63679,1395
"1831","MO",2017,"June",63516,1403
"1832","MO",2017,"March",63553,1415
"1833","MO",2017,"May",63485,1403
"1834","MO",2017,"November",64027,1407
"1835","MO",2017,"October",63893,1428
"1836","MO",2017,"September",63926,1421
"1837","MO",2018,"April",65311,1440
"1838","MO",2018,"August",65529,1560
"1839","MO",2018,"December",65507,1635
"1840","MO",2018,"February",64982,1407
"1841","MO",2018,"January",64832,1397
"1842","MO",2018,"July",65354,1524
"1843","MO",2018,"June",65460,1495
"1844","MO",2018,"March",64916,1407
"1845","MO",2018,"May",65417,1455
"1846","MO",2018,"November",65811,1627
"1847","MO",2018,"October",65759,1598
"1848","MO",2018,"September",65587,1566
"1849","MO",2019,"April",63911,1647
"1850","MO",2019,"August",64487,1588
"1851","MO",2019,"December",64777,1603
"1852","MO",2019,"February",64095,1667
"1853","MO",2019,"January",64395,1664
"1854","MO",2019,"July",64563,1579
"1855","MO",2019,"June",64200,1582
"1856","MO",2019,"March",64128,1673
"1857","MO",2019,"May",64070,1635
"1858","MO",2019,"November",64720,1581
"1859","MO",2019,"October",64441,1584
"1860","MO",2019,"September",64565,1596
"1861","MO",2020,"April",66157,1749
"1862","MO",2020,"August",68355,1907
"1863","MO",2020,"December",76268,1915
"1864","MO",2020,"February",65248,1631
"1865","MO",2020,"January",64957,1597
"1866","MO",2020,"July",67408,1918
"1867","MO",2020,"June",66909,1897
"1868","MO",2020,"March",65315,1655
"1869","MO",2020,"May",66632,1834
"1870","MO",2020,"November",73422,1927
"1871","MO",2020,"October",71000,1917
"1872","MO",2020,"September",69362,1900
"1873","MO",2021,"February",78169,1954
"1874","MO",2021,"January",77918,1950
"1875","MO",2021,"March",78183,1980
"1876","MS",2015,"April",30303,322
"1877","MS",2015,"August",31052,348
"1878","MS",2015,"December",31006,333
"1879","MS",2015,"February",29969,302
"1880","MS",2015,"January",29715,302
"1881","MS",2015,"July",30921,343
"1882","MS",2015,"June",30703,329
"1883","MS",2015,"March",30211,307
"1884","MS",2015,"May",30541,328
"1885","MS",2015,"November",31127,325
"1886","MS",2015,"October",31167,331
"1887","MS",2015,"September",31070,337
"1888","MS",2016,"April",30800,322
"1889","MS",2016,"August",30681,313
"1890","MS",2016,"December",31016,332
"1891","MS",2016,"February",30918,335
"1892","MS",2016,"January",31049,338
"1893","MS",2016,"July",30590,319
"1894","MS",2016,"June",30689,320
"1895","MS",2016,"March",30894,334
"1896","MS",2016,"May",30752,323
"1897","MS",2016,"November",30844,334
"1898","MS",2016,"October",30712,336
"1899","MS",2016,"September",30644,327
"1900","MS",2017,"April",31037,334
"1901","MS",2017,"August",30965,315
"1902","MS",2017,"December",31460,329
"1903","MS",2017,"February",30969,323
"1904","MS",2017,"January",30972,329
"1905","MS",2017,"July",31121,327
"1906","MS",2017,"June",31065,331
"1907","MS",2017,"March",31002,327
"1908","MS",2017,"May",30992,329
"1909","MS",2017,"November",31162,330
"1910","MS",2017,"October",31050,319
"1911","MS",2017,"September",31032,318
"1912","MS",2018,"April",32082,314
"1913","MS",2018,"August",32078,325
"1914","MS",2018,"December",31692,290
"1915","MS",2018,"February",32086,337
"1916","MS",2018,"January",32034,324
"1917","MS",2018,"July",31999,308
"1918","MS",2018,"June",32047,307
"1919","MS",2018,"March",31997,327
"1920","MS",2018,"May",32016,313
"1921","MS",2018,"November",32014,299
"1922","MS",2018,"October",32030,308
"1923","MS",2018,"September",32072,315
"1924","MS",2019,"April",31363,290
"1925","MS",2019,"August",31906,330
"1926","MS",2019,"December",32038,365
"1927","MS",2019,"February",31218,273
"1928","MS",2019,"January",31133,288
"1929","MS",2019,"July",31818,333
"1930","MS",2019,"June",31721,325
"1931","MS",2019,"March",31311,285
"1932","MS",2019,"May",31650,303
"1933","MS",2019,"November",31926,347
"1934","MS",2019,"October",31938,342
"1935","MS",2019,"September",31894,335
"1936","MS",2020,"April",32653,420
"1937","MS",2020,"August",35918,491
"1938","MS",2020,"December",39309,532
"1939","MS",2020,"February",32051,397
"1940","MS",2020,"January",32010,379
"1941","MS",2020,"July",34787,462
"1942","MS",2020,"June",33744,451
"1943","MS",2020,"March",32168,399
"1944","MS",2020,"May",33209,442
"1945","MS",2020,"November",37929,522
"1946","MS",2020,"October",37178,509
"1947","MS",2020,"September",36589,497
"1948","MS",2021,"February",41554,582
"1949","MS",2021,"January",40988,555
"1950","MS",2021,"March",41734,605
"1951","MT",2015,"April",9508,126
"1952","MT",2015,"August",9778,121
"1953","MT",2015,"December",9901,131
"1954","MT",2015,"February",9500,125
"1955","MT",2015,"January",9502,121
"1956","MT",2015,"July",9716,128
"1957","MT",2015,"June",9669,132
"1958","MT",2015,"March",9476,129
"1959","MT",2015,"May",9609,135
"1960","MT",2015,"November",9779,128
"1961","MT",2015,"October",9817,126
"1962","MT",2015,"September",9754,125
"1963","MT",2016,"April",9973,128
"1964","MT",2016,"August",9886,130
"1965","MT",2016,"December",9941,114
"1966","MT",2016,"February",9921,120
"1967","MT",2016,"January",9832,126
"1968","MT",2016,"July",9913,127
"1969","MT",2016,"June",9863,121
"1970","MT",2016,"March",9939,125
"1971","MT",2016,"May",9938,123
"1972","MT",2016,"November",9904,120
"1973","MT",2016,"October",9873,120
"1974","MT",2016,"September",9863,123
"1975","MT",2017,"April",10217,125
"1976","MT",2017,"August",10300,117
"1977","MT",2017,"December",10270,118
"1978","MT",2017,"February",10131,131
"1979","MT",2017,"January",10052,119
"1980","MT",2017,"July",10277,119
"1981","MT",2017,"June",10292,124
"1982","MT",2017,"March",10229,128
"1983","MT",2017,"May",10237,127
"1984","MT",2017,"November",10335,115
"1985","MT",2017,"October",10309,123
"1986","MT",2017,"September",10278,119
"1987","MT",2018,"April",10033,97
"1988","MT",2018,"August",9902,109
"1989","MT",2018,"December",9986,117
"1990","MT",2018,"February",10101,105
"1991","MT",2018,"January",10176,114
"1992","MT",2018,"July",9907,105
"1993","MT",2018,"June",9911,107
"1994","MT",2018,"March",10027,99
"1995","MT",2018,"May",9919,97
"1996","MT",2018,"November",10002,116
"1997","MT",2018,"October",9953,112
"1998","MT",2018,"September",9953,112
"1999","MT",2019,"April",10250,129
"2000","MT",2019,"August",10386,138
"2001","MT",2019,"December",10439,139
"2002","MT",2019,"February",10138,123
"2003","MT",2019,"January",10086,120
"2004","MT",2019,"July",10360,133
"2005","MT",2019,"June",10384,123
"2006","MT",2019,"March",10218,124
"2007","MT",2019,"May",10332,126
"2008","MT",2019,"November",10385,140
"2009","MT",2019,"October",10426,134
"2010","MT",2019,"September",10433,137
"2011","MT",2020,"April",10394,151
"2012","MT",2020,"August",10559,142
"2013","MT",2020,"December",12008,157
"2014","MT",2020,"February",10417,137
"2015","MT",2020,"January",10419,139
"2016","MT",2020,"July",10468,144
"2017","MT",2020,"June",10407,150
"2018","MT",2020,"March",10431,141
"2019","MT",2020,"May",10399,153
"2020","MT",2020,"November",11610,153
"2021","MT",2020,"October",11120,152
"2022","MT",2020,"September",10693,147
"2023","MT",2021,"February",12106,165
"2024","MT",2021,"January",12120,164
"2025","MT",2021,"March",12040,163
"2026","NC",2015,"April",88620,1365
"2027","NC",2015,"August",89864,1416
"2028","NC",2015,"December",90025,1537
"2029","NC",2015,"February",87784,1357
"2030","NC",2015,"January",87132,1359
"2031","NC",2015,"July",89630,1422
"2032","NC",2015,"June",89238,1406
"2033","NC",2015,"March",88384,1358
"2034","NC",2015,"May",88818,1389
"2035","NC",2015,"November",90229,1503
"2036","NC",2015,"October",90154,1455
"2037","NC",2015,"September",90001,1439
"2038","NC",2016,"April",89779,1694
"2039","NC",2016,"August",90243,1869
"2040","NC",2016,"December",91350,1931
"2041","NC",2016,"February",89619,1595
"2042","NC",2016,"January",89624,1589
"2043","NC",2016,"July",90104,1816
"2044","NC",2016,"June",90010,1792
"2045","NC",2016,"March",89556,1654
"2046","NC",2016,"May",90013,1736
"2047","NC",2016,"November",90874,1905
"2048","NC",2016,"October",90585,1900
"2049","NC",2016,"September",90330,1880
"2050","NC",2017,"April",92537,2082
"2051","NC",2017,"August",93485,2259
"2052","NC",2017,"December",94051,2369
"2053","NC",2017,"February",91572,2019
"2054","NC",2017,"January",91505,1974
"2055","NC",2017,"July",93142,2204
"2056","NC",2017,"June",92927,2165
"2057","NC",2017,"March",92295,2049
"2058","NC",2017,"May",92777,2106
"2059","NC",2017,"November",93717,2332
"2060","NC",2017,"October",93744,2335
"2061","NC",2017,"September",93790,2320
"2062","NC",2018,"April",94418,2282
"2063","NC",2018,"August",94616,2224
"2064","NC",2018,"December",94809,2246
"2065","NC",2018,"February",95200,2331
"2066","NC",2018,"January",94987,2358
"2067","NC",2018,"July",94644,2272
"2068","NC",2018,"June",94644,2287
"2069","NC",2018,"March",94515,2293
"2070","NC",2018,"May",94329,2288
"2071","NC",2018,"November",94951,2275
"2072","NC",2018,"October",94742,2245
"2073","NC",2018,"September",94525,2231
"2074","NC",2019,"April",94873,2323
"2075","NC",2019,"August",96016,2266
"2076","NC",2019,"December",96682,2236
"2077","NC",2019,"February",94048,2263
"2078","NC",2019,"January",93805,2225
"2079","NC",2019,"July",95775,2288
"2080","NC",2019,"June",95615,2285
"2081","NC",2019,"March",94430,2315
"2082","NC",2019,"May",95333,2300
"2083","NC",2019,"November",96515,2249
"2084","NC",2019,"October",96437,2252
"2085","NC",2019,"September",96301,2256
"2086","NC",2020,"April",98113,2422
"2087","NC",2020,"August",102465,2889
"2088","NC",2020,"December",110096,3121
"2089","NC",2020,"February",97092,2307
"2090","NC",2020,"January",96963,2279
"2091","NC",2020,"July",100884,2770
"2092","NC",2020,"June",99467,2661
"2093","NC",2020,"March",97416,2327
"2094","NC",2020,"May",98972,2598
"2095","NC",2020,"November",107306,3049
"2096","NC",2020,"October",105460,2972
"2097","NC",2020,"September",104067,2924
"2098","NC",2021,"February",115635,3226
"2099","NC",2021,"January",114241,3206
"2100","NC",2021,"March",115634,3257
"2101","ND",2015,"April",6955,61
"2102","ND",2015,"August",7020,70
"2103","ND",2015,"December",6876,66
"2104","ND",2015,"February",6914,65
"2105","ND",2015,"January",6887,65
"2106","ND",2015,"July",7028,68
"2107","ND",2015,"June",6988,71
"2108","ND",2015,"March",6919,64
"2109","ND",2015,"May",6945,67
"2110","ND",2015,"November",6985,63
"2111","ND",2015,"October",6977,68
"2112","ND",2015,"September",7028,71
"2113","ND",2016,"April",6679,73
